representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
single_channel,A1-10.1_preprocessed__single_channel.csv,27509,38,3,19.08129351917841,global_quantile,0.995,0.001381366098367807,1.5510385180909905,2.136448784229665,31.535769932957457,35,11.666666666666666,18,26.602062288206724,31.535769932957457
single_channel,A1-11.1_preprocessed__single_channel.csv,22205,95,1,19.08129351917841,global_quantile,0.995,0.004278315694663364,1.6587045322472258,3.9848620066928335,81.81647284562753,95,95.0,95,81.81647284562753,81.81647284562753
single_channel,A1-13.1_preprocessed__single_channel.csv,22296,255,11,19.08129351917841,global_quantile,0.995,0.011437029063509149,5.407316795405973,115.58075075471459,5921.716808580511,252,22.90909090909091,58,590.9307355411805,5921.716808580511
single_channel,A1-14.1_preprocessed__single_channel.csv,8728,34,2,19.08129351917841,global_quantile,0.995,0.003895508707607699,1.8320721852669086,9.73046945326896,314.23915245699146,30,15.0,23,168.82723005188018,314.23915245699146
single_channel,A1-15.1_preprocessed__single_channel.csv,27940,21,1,19.08129351917841,global_quantile,0.995,0.0007516105941302791,1.368629760069326,1.9357997246691032,23.37852103793868,10,10.0,10,23.37852103793868,23.37852103793868
single_channel,A1-16.1_preprocessed__single_channel.csv,21424,176,7,19.08129351917841,global_quantile,0.995,0.008215085884988798,1.802340979249817,5.715399240404906,162.78063460043776,176,25.142857142857142,38,66.37303519253022,162.78063460043776
single_channel,A1-17.1_preprocessed__single_channel.csv,1936,14,1,19.08129351917841,global_quantile,0.995,0.007231404958677686,2.0978305882460755,3.6291175488419802,32.28167344336382,14,14.0,14,32.28167344336382,32.28167344336382
single_channel,A1-18.1_preprocessed__single_channel.csv,20036,32,2,19.08129351917841,global_quantile,0.995,0.001597125174685566,1.276382822285515,2.3643528809618832,91.11071270700033,23,11.5,16,57.364798366220604,91.11071270700033
single_channel,A1-19.1_preprocessed__single_channel.csv,3317,85,3,19.08129351917841,global_quantile,0.995,0.02562556526982213,2.5410617625185994,6.734648198374313,94.51920403891103,85,28.333333333333332,56,53.60451957641729,94.51920403891103
single_channel,A1-2.1_preprocessed__single_channel.csv,19417,32,1,19.08129351917841,global_quantile,0.995,0.0016480403769892362,1.9264588234961264,2.6775935100848933,33.46650273590038,32,32.0,32,33.46650273590038,33.46650273590038
single_channel,A1-20.1_preprocessed__single_channel.csv,1725,0,0,19.08129351917841,global_quantile,0.995,0.0,1.7327363022256783,3.0404171071346995,18.697464141442772,0,0.0,0,0.0,0.0
single_channel,A1-21.1_preprocessed__single_channel.csv,1437,0,0,19.08129351917841,global_quantile,0.995,0.0,1.314580250497148,2.712250171304192,17.162424307553994,0,0.0,0,0.0,0.0
single_channel,A1-22.1_preprocessed__single_channel.csv,6907,0,0,19.08129351917841,global_quantile,0.995,0.0,1.515872117362652,1.6261341391305413,14.060358997002623,0,0.0,0,0.0,0.0
single_channel,A1-23.1_preprocessed__single_channel.csv,5098,31,1,19.08129351917841,global_quantile,0.995,0.006080816006276971,1.4126551269310739,4.004618514394028,86.54427497414716,17,17.0,17,86.54427497414716,86.54427497414716
single_channel,A1-25.1_preprocessed__single_channel.csv,5077,33,1,19.08129351917841,global_quantile,0.995,0.006499901516643687,2.694680652582941,4.0656599125719985,30.913407576622255,33,33.0,33,30.913407576622255,30.913407576622255
single_channel,A1-26.1_preprocessed__single_channel.csv,1227,68,2,19.08129351917841,global_quantile,0.995,0.05541972290138549,3.882703641421493,6.579016285350251,29.625004049002364,68,34.0,37,28.08475340230889,29.625004049002364
single_channel,A1-27.1_preprocessed__single_channel.csv,26256,176,3,19.08129351917841,global_quantile,0.995,0.006703229737964655,3.192121189905298,21.229693687015764,742.4949605449646,170,56.666666666666664,107,264.44544413340515,742.4949605449646
