sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
0,2.52116666666667,1.5000000063832408,0.032233816109825716,-0.06265302505587746,0.09122703271652771,0.8443173011997693
1,2.56,1.5000000012879526,0.03211979351311267,-0.01863962259984061,0.09122712965828586,0.42769751814451684
2,2.575,1.5000000038396368,0.032366842472749784,-0.05481502329337392,0.09122692059087971,0.4275497670121109
3,2.591,1.5000000025506075,0.03320300818299277,-0.05602087115333744,0.09122968741258172,0.4322828866408165
4,2.597,1.5000000080469318,0.03481832830456915,-0.052403326196153004,0.0912301255189511,0.431572446075205
6,2.529,1.5000000047076727,0.03294645733997361,0.006984623872149693,0.09123206920055922,0.44504424410314075
9,2.569,1.500000002992992,0.033744615517794556,-0.017735236116057283,0.0912291259889526,0.3687625273183032
14,2.554,1.5000000078334317,0.03446675863104796,-0.02376446589749029,0.0912241137807066,0.33650900466672395
16,2.53066666666667,1.5000000018069293,0.03676621433373223,-0.03280832162196017,0.09122480189085115,0.13272622650586963
17,2.58533333333333,1.500000000958328,0.037564372511553173,-0.013514774131882533,0.0912159546018106,0.08017178590523147
18,2.56933333333333,1.5000000077597433,0.03558798083321183,-0.004470917845491386,0.09121821745959774,0.06229850810888812
20,2.55864814814815,1.4999999945093767,0.0363386295956435,0.0006539200732884702,0.09121633342611915,0.08776705528913162
24,2.523,1.5000000007921312,0.037003761410540376,-0.06506472337317008,0.09122038812867184,0.03373376581615039
26,2.55144444444444,1.500000002157559,0.03475181512310711,-0.0496901759899308,0.09121820608635162,-0.059437605140827056
27,2.508,1.499999999302166,0.03686123316437252,-0.002059231238103791,0.09122667721954883,-0.22554954441180985
29,2.514,1.5000000000999538,0.035816026026914465,-0.040646327014306156,0.0912298531008328,-0.2551446588860184
33,2.538,1.500000006489402,0.038894636141208666,-0.04185216838618922,0.09122996503643627,-0.33463502809798346
35,2.4955,1.4999999997595226,0.03766889322529898,-0.04335948251860135,0.09121294102152391,-0.37026960578913165
36,2.54566666666667,1.5000000014323196,0.03902766250413273,-0.018338160788595657,0.09120099349680232,-0.40666888711693894
37,2.492,1.50000000265041,0.03895164743956519,-0.002059228502718459,0.09121230240610596,-0.42249015465149714
39,2.477,1.5000000044509127,0.04022489977086415,0.0033670833838952267,0.09122440930561034,-0.40964780899102404
41,2.449,1.5000000009812176,0.04110857489621988,0.011506546211854308,0.09123120962712034,-0.41806027275688945
45,2.471,1.4999999977894385,0.04474779611180342,-0.016529393658364422,0.09122839973131187,-0.41844496344390536
46,2.5305,1.4999999993091413,0.0431894872884453,-0.03280832371375908,0.09124967991920653,-0.4432114110739728
51,2.501,1.4999999961543782,0.046838210386996086,-0.02738201590567621,0.09125646904039501,-0.4585294693803515
