sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
0,2.5346290549692,1.499999992103119,0.9709296885453046,-0.3236715953876274,0.040890117484956474,-0.5868180747502431
1,2.54157117515107,1.4999999918426712,0.9712852309773222,-0.27060609906007316,0.04090333817202257,-0.5962525248637046
2,2.548356527439,1.500000002114996,0.9728057422294278,-0.18622323807595104,0.04085992522790756,-0.5941643876914928
3,2.55499525759943,1.4999999991870658,0.9740993115036172,-0.2758256402088123,0.04084650054827884,-0.6028955110300549
4,2.5614976780643,1.5000000040417796,0.9729343426836392,-0.31932193825011546,0.04083865524557368,-0.6124127606050119
5,2.56787423036074,1.4999999975296177,0.9734336150350111,-0.2706060867447842,0.04079512894867665,-0.6175018200751676
6,2.57413545304464,1.5000000059145742,0.9748860436936979,-0.3367204575455308,0.04077132281355008,-0.622104976804594
7,2.58029194859952,1.5000000021330409,0.9757257290120545,-0.3010534928202232,0.040692021978121974,-0.6172668948479593
8,2.58635435112262,1.4999999908933697,0.9759451062573442,-0.36977768554378343,0.04067750789756014,-0.6225012403954236
9,2.59233330050981,1.500000006332756,0.9759602357225974,-0.32802119491801546,0.04070192940732397,-0.6231987867214663
10,2.59823941218277,1.50000000745425,0.9770419924841235,-0.4054446215338579,0.040720396116093925,-0.6259076848464526
11,2.60408324219868,1.4999999956679333,0.9772613697294132,-0.26886623842325974,0.04077258572162693,-0.6350966643199148
12,2.6098752532511,1.5000000003356824,0.9779648898609319,-0.301053496748952,0.04078731022722535,-0.637444052057905
13,2.61562578477437,1.4999999993934348,0.9795686131715996,-0.3863062638782209,0.04073079130478376,-0.6342129336541089
14,2.62134503020301,1.499999995720627,0.9788423988422011,-0.34628966800858435,0.040804156107226645,-0.6373786977250278
15,2.62704301014339,1.499999997740903,0.980627675735246,-0.469819180403561,0.04077852453082096,-0.6364047464782984
16,2.63272955180913,1.4999999986074963,0.9811118186215849,-0.3723874468498726,0.04075936597201391,-0.6369722735398428
17,2.63841426216113,1.500000001119054,0.9815505731121645,-0.29757379034313725,0.040769673944509685,-0.6374431188306118
18,2.64410650830933,1.499999997045863,0.9835325330527295,-0.3810867120886346,0.040849385796465194,-0.6355193523568152
