sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
0,11.2814098085822,1.4999999988007444,1.9247698199904868,-0.17486944242847063,-0.04941012762377016,-0.2507916589638776
1,11.2691140305496,1.5000000073865778,1.9256317299606511,-0.1801490557244645,-0.04931826901125759,-0.2521802597725322
2,11.2567260073833,1.5000000088098009,1.9262720059383749,-0.1611423728677785,-0.04836101743378193,-0.25567629011969717
3,11.2442410332549,1.4999999973708134,1.927076455243766,-0.19493205209418674,-0.04920861635849665,-0.2672320248224728
4,11.2316543905188,1.5000000055212,1.9264608052651626,-0.13474421438067416,-0.04759984251531829,-0.26342733801480467
5,11.2189613684699,1.5000000006471874,1.9292681691677378,-0.05449380037327842,-0.045754494173774495,-0.2608683858053555
6,11.2061572824787,1.5000000030396927,1.9274130105653946,-0.17486943259316584,-0.046359074133552766,-0.2702759686355786
7,11.1932374934505,1.5000000037307912,1.9284801371950535,-0.29735692181134443,-0.04683503484005016,-0.27511201245452
8,11.1801974254367,1.4999999981478516,1.9291286218391905,-0.1041223584699321,-0.04660568998673,-0.2790297639766538
9,11.1670325853184,1.500000004067503,1.93029425246545,-0.2709587548897228,-0.04456276813408373,-0.27152647360257287
10,11.1537385911182,1.4999999909233437,1.9298263584816875,-0.20865911364112366,-0.043069875776563946,-0.2677166975414331
11,11.1403111937845,1.5000000052543074,1.9321247850685535,-0.15797460115619721,-0.04364237081671733,-0.269336368673079
12,11.1267463027341,1.4999999970703446,1.9321822457332072,-0.0006415492441566883,-0.04187045074789099,-0.2701501988749474
13,11.1130400115387,1.500000003278941,1.9325598443867824,0.0035821710144720363,-0.040396277349836036,-0.26529528771543914
14,11.0991886246798,1.5000000047966917,1.934981400969369,-0.1516390423537199,-0.0394047113090391,-0.2690160657412911
15,11.085188682989,1.5000000063112038,1.9351784089625699,-0.15797459871586625,-0.04057572380806688,-0.26806571235070537
16,11.071036986574,1.499999999044679,1.9368529769044192,-0.1326323759373735,-0.042321159870971806,-0.27050991837747396
17,11.0567306179953,1.4999999907278918,1.9364835869172572,0.14507631504080368,-0.04239189223991971,-0.26738088220009
18,11.0422669747212,1.4999999990653017,1.9371402802278073,0.11762223975385448,-0.04435279467522746,-0.2710929096660559
19,11.027643794003,1.4999999993971087,1.937394748885662,-0.1009545756893484,-0.048690322214265086,-0.27341261011580664
20,11.0128591753671,1.4999999973805964,1.9399066007984358,0.08700036333649333,-0.05063338865518444,-0.2756460201835949
21,10.9979116043566,1.499999999351559,1.9393976634826071,0.17147449941378629,-0.05116883306818216,-0.27593980391959166
22,10.9827999825313,1.499999999618559,1.9414744560772714,-0.019648223301338582,-0.05248550157312581,-0.27421230496053717
