sample_index,axis,baseline_distance,signal
0,1.36646000366275,1.5000000016166564,47278.7535
1,1.36917700961611,1.4999999903904042,47278.7775
2,1.37196251150757,1.499999999158572,47278.7855
3,1.37481481766952,1.4999999916554043,47278.8165
4,1.37773207195039,1.5000000061561694,47278.8645
5,1.38071224538041,1.499999999721234,47278.794
6,1.38375314983451,1.4999999979806034,47278.802500000005
7,1.38685243935824,1.4999999997782252,47278.7975
8,1.39000762013663,1.4999999955182497,47278.8795
9,1.39321605568981,1.4999999998975226,47278.9165
10,1.39647497139315,1.499999996227379,47278.8945
11,1.3997814672578,1.4999999926652634,47278.9185
12,1.40313252632007,1.4999999997323894,47278.952000000005
13,1.40652502973115,1.4999999972449425,47278.955
14,1.40995576383799,1.5000000017960784,47279.049
15,1.41342143276745,1.5000000017198254,47278.9625
16,1.4169186680701,1.500000003671807,47278.9885
17,1.42044404271862,1.5000000008901069,47278.996
18,1.42399407664522,1.4999999943972508,47279.0095
19,1.42756524340757,1.499999996743037,47278.9355
20,1.43115398329419,1.5000000032253962,47279.006
21,1.43475672593459,1.4999999989820538,47279.0035
22,1.4383699026985,1.5000000020446262,47278.9115
23,1.44198995791117,1.4999999978092726,47279.0585
24,1.44561334678374,1.4999999986687684,47279.019
25,1.44923654356089,1.499999998137669,47279.0305
26,1.45285605473638,1.5000000035385006,47279.015
27,1.45646842613266,1.5000000004845668,47279.097
28,1.46007025002237,1.5000000038790826,47279.142
29,1.46365817399728,1.5000000070410182,47279.1645
30,1.46722890493135,1.4999999960267856,47279.185
31,1.47077922578213,1.5000000004398284,47279.2555
32,1.47430598632378,1.5000000048478004,47279.2065
33,1.47780611647881,1.4999999991542274,47279.314
34,1.48127663089006,1.4999999960353925,47279.378500000006
35,1.48471463596216,1.4999999993866056,47279.4305
36,1.48811733520612,1.4999999960823207,47279.4765
37,1.49148203163567,1.5000000065341117,47279.5215
38,1.49480614087781,1.5000000007558547,47279.715500000006
39,1.49808718864144,1.5000000033778378,47279.6375
40,1.50132281324474,1.5000000031010718,47279.811
41,1.50451076752746,1.4999999995518547,47279.681500000006
42,1.50764891788523,1.4999999949143707,47279.7855
43,1.51073525217768,1.4999999931341716,47279.891
44,1.51376787610269,1.5000000057673033,47279.8875
45,1.51674502009156,1.5000000007634011,47279.878
46,1.51966503677697,1.5000000000268077,47280.085
47,1.52252640026201,1.4999999986455423,47280.028
48,1.52532770414553,1.4999999973721814,47280.159
49,1.5280676650967,1.4999999998949705,47280.1345
50,1.53074512297796,1.5000000001418152,47280.1425
51,1.53335904466562,1.500000003026053,47280.2925
52,1.5359085177515,1.5000000054480378,47280.2015
53,1.53839274676417,1.5000000041497474,47280.2125
54,1.54081105054779,1.4999999979107037,47280.26
55,1.54316285695227,1.499999998125172,47280.284
56,1.54544770431406,1.500000006167309,47280.211500000005
57,1.54766523417991,1.500000003961101,47280.178
58,1.54981519220894,1.499999993887924,47280.31050000001
59,1.55189741598882,1.5000000029870633,47280.107
60,1.55391183185442,1.500000001118631,47280.205
61,1.55585844898561,1.5000000048313085,47280.138000000006
62,1.55773734563964,1.4999999956550092,47280.16499999999
63,1.55954867468702,1.4999999927749994,47280.1975
64,1.56129264975901,1.4999999959818648,47280.129
65,1.56296954781118,1.4999999994235589,47280.146
66,1.56457969696838,1.5000000021106967,47280.1375
67,1.56612347151123,1.5000000015487938,47280.216
68,1.56760128980254,1.5000000043681838,47280.218
69,1.56901360954494,1.50000000449549,47280.188
70,1.57036092632946,1.499999996426966,47280.1255
71,1.57164376034205,1.5000000002779523,47280.1675
72,1.57286264712538,1.500000003467593,47280.247
73,1.57401813055917,1.4999999981119374,47280.154
74,1.57511075577117,1.500000002669276,47280.1755
75,1.57614107496384,1.5000000002161016,47280.111
76,1.57710963964747,1.500000000377526,47280.2635
77,1.57801700338564,1.499999999000473,47280.216
78,1.57886371201551,1.4999999990473951,47280.228
79,1.57965030232949,1.4999999955809744,47280.2035
80,1.58037729910954,1.5000000038379848,47280.132
81,1.58104520443765,1.4999999998013356,47280.143
82,1.58165449854498,1.5000000034911818,47280.1005
83,1.58220563554596,1.5000000063397645,47280.1425
84,1.58269904731179,1.49999999547009,47279.9855
85,1.58313513939574,1.4999999975605391,47280.0075
86,1.58351428930439,1.500000001056485,47279.98
87,1.58383685116556,1.5000000051850504,47279.95
88,1.584103150703,1.499999992718839,47279.9675
89,1.58431349368797,1.4999999991880533,47280.0725
90,1.58446816250767,1.49999999765444,47280.1005
91,1.58456742149197,1.500000000825103,47280.066000000006
92,1.58461151233646,1.499999994962167,47280.164
93,1.58460065621467,1.5000000064376997,47280.2085
94,1.58453505716396,1.499999995036592,47280.1415
95,1.58441490387308,1.5000000008720114,47280.1755
96,1.58424037540794,1.499999997228657,47280.22
97,1.58401163923163,1.5000000032416183,47280.2445
98,1.58372885561566,1.4999999943019493,47280.2835
99,1.58339218452892,1.4999999942012483,47280.329
100,1.58300178453294,1.500000006263798,47280.34
101,1.58255781628163,1.4999999919792657,47280.336
102,1.58206043901109,1.500000005382351,47280.439
