sample_index,axis,baseline_distance,signal
61,9.78372924558098,1.499999999458476,47387.2795
62,9.79421011686382,1.5000000021755129,47387.234
63,9.80426955796239,1.4999999973106135,47387.36
64,9.81390404351323,1.5000000009423995,47387.347
65,9.823110481777,1.5000000030467733,47387.454
66,9.8318862396628,1.499999998331904,47387.5025
67,9.84022916083905,1.5000000054294051,47387.528000000006
68,9.84813758608127,1.4999999951108118,47387.6085
69,9.85561036412668,1.5000000003801974,47387.5985
70,9.86264686454072,1.5000000043508128,47387.578
71,9.86924698480804,1.500000003808365,47387.614
72,9.87541116353574,1.5000000057307157,47387.618
73,9.88114038936338,1.5000000010635035,47387.6735
74,9.88643620944635,1.5000000042360937,47387.7875
75,9.89130073462639,1.500000004384576,47387.7515
76,9.89573663311573,1.4999999906441603,47387.7545
77,9.89974713230942,1.499999994050755,47387.8485
78,9.90333601319055,1.500000006097724,47387.854
79,9.90650761430864,1.4999999940808997,47387.818
80,9.90926681838776,1.500000003851765,47387.879
81,9.91161904542713,1.500000001568239,47387.842
82,9.9135702392695,1.4999999979514014,47387.784
83,9.91512685779185,1.4999999953910923,47387.9205
84,9.91629586002527,1.50000000873572,47387.9215
85,9.91708468267796,1.4999999955535015,47388.017
86,9.91750122435072,1.500000002122868,47388.0255
87,9.91755382150422,1.5000000080892495,47387.919
88,9.91725122709509,1.500000003194833,47388.1375
89,9.91660258514892,1.5000000008146186,47388.086500000005
90,9.9156174013217,1.500000000600798,47388.132
91,9.91430551810512,1.5000000052044282,47388.124
92,9.9126770837874,1.5000000021634348,47388.2045
93,9.91074252758155,1.499999997514202,47388.1475
94,9.90851252039485,1.5000000076520663,47388.2035
95,9.90599795352385,1.5000000020051547,47388.3095
96,9.90320989900827,1.499999998908981,47388.365000000005
97,9.90015958127968,1.4999999972318403,47388.380000000005
98,9.89685833611021,1.4999999953773715,47388.397
99,9.89331758716351,1.4999999971870075,47388.429
100,9.88954880649607,1.5000000028936376,47388.41
101,9.88556347839062,1.5000000015946882,47388.5105
102,9.88137306691752,1.500000004919909,47388.4025
103,9.87698898172186,1.49999999817634,47388.4785
104,9.87242254840411,1.5000000051532163,47388.447
105,9.86768497095343,1.4999999931756218,47388.5535
106,9.86278730273095,1.499999998473866,47388.502
107,9.85774040850214,1.5000000016547164,47388.542
108,9.85255494338118,1.500000005480131,47388.5105
109,9.84724131981731,1.4999999980967065,47388.5115
110,9.84180968580874,1.5000000064211794,47388.662
111,9.83626989099778,1.4999999921795266,47388.639500000005
112,9.83063147284672,1.5000000075475317,47388.631
113,9.82490362191438,1.499999996845761,47388.784
114,9.81909516891566,1.5000000014097807,47388.8055
115,9.81321456090346,1.4999999967357531,47388.7585
116,9.80726985239203,1.4999999978139342,47388.9495
117,9.80126867837729,1.4999999946876663,47388.9645
118,9.79521824611411,1.5000000023174838,47389.0915
119,9.78912531920377,1.499999997852281,47389.139500000005
120,9.78299621111854,1.5000000023516078,47389.178
121,9.77683677206444,1.4999999941614066,47389.336500000005
122,9.77065239100519,1.500000000182682,47389.3075
123,9.76444799336691,1.500000007468206,47389.388
124,9.75822804298952,1.5000000047318485,47389.4385
125,9.75199654210982,1.499999997661837,47389.4635
126,9.74575702836673,1.499999999045587,47389.378
127,9.73951257837913,1.5000000037282886,47389.595
128,9.73326581255459,1.5000000022791686,47389.5125
129,9.72701890711479,1.499999992501861,47389.5515
130,9.72077359422316,1.5000000079932183,47389.507
131,9.714531180884,1.4999999997819642,47389.65
132,9.70829256553472,1.4999999944534697,47389.6185
133,9.70205825712516,1.5000000080158673,47389.6465
134,9.69582838767294,1.5000000008189636,47389.7175
135,9.68960273732739,1.5000000005587546,47389.6565
136,9.68338075548846,1.5000000025053633,47389.7675
137,9.67716157939447,1.4999999993968098,47389.7885
138,9.67094405884521,1.500000003076639,47389.831
139,9.66472677417046,1.5000000040133608,47389.7985
140,9.65850806796398,1.4999999997810034,47389.8635
141,9.65228606772791,1.5000000053590068,47389.773
142,9.64605872256843,1.4999999999018658,47389.867
143,9.63982381759191,1.49999999532692,47389.9875
144,9.63357900254241,1.5000000086579657,47389.937000000005
145,9.62732181335627,1.500000008550592,47390.0605
146,9.62104970710666,1.5000000023167208,47390.1105
147,9.61476007961297,1.4999999976165963,47390.1
148,9.60845029466902,1.4999999991629174,47390.1485
149,9.60211770703893,1.499999999962654,47390.230500000005
150,9.59575969065039,1.500000007593172,47390.2045
151,9.58937366867629,1.4999999908236157,47390.133
152,9.58295712902044,1.5000000033920755,47390.2585
153,9.57650765025768,1.499999999480685,47390.2555
154,9.57002291535047,1.500000002546113,47390.266
155,9.56350073994538,1.4999999982460317,47390.336500000005
156,9.55693908576444,1.499999999567946,47390.254
157,9.55033609276984,1.4999999937726751,47390.2985
158,9.54369008894907,1.499999999174329,47390.31050000001
159,9.53699960533972,1.50000000332609,47390.3565
160,9.53026339251942,1.500000004156259,47390.4685
161,9.52348042677499,1.5000000054607467,47390.3735
162,9.5166499286414,1.500000004777003,47390.423
163,9.50977136388525,1.50000000070262,47390.5395
164,9.50284445533203,1.5000000025395832,47390.503500000006
165,9.49586918382589,1.499999994130944,47390.490000000005
166,9.48884580008996,1.5000000002620302,47390.5935
