sample_index,axis,baseline_distance,signal
0,5.544,1.499999995006474,47247.65
1,5.523,1.5000000050996205,47247.7315
2,5.501,1.500000001953395,47247.595
3,5.486,1.5000000050444184,47247.6695
4,5.492,1.500000001405925,47247.654
5,5.471,1.4999999988137291,47247.55
6,5.44,1.5000000043670576,47247.696
7,5.418,1.4999999978040002,47247.583
8,5.424,1.499999998523943,47247.656
9,5.397,1.5000000003944476,47247.627
10,5.403,1.499999998209264,47247.613
11,5.381,1.499999996068743,47247.57
15,5.372,1.5000000062678849,47247.5895
18,5.335,1.5000000010907597,47247.6625
20,5.313,1.5000000070650383,47247.71000000001
22,5.304,1.5000000010098666,47247.807
23,5.29183333333333,1.5000000048040074,47247.7315
24,5.298,1.500000005013142,47247.6875
26,5.283,1.500000002234306,47247.7495
29,5.252,1.4999999958217154,47247.759
30,5.261,1.4999999931294306,47247.784
32,5.236,1.4999999948613365,47247.752
33,5.273,1.5000000047948296,47247.7055
35,5.206,1.5000000006527885,47247.6805
36,5.215,1.5000000014172514,47247.7135
37,5.2635,1.4999999911116162,47247.6715
38,5.184,1.4999999994779585,47247.7015
39,5.21425,1.5000000020667037,47247.6155
41,5.21185416666667,1.5000000009243075,47247.686
42,5.169,1.5000000000635962,47247.712
44,5.193,1.5000000080500688,47247.6655
45,5.246,1.50000000198224,47247.598
47,5.1995,1.4999999967225006,47247.6795
48,5.178,1.499999992349578,47247.651
52,5.153,1.5000000006645,47247.631
53,5.141,1.4999999995977005,47247.5445
55,5.132,1.500000000808249,47247.5775
58,5.126,1.499999999326113,47247.5845
59,5.163,1.5000000042595178,47247.6565
61,5.116,1.4999999995900597,47247.621
62,5.147,1.5000000010473349,47247.6515
63,5.11,1.499999998073036,47247.67
66,5.101,1.499999994455751,47247.7055
67,5.095,1.499999999372018,47247.6725
68,5.086,1.5000000018350248,47247.596000000005
69,5.064,1.499999996663152,47247.732
71,5.033,1.5000000014320345,47247.6145
72,5.049,1.50000000522245,47247.705
73,5.012,1.5000000038011665,47247.733
76,5.018,1.4999999995342517,47247.747
77,4.996,1.5000000030659115,47247.771
79,5.005,1.4999999927965928,47247.802
80,4.981,1.500000004129717,47247.849
81,4.99,1.499999999407235,47247.8805
83,4.95,1.4999999983628818,47247.8385
84,4.922,1.4999999960603183,47247.8655
85,4.928,1.499999995333402,47247.895
86,4.907,1.499999999622656,47247.789
87,4.891,1.4999999990289312,47247.825
88,4.885,1.4999999980723375,47247.9055
89,4.876,1.4999999964224122,47247.828
90,4.87,1.499999999611198,47247.9115
92,4.845,1.5000000043044688,47247.7265
93,4.824,1.5000000013091046,47247.7405
94,4.83,1.5000000015586343,47247.778
95,4.818,1.4999999980222318,47247.7165
96,4.808,1.4999999935065826,47247.619
97,4.802,1.499999999798677,47247.674
98,4.787,1.5000000007690018,47247.652
100,4.75,1.5000000027230167,47247.6
101,4.762,1.499999991828885,47247.668000000005
102,4.734,1.4999999943942417,47247.644
103,4.771,1.4999999945646385,47247.7385
104,4.719,1.499999998528523,47247.609
105,4.704,1.5000000002416265,47247.6135
108,4.673,1.5000000049124569,47247.596000000005
109,4.688,1.5000000054837834,47247.6725
111,4.694,1.4999999984961936,47247.614
118,4.71,1.4999999992494577,47247.7715
120,4.682,1.500000006241636,47247.704
124,4.7355,1.5000000073296298,47247.746
125,4.725,1.5000000076067268,47247.7265
129,4.741,1.499999996425557,47247.7085
132,4.756,1.5000000006033114,47247.7245
136,4.748375,1.5000000003282492,47247.6705
138,4.6975,1.500000001725331,47247.647
162,4.667,1.499999995692006,47247.4655
164,4.63,1.4999999976780056,47247.44
165,4.62,1.500000007657921,47247.45849999999
166,4.605,1.4999999988936614,47247.4575
167,4.599,1.5000000034494116,47247.4215
169,4.583,1.499999998353045,47247.3035
170,4.562,1.500000003864563,47247.27250000001
172,4.531,1.4999999929281171,47247.226
173,4.522,1.5000000014755468,47247.2705
175,4.506,1.4999999952796086,47247.2335
176,4.5,1.5000000060608902,47247.1605
178,4.463,1.500000005841598,47247.1095
179,4.433,1.5000000037519787,47247.139500000005
181,4.426,1.499999999564562,47247.047
182,4.396,1.5000000065945085,47247.081000000006
183,4.38,1.499999999699467,47247.164
184,4.386,1.499999996202001,47247.084
185,4.349,1.5000000060192529,47247.021
186,4.365,1.4999999969682412,47246.9635
188,4.291,1.4999999981845644,47247.067
189,4.251,1.5000000017931716,47247.0425
190,4.239,1.5000000016877677,47246.983
191,4.214,1.4999999994674833,47247.151
192,4.183,1.500000000428688,47247.086500000005
194,4.162,1.499999998375495,47246.9515
195,4.14,1.5000000042827837,47247.0365
196,4.115,1.5000000013826469,47246.9355
197,4.103,1.499999999995186,47246.94
198,4.094,1.4999999977868304,47246.914
199,4.035,1.5000000024284743,47246.916
200,4.004,1.5000000033654282,47246.895
201,4.011,1.500000001389806,47246.902
202,3.958,1.4999999984852364,47247.015
203,3.943,1.500000003004737,47246.9595
204,3.915,1.4999999985847454,47246.8075
205,3.9,1.4999999999761118,47246.7595
206,3.86,1.5000000080874238,47246.7755
207,3.854,1.50000000173779,47246.768
208,3.807,1.5000000007108365,47246.803
209,3.817,1.4999999946627285,47246.7145
211,3.764,1.5000000052566695,47246.714
212,3.74,1.500000006262139,47246.7355
213,3.727,1.500000000975738,47246.697
214,3.718,1.4999999996067537,47246.584
215,3.687,1.500000001870694,47246.5955
217,3.666,1.5000000053791498,47246.629
218,3.635,1.5000000062603216,47246.53999999999
219,3.613,1.5000000004772247,47246.512
220,3.598,1.4999999965069268,47246.536
222,3.576,1.499999997190588,47246.5405
223,3.582,1.500000003504912,47246.504
224,3.604,1.500000000858397,47246.44899999999
226,3.561,1.5000000013106924,47246.409
227,3.546,1.5000000056497775,47246.3425
228,3.539,1.4999999944915208,47246.3325
229,3.552,1.4999999973120637,47246.419
234,3.515,1.4999999929527708,47246.2245
235,3.509,1.499999999825471,47246.183000000005
236,3.53,1.4999999982531491,47246.083
239,3.493,1.4999999996057376,47246.0665
240,3.484,1.4999999919006664,47246.014
243,3.499,1.5000000045806716,47245.962
249,3.472,1.5000000024638522,47245.858
250,3.456,1.5000000028724314,47245.7255
253,3.462,1.4999999989570023,47245.7605
255,3.447,1.4999999954483771,47245.669
256,3.43316666666667,1.5000000014428243,47245.731
257,3.425,1.4999999988831705,47245.8095
258,3.41,1.5000000083764302,47245.752
259,3.416,1.4999999991837216,47245.8495
260,3.388,1.5000000011741486,47245.7125
263,3.379,1.4999999946338902,47245.7705
264,3.364,1.5000000011755374,47245.821
265,3.373,1.4999999980589855,47245.762
266,3.348,1.5000000045145525,47245.7155
267,3.342,1.500000001708834,47245.7595
269,3.327,1.5000000094644692,47245.763000000006
270,3.321,1.5000000000269187,47245.681
274,3.274,1.499999996231067,47245.598
275,3.27266666666667,1.4999999946901317,47245.618
276,3.259,1.5000000056676768,47245.527
277,3.244,1.499999999422314,47245.502
279,3.201,1.4999999952881284,47245.465
280,3.191,1.499999992118837,47245.466
281,3.185,1.499999990905389,47245.304
283,3.176,1.4999999951102445,47245.3105
284,3.161,1.4999999992540236,47245.2435
285,3.154,1.4999999947585672,47245.1375
286,3.124,1.5000000013143506,47245.23
288,3.093,1.4999999968024469,47245.089
289,3.08,1.500000006099634,47245.079
290,3.05,1.4999999956334944,47244.9065
291,3.04,1.49999999602185,47244.955
292,3.025,1.5000000064730428,47244.776
293,3.019,1.4999999976825265,47244.9125
297,2.982,1.4999999997928888,47244.6535
298,2.966,1.4999999949155394,47244.6805
299,3.01583333333333,1.4999999906368118,47244.608
300,2.973,1.4999999982557477,47244.6705
302,2.96,1.4999999978234266,47244.548
303,3.003,1.5000000002293017,47244.6475
307,2.988,1.4999999950722167,47244.5595
309,2.96916666666667,1.4999999973252571,47244.448
319,2.997,1.4999999959092054,47244.3535
328,2.98416666666667,1.4999999966977982,47244.147
336,3.013,1.500000001683728,47244.253
344,2.951,1.4999999921953897,47244.1875
345,2.936,1.4999999913125015,47244.1255
349,2.92,1.5000000010021812,47243.9155
353,2.93,1.5000000011910013,47243.6485
356,2.914,1.5000000082486626,47243.4765
364,2.899,1.499999999125432,47242.98
367,2.905,1.5000000016388164,47242.9225
374,2.839,1.4999999970528426,47242.704
375,2.853,1.5000000014989718,47242.6875
376,2.846,1.500000003592145,47242.7255
378,2.862,1.499999997760988,47242.593
380,2.8,1.5000000000950726,47242.699
381,2.785,1.499999995388474,47242.6945
383,2.769,1.499999997373643,47242.759
384,2.779,1.5000000010558527,47242.6535
386,2.757,1.4999999940883015,47242.8375
388,2.742,1.4999999956152228,47242.8605
390,2.794,1.4999999977694318,47242.805
391,2.705,1.5000000061673393,47242.749
392,2.711,1.499999998119398,47242.9605
394,2.748,1.4999999985907408,47242.931
395,2.717,1.5000000025621791,47242.803
396,2.689,1.499999998852801,47242.878
397,2.695,1.5000000001438132,47242.817500000005
399,2.732,1.499999998440523,47242.8205
400,2.72125,1.4999999991675808,47242.8145
402,2.7155,1.5000000003998115,47242.722
403,2.665,1.5000000059259029,47242.6915
404,2.699,1.4999999927441248,47242.7155
405,2.658,1.4999999973416764,47242.6245
407,2.643,1.4999999995057836,47242.729
409,2.649,1.500000002836586,47242.525
410,2.628,1.4999999971768283,47242.4895
412,2.637,1.5000000032265624,47242.4295
426,2.62933333333333,1.5000000073971924,47241.994
434,2.622,1.500000001699519,47241.743
437,2.612,1.4999999941233744,47241.6905
445,2.606,1.4999999943724347,47241.65549999999
451,2.60633333333333,1.499999997423023,47241.572
458,2.577,1.4999999986534964,47241.262
459,2.597,1.499999997746129,47241.2235
462,2.581,1.4999999938726205,47241.051
463,2.569,1.5000000060003675,47240.9755
464,2.56,1.50000000088197,47241.0225
465,2.554,1.499999998458064,47240.9345
468,2.529,1.5000000080269107,47240.8765
470,2.523,1.5000000011933898,47240.8725
471,2.545,1.49999999883978,47241.0025
472,2.575,1.5000000034814962,47240.96799999999
474,2.501,1.4999999968717408,47240.9265
476,2.492,1.499999999084055,47240.941
477,2.486,1.500000001444143,47241.0515
478,2.477,1.4999999939440627,47241.0235
479,2.461,1.4999999998082405,47241.079
480,2.471,1.5000000003139162,47241.1325
482,2.434,1.5000000034701448,47240.936
483,2.424,1.4999999968124236,47241.075500000006
485,2.418,1.5000000012282757,47241.001
486,2.409,1.5000000038237729,47240.927
491,2.403,1.4999999977649685,47240.938
493,2.394,1.499999997626522,47240.9405
494,2.47766666666667,1.5000000009974006,47240.956
499,2.455,1.5000000010219383,47240.857
502,2.44,1.49999999877103,47240.702000000005
505,2.449,1.4999999988274282,47240.547
512,2.508,1.500000000431075,47240.2515
521,2.53733333333333,1.499999999539386,47240.053
522,2.538,1.50000000248968,47240.1075
523,2.514,1.50000000079403,47240.1145
539,2.57316666666667,1.4999999984868064,47239.886
546,2.591,1.500000006691059,47239.6835
564,2.366,1.499999993636025,47239.398
566,2.35,1.50000000200818,47239.298
568,2.341,1.4999999993925712,47239.257
569,2.36783333333333,1.5000000029228773,47239.27
570,2.314,1.5000000005571092,47239.3295
571,2.298,1.4999999954000145,47239.3605
572,2.304,1.4999999988287342,47239.380000000005
573,2.326,1.4999999936730382,47239.385
576,2.283,1.4999999964233164,47239.4225
577,2.273,1.4999999929149666,47239.4295
578,2.267,1.4999999957012928,47239.3425
579,2.252,1.4999999987125583,47239.309
580,2.258,1.5000000000967673,47239.2765
581,2.30093055555556,1.5000000066796029,47239.278
583,2.237,1.4999999969727245,47239.1235
587,2.32,1.4999999966249542,47238.9325
590,2.246,1.500000000260188,47238.825
591,2.30933333333333,1.4999999950643808,47238.738
592,2.221,1.5000000004799503,47238.6835
597,2.289,1.4999999951832506,47238.4305
602,2.335,1.5000000064289796,47238.3535
608,2.321,1.5000000047482804,47238.20450000001
611,2.31561111111111,1.4999999976887295,47238.249500000005
612,2.357,1.5000000043514634,47238.1325
615,2.3435,1.50000000028644,47238.215500000006
618,2.381,1.4999999983265409,47238.1555
620,2.372,1.500000001316744,47238.1605
665,2.215,1.4999999995590845,47237.24800000001
670,2.206,1.5000000070649084,47237.1835
714,2.489,1.5000000022916284,47236.683000000005
754,2.23,1.5000000030421428,47236.161
760,2.27633333333333,1.4999999928556125,47236.4825
766,2.27829166666667,1.4999999962378727,47236.4705
818,2.387,1.50000000792784,47235.3245
862,2.19,1.49999999849327,47234.9155
863,2.184,1.4999999928825922,47235.0245
866,2.178,1.499999993669911,47235.006
873,2.169,1.5000000035240302,47234.9605
874,2.2,1.500000000688586,47234.8835
876,2.163,1.5000000012167602,47234.8155
879,2.147,1.4999999982807644,47234.817500000005
884,2.153,1.500000005679815,47234.831
931,2.43883333333333,1.4999999921262213,47234.645
982,2.2405,1.499999995462158,47234.5735
1054,2.4915,1.499999996977068,47234.3615
1158,2.39316666666667,1.5000000001780072,47234.4465
1188,2.138,1.5000000041299553,47234.1415
1189,2.132,1.5000000051819204,47234.2805
1193,2.095,1.5000000033613496,47234.366
1194,2.079,1.5000000035943115,47234.385
1195,2.064,1.4999999959251673,47234.436
1198,2.11,1.499999991354309,47234.350000000006
1199,2.058,1.5000000041507595,47234.5505
1200,2.027,1.5000000007485326,47234.5385
1202,2.018,1.499999994349862,47234.5455
1203,2.0945,1.5000000018018775,47234.4365
1204,2.012,1.500000000850939,47234.490000000005
1206,2.033,1.500000000998342,47234.584
1208,2.10266666666667,1.4999999931568415,47234.5275
1209,2.101,1.500000000897529,47234.5875
1210,2.042,1.5000000030560174,47234.617
1213,2.049,1.4999999945870133,47234.5095
1221,2.086,1.4999999939359243,47234.3315
1227,2.08533333333333,1.5000000020304307,47234.128
1228,2.126,1.4999999988728363,47234.227
1230,2.116,1.5000000001368414,47234.1755
1252,2.23166666666667,1.499999996308032,47234.763
1335,2.002,1.5000000014588757,47235.264500000005
1340,1.996,1.5000000019563602,47235.3435
1341,1.981,1.500000002003657,47235.425
1344,1.99,1.4999999923726497,47235.462
1346,2.07,1.5000000045085666,47235.4895
1349,2.01016666666667,1.499999993670474,47235.327000000005
1421,1.959,1.5000000061338936,47235.312000000005
1423,1.935,1.5000000015343928,47235.2045
1424,1.922,1.499999996894498,47235.0325
1425,1.929,1.500000001630753,47235.169
1426,1.892,1.4999999939701891,47235.058000000005
1428,1.87,1.5000000020669912,47235.022
1429,1.907,1.500000006762192,47234.9945
1430,1.876,1.4999999982087069,47235.0235
1431,1.861,1.5000000004169045,47234.8765
1435,1.882,1.5000000074028363,47235.068
1436,1.855,1.4999999949882783,47235.209
1437,1.898,1.5000000041903128,47235.2835
1438,1.839,1.500000007098136,47235.3635
1450,1.913,1.5000000023068063,47235.767
1459,1.944,1.4999999999135236,47235.6155
1460,1.965,1.500000004217882,47235.709
1463,1.975,1.499999998530893,47235.8205
1605,2.162,1.499999996063711,47237.762
1639,2.1775,1.499999994916151,47238.1755
1710,2.196,1.4999999987396064,47238.8635
1719,2.1735,1.4999999991439097,47238.6935
1750,2.04266666666667,1.5000000060758798,47239.702000000005
1774,2.01433333333333,1.5000000018685908,47239.0205
1792,2.045,1.4999999987097417,47239.450500000006
1794,2.09866666666667,1.4999999938451123,47239.661
1795,2.0855,1.500000000211301,47239.535
1800,2.09611111111111,1.5000000005940692,47239.7555
1841,1.815,1.500000004249911,47240.3645
1842,1.83,1.4999999940680582,47240.3995
1843,1.845,1.4999999939623032,47240.3915
1848,1.824,1.5000000028183431,47240.598
1850,1.802,1.4999999941286497,47240.628500000006
1856,1.80566666666667,1.499999999227426,47240.5645
1857,1.83172222222222,1.499999995503837,47240.585
1869,1.83166666666667,1.500000001666907,47240.325
1870,1.83566666666667,1.5000000023816455,47240.4245
1886,1.808,1.5000000025742533,47240.694
1887,1.778,1.5000000001108265,47240.7775
1888,1.787,1.4999999980408716,47240.8185
1892,1.771,1.5000000022688271,47240.8995
1893,1.793,1.500000004864571,47241.032
1918,1.762,1.5000000076424491,47241.009000000005
1920,1.747,1.5000000059095049,47240.991
1921,1.734,1.5000000075272328,47241.0135
1925,1.694,1.4999999976660814,47241.0625
1926,1.71,1.499999994686042,47241.2005
1930,1.667,1.5000000018793116,47241.289
1931,1.688,1.5000000027470377,47241.2755
