sample_index,axis,baseline_distance,signal
0,2.65152777777778,1.4999999946908529,47392.28
1,2.628,1.499999998974728,47392.2405
2,2.612,1.5000000021750794,47392.339
3,2.66070833333333,1.4999999981738403,47392.4055
4,2.597,1.4999999992996842,47392.4915
5,2.575,1.4999999978301537,47392.5135
7,2.56,1.4999999919248796,47392.631
9,2.545,1.4999999927711023,47392.7785
10,2.569,1.4999999958745247,47392.9815
12,2.554,1.499999994935061,47393.1215
14,2.55957407407407,1.4999999989303825,47393.1565
16,2.57861111111111,1.4999999969498483,47393.359
17,2.64116666666667,1.5000000023560196,47393.4785
18,2.604,1.4999999988749169,47393.433000000005
20,2.58950925925926,1.5000000033663323,47393.541
21,2.56333333333333,1.499999995770759,47393.786
22,2.60116666666667,1.4999999925230885,47393.8035
23,2.65916666666667,1.4999999947455047,47393.8195
24,2.591,1.5000000025592268,47393.9515
25,2.60395833333333,1.499999997294222,47393.982
26,2.57969444444444,1.5000000003515632,47393.862
31,2.57393518518519,1.4999999969326197,47394.00199999999
32,2.538,1.4999999980761871,47394.130000000005
34,2.56618055555556,1.5000000005723413,47394.1745
36,2.643,1.5000000061377274,47394.189
37,2.606,1.5000000046525546,47394.159
39,2.66525,1.500000002561103,47394.235
40,2.59877777777778,1.4999999990211628,47394.235
41,2.622,1.5000000048029971,47394.2265
42,2.62722222222222,1.4999999940234312,47394.214
43,2.665,1.49999999231311,47394.156
45,2.649,1.4999999974549745,47394.02099999999
46,2.65705497685185,1.500000000376301,47394.095
48,2.62483333333333,1.5000000040224846,47394.125
49,2.59266666666667,1.4999999976830367,47394.158500000005
50,2.59895833333333,1.500000002750269,47394.2225
51,2.6414375,1.4999999921840226,47394.2895
52,2.598,1.500000000330331,47394.267
53,2.63579166666667,1.5000000011960049,47394.3495
54,2.711,1.5000000031860732,47394.3885
55,2.705,1.500000003416181,47394.4115
56,2.68,1.4999999972643792,47394.4415
57,2.67009635416667,1.499999992748662,47394.461
58,2.63066666666667,1.4999999956573045,47394.547
59,2.67166840277778,1.500000001895052,47394.6065
60,2.67736111111111,1.5000000023913198,47394.589
61,2.65830208333333,1.499999995941285,47394.66
62,2.63417361111111,1.500000001203609,47394.6665
63,2.71483333333333,1.499999994377374,47394.756
64,2.62502199074074,1.5000000033772525,47394.736
65,2.67966840277778,1.5000000005483825,47394.8315
66,2.69677662037037,1.5000000014468249,47394.9
67,2.67857552083333,1.499999997638657,47394.963
