track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,basis_type,basis_order,ridge_lambda
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,63.97856937781308,1.7204137355570235e-06,5.1817728608396925,5.1817728608399785,193.01715998529107,3.0005996612723975,2.1420870293230116,40.50405800731966,obf,legendre,8,1e-06
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.26216768052191,2.1312552985604797e-06,4.174445471020212,4.174445471020755,19.931206777233456,2.994210363310409,1.9717878868274146,14.491996479810373,obf,legendre,8,1e-06
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.24966089712314,2.1251745904961613e-06,8.623833208898237,8.6238332088985,360.7767390800582,3.316175216140621,6.7341919404489206,290.80777363478416,obf,legendre,8,1e-06
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,63.60960090719147,5.424509209209759e-06,10.498633981263833,10.498633981265234,122.0020871514862,4.15917088520927,4.140901545149781,44.418266236039244,obf,legendre,8,1e-06
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,59.9738891692015,1.694276502573264e-06,4.297209268711559,4.297209268711893,15.084195259507396,2.9529056520040413,2.0238324815578497,12.478003291801883,obf,legendre,8,1e-06
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,64.94209340973336,2.2106918627412743e-06,5.741200317049896,5.741200317050321,117.82245049302583,3.149524318630259,2.7982747658874256,62.11040601159493,obf,legendre,8,1e-06
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.57589483944784,2.4452703182158842e-05,6.570610439740092,6.570610439785593,28.496564440851216,4.273063195586746,4.968068719431228,30.516025074616206,obf,legendre,8,1e-06
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.50379302013081,2.3647947607912747e-06,5.897571446615835,5.897571446616309,200.58242624652485,2.9730938275883596,2.879091588029052,106.81392868566559,obf,legendre,8,1e-06
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.47917824628317,1.4284364081298546e-05,7.991424143708571,7.991424143721336,51.652697622907,3.136249327303524,2.525022511044468,15.552633745359152,obf,legendre,8,1e-06
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.18093575793627,2.4376271582199603e-06,3.7121896008806154,3.7121896008814157,34.06976491140085,3.616029713777432,3.6421157676380296,24.733402443235402,obf,legendre,8,1e-06
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.23517245619579,2.7448959733811678e-05,8.244462066960192,8.244462067005887,34.644491828934406,3.117586129103029,3.00405220062342,17.852138435845827,obf,legendre,8,1e-06
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,70.71865165794743,3.296013679230623e-05,6.355373082556428,6.355373082641896,22.14061007091368,2.4631897658946174,1.9522996933979184,8.307530929320897,obf,legendre,8,1e-06
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.722927001736448,6.846566203427051e-06,1.0811901927186838,1.0811901927403615,11.720073039919953,3.4141070991527678,3.2220727527006967,15.169137245146754,obf,legendre,8,1e-06
