sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
11,0.666946700561742,1.4999999968012587,47271.5455,47286.263076524134,-14.71757652413362,-14.500760828717224,1.4973165386204201,-9.684499205543915,9.684499205543915,14.71757652413362
12,0.668327647139591,1.500000005875625,47271.53999999999,47286.21060269291,-14.670602692916873,-14.450453294909998,1.4261440958376763,-10.132533828162865,10.132533828162865,14.670602692916873
13,0.66968184279204,1.5000000041679236,47271.86,47286.1582340422,-14.298234042202239,-14.37597316411201,1.3573131575051394,-10.59149326345315,10.59149326345315,14.298234042202239
14,0.671009789865191,1.5000000012391417,47271.9815,47286.105970461336,-14.124470461334568,-14.269820325632786,1.2884822191726024,-11.074906671817432,11.074906671817432,14.124470461334568
15,0.672312187483771,1.4999999940825717,47272.109500000006,47286.05381183968,-13.944311839673901,-14.14443911329565,1.2311799640626022,-11.488522820516305,11.488522820516305,13.944311839673901
16,0.67358994097298,1.499999992067634,47271.996,47286.00175806672,-14.005758066719864,-14.025662749894966,1.173877708952602,-11.948146423539663,11.948146423539663,14.005758066719864
17,0.674844163994102,1.5000000071040904,47272.0395,47285.94980903197,-13.910309031969518,-13.883324458296961,1.1599300712064806,-11.96910469254105,11.96910469254105,13.910309031969518
18,0.676076183603561,1.5000000083611058,47272.0245,47285.89796462506,-13.873464625059569,-13.754201905893247,1.1599300712064806,-11.857785436657451,11.857785436657451,13.873464625059569
19,0.677287544993699,1.4999999982592234,47272.091,47285.84622473565,-13.7552247356507,-13.652183871264343,1.1599300712064806,-11.769833553038476,11.769833553038476,13.7552247356507
20,0.678480024026006,1.4999999991411967,47272.146,47285.79458925353,-13.648589253527462,-13.56565913306339,1.1599300712064806,-11.69523876465528,11.69523876465528,13.648589253527462
21,0.679655625179859,1.4999999976592184,47272.3535,47285.74305806853,-13.389558068534825,-13.456683136685266,1.1599300712064806,-11.601288276532513,11.601288276532513,13.389558068534825
