sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
0,1.667,1.5000000028937377,47277.026,47277.03941062473,0.0165574952334282,0.0534241115936311,0.3599835189413104,0.14840710416618003,0.14840710416618003,0.0165574952334282,47277.05596811997,47277.03941062473
1,1.734,1.499999998486632,47276.9985,47277.05517744714,0.032520895249035675,0.069012003721582,0.3631837449167193,0.1900195278216732,0.1900195278216732,0.032520895249035675,47277.08769834239,47277.05517744714
2,1.719,1.5000000022756854,47277.0695,47277.07221419627,0.04981302911619423,0.08390637798584066,0.36638397089212804,0.22901214204740591,0.22901214204740591,0.04981302911619423,47277.122027225385,47277.07221419627
3,1.778,1.500000001834769,47277.176,47277.090318668124,0.06740306240681093,0.09578957352732687,0.3670763467756201,0.2609527265069994,0.2609527265069994,0.06740306240681093,47277.15772173053,47277.090318668124
4,1.68629166666667,1.4999999969377846,47277.194,47277.11219241291,0.10082607596268645,0.10488654008481212,0.3677687226591122,0.28519701002967646,0.28519701002967646,0.10082607596268645,47277.213018488874,47277.11219241291
5,1.76708333333333,1.499999996794967,47277.2415,47277.13710846581,0.14695146436133655,0.12093667735866297,0.37631450716023873,0.3213712866699737,0.3213712866699737,0.14695146436133655,47277.28405993017,47277.13710846581
6,1.756,1.5000000009591568,47277.3265,47277.15995372928,0.17327262357139261,0.13423624654792043,0.3677687226591122,0.3650018021579967,0.3650018021579967,0.17327262357139261,47277.33322635285,47277.15995372928
7,1.742,1.5000000005521694,47277.318,47277.18053641206,0.17897194231773028,0.14566880691644554,0.3670763467756201,0.3968351766491982,0.3968351766491982,0.17897194231773028,47277.35950835438,47277.18053641206
8,1.7095,1.4999999981367025,47277.359,47277.200759063286,0.17766227254469413,0.15416681057427517,0.36638397089212804,0.4207793539626914,0.4207793539626914,0.17766227254469413,47277.37842133583,47277.200759063286
9,1.688,1.4999999996017277,47277.466,47277.21923926214,0.16100873069808586,0.15749513909071944,0.3631837449167193,0.43365139903724004,0.43365139903724004,0.16100873069808586,47277.380247992834,47277.21923926214
10,1.752125,1.5000000041657986,47277.469,47277.23959942673,0.15221701795235276,0.15386267828257083,0.3599835189413104,0.42741589596954765,0.42741589596954765,0.15221701795235276,47277.39181644468,47277.23959942673
11,1.704,1.4999999956453482,47277.524,47277.26194926833,0.15270607243292034,0.14484596869846833,0.3631837449167193,0.3988228292862683,0.3988228292862683,0.15270607243292034,47277.41465534076,47277.26194926833
12,1.7075,1.5000000025898637,47277.4755,47277.283250797045,0.14388509532727767,0.13244371433959007,0.36638397089212804,0.36148883374208685,0.36148883374208685,0.14388509532727767,47277.42713589237,47277.283250797045
13,1.72283333333333,1.4999999917194276,47277.509000000005,47277.304207229674,0.13078103261068463,0.11708960206306074,0.3670763467756201,0.3189788802563004,0.3189788802563004,0.13078103261068463,47277.434988262285,47277.304207229674
15,1.694,1.4999999928339038,47277.51,47277.327563383165,0.11425931708799908,0.09955861855430864,0.3677687226591122,0.27070985763677985,0.27070985763677985,0.11425931708799908,47277.44182270025,47277.327563383165
16,1.72383333333333,1.499999999978586,47277.552500000005,47277.3531550286,0.09212223731447011,0.07803899500706596,0.37047387275344856,0.21064642002163844,0.21064642002163844,0.09212223731447011,47277.44527726591,47277.3531550286
17,1.679,1.4999999979798435,47277.553,47277.38009495847,0.06735165308782598,0.050775694305937376,0.3731790228477849,0.1360625629984785,0.1360625629984785,0.06735165308782598,47277.44744661156,47277.38009495847
18,1.762,1.49999999801656,47277.571500000005,47277.40900110144,0.039475262055930216,0.01793004466324217,0.37901965725457504,0.0473063713716546,0.0473063713716546,0.039475262055930216,47277.4484763635,47277.40900110144
21,1.7175,1.500000001831111,47277.4145,47277.43738734742,0.0032298791193170473,-0.019014949520674743,0.38486029166136526,-0.049407408175551164,0.049407408175551164,0.0032298791193170473,47277.44061722654,47277.43738734742
23,1.64675,1.5000000020029494,47277.4915,47277.46509359731,-0.0414595939728315,-0.058504243888213146,0.39042178887281553,-0.14984881877909634,0.14984881877909634,0.0414595939728315,47277.42363400334,47277.46509359731
24,1.7135,1.4999999961858084,47277.336,47277.49383113253,-0.09266363387723686,-0.09975908100427154,0.3959832860842659,-0.2519275042912863,0.2519275042912863,0.09266363387723686,47277.401167498654,47277.49383113253
25,1.75040046296296,1.500000005727794,47277.4225,47277.52301527359,-0.1517257514569792,-0.14182015173072512,0.39834617738396594,-0.35602237396149194,0.35602237396149194,0.1517257514569792,47277.37128952213,47277.52301527359
26,1.66188425925926,1.500000002857021,47277.368,47277.55711723827,-0.20172391504456755,-0.18473595227907127,0.40070906868366607,-0.4610226389084006,0.4610226389084006,0.20172391504456755,47277.355393323225,47277.55711723827
27,1.7169375,1.5000000050481888,47277.375,47277.59673684641,-0.24114433221984655,-0.22806612793404688,0.404667028946456,-0.5635895974223878,0.5635895974223878,0.24114433221984655,47277.35559251419,47277.59673684641
28,1.66541666666667,1.4999999960452082,47277.3985,47277.63932798059,-0.2791712967300555,-0.27039464742039043,0.408624989209246,-0.6617183348077826,0.6617183348077826,0.2791712967300555,47277.36015668386,47277.63932798059
30,1.73275,1.500000002579726,47277.283500000005,47277.68619899617,-0.3111979834502563,-0.31074913704732254,0.41083083156699524,-0.7563919578821773,0.7563919578821773,0.3111979834502563,47277.37500101272,47277.68619899617
31,1.673,1.4999999927693832,47277.297000000006,47277.73515203278,-0.3467669428791851,-0.34688168379135376,0.41303667392474447,-0.839832648503643,0.839832648503643,0.3467669428791851,47277.3883850899,47277.73515203278
32,1.65769444444444,1.499999994905888,47277.3405,47277.78601986596,-0.3867417017754633,-0.3781722798683202,0.4205785295442867,-0.8991716250424971,0.8991716250424971,0.3867417017754633,47277.39927816419,47277.78601986596
34,1.75903240740741,1.499999998774442,47277.311,47277.84107608671,-0.4224162693499238,-0.4048390405280063,0.42812038516382883,-0.9456196307332727,0.9456196307332727,0.4224162693499238,47277.41865981736,47277.84107608671
36,1.72675810185185,1.5000000014626549,47277.331,47277.89990251267,-0.4558540405196254,-0.4256990185587913,0.4288459038149153,-0.9926619673217582,0.9926619673217582,0.4558540405196254,47277.44404847215,47277.89990251267
