sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
0,2.394,1.4999999919237772,47407.0745,47407.218179577074,-0.06901776394079207,-0.10618464980798308,0.20085761223663626,-0.5286563383163383,0.5286563383163383,0.06901776394079207,47407.14916181313,47407.218179577074
1,2.3155,1.4999999994514277,47407.077000000005,47407.244472314545,-0.08790033809054876,-0.11458059390618776,0.20709220800394784,-0.553282979647421,0.553282979647421,0.08790033809054876,47407.156571976455,47407.244472314545
2,2.35,1.5000000001809624,47407.0585,47407.273082337626,-0.10672356632858282,-0.12226091246390881,0.21332680377125943,-0.5731155687074541,0.5731155687074541,0.10672356632858282,47407.1663587713,47407.273082337626
3,2.366,1.4999999956776409,47407.0485,47407.30360878118,-0.1254073357922607,-0.12907429858296382,0.2202136704307069,-0.5861320885779375,0.5861320885779375,0.1254073357922607,47407.178201445386,47407.30360878118
5,2.357,1.4999999971362017,47407.2015,47407.34136694035,-0.14187424488773104,-0.13501616430827804,0.22710053709015432,-0.5945215543663789,0.5945215543663789,0.14187424488773104,47407.199492695465,47407.34136694035
9,2.283,1.4999999935511286,47407.3185,47407.38491505052,-0.1565603143972112,-0.14792661048058006,0.24440421402539694,-0.605253927680676,0.605253927680676,0.1565603143972112,47407.22835473612,47407.38491505052
10,2.3275,1.5000000043110442,47407.3345,47407.42511036835,-0.16834282381023513,-0.15867593878809,0.26170789096063957,-0.6063093405615141,0.6063093405615141,0.16834282381023513,47407.25676754454,47407.42511036835
11,2.326,1.5000000029740066,47407.3565,47407.46166328366,-0.17676800141634885,-0.16690040098102246,0.26911200820146036,-0.6201893482808797,0.6201893482808797,0.17676800141634885,47407.284895282246,47407.46166328366
12,2.335,1.500000005413341,47407.4495,47407.49787469152,-0.18255109011079185,-0.17219153352359878,0.2765161254422812,-0.6227178731373527,0.6227178731373527,0.18255109011079185,47407.31532360141,47407.49787469152
13,2.314,1.5000000054022085,47407.445,47407.531286170335,-0.18521177949151024,-0.17435377421821208,0.2797326471511939,-0.623287185081314,0.623287185081314,0.18521177949151024,47407.34607439084,47407.531286170335
