sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
11,2.18016666666667,1.5000000052986395,47293.663,47293.63254891047,0.013152008526958525,0.01124147687611791,0.32881494980485243,0.0341878521119237,0.0341878521119237,0.013152008526958525,47293.645700919,47293.63254891047
12,2.07782793209877,1.4999999993745328,47293.574,47293.629212930085,0.03134489680087427,0.02875949144395741,0.33984384529096473,0.0846256062672971,0.0846256062672971,0.03134489680087427,47293.660557826886,47293.629212930085
13,2.153,1.499999999293019,47293.608,47293.63012487434,0.046229136547481176,0.0464613688559944,0.350872740777077,0.13241658144516022,0.13241658144516022,0.046229136547481176,47293.67635401089,47293.63012487434
15,2.163,1.4999999993394777,47293.748,47293.6344752369,0.058751066237164196,0.06487071023325876,0.35394008828289103,0.18328161285141012,0.18328161285141012,0.058751066237164196,47293.693226303134,47293.6344752369
16,2.10604094328704,1.5000000034225194,47293.8695,47293.6384196085,0.07563475523784291,0.08420825531761188,0.3570074357887051,0.23587255299480805,0.23587255299480805,0.07563475523784291,47293.714054363736,47293.6384196085
17,2.15333333333333,1.4999999947107354,47293.7505,47293.64215140014,0.09684240165370284,0.10412353457811857,0.35780288062734705,0.2910080947239874,0.2910080947239874,0.09684240165370284,47293.738993801795,47293.64215140014
18,2.09043287037037,1.5000000043273949,47293.8665,47293.64704844628,0.11972787595004775,0.1246647084157707,0.35859832546598913,0.34764442431172027,0.34764442431172027,0.11972787595004775,47293.76677632223,47293.64704844628
19,2.12968800636574,1.4999999996559057,47293.809,47293.65224637882,0.14592846466985065,0.1462579908895552,0.363322651077496,0.40255676450615424,0.40255676450615424,0.14592846466985065,47293.79817484349,47293.65224637882
20,2.18933641975309,1.4999999996498803,47293.846000000005,47293.6611123243,0.1702636922345846,0.1687753626619168,0.3680469766890028,0.4585701645486707,0.4585701645486707,0.1702636922345846,47293.83137601653,47293.6611123243
21,2.178,1.50000000357319,47293.9045,47293.673895592314,0.1923895218715188,0.19134132807084825,0.37604697752610267,0.5088229383722852,0.5088229383722852,0.1923895218715188,47293.866285114185,47293.673895592314
22,2.11252777777778,1.50000000357319,47293.8775,47293.68826647641,0.21621546133974334,0.21319976416432634,0.38404697836320245,0.5551398036588592,0.5551398036588592,0.21621546133974334,47293.90448193775,47293.68826647641
23,2.126,1.5000000057109333,47293.935,47293.705032876685,0.24056867881154176,0.2337681448932724,0.3852615882857679,0.606777711563279,0.606777711563279,0.24056867881154176,47293.9456015555,47293.705032876685
25,2.05872222222222,1.4999999955113807,47294.0885,47293.71905097328,0.2614074121884187,0.2526407921767613,0.3864761982083335,0.6537033673690118,0.6537033673690118,0.2614074121884187,47293.98045838547,47293.71905097328
27,2.079,1.5000000052496885,47294.0965,47293.72960951434,0.2787284439182258,0.2699882034139591,0.3949419245372094,0.6836149485277606,0.6836149485277606,0.2787284439182258,47294.00833795826,47293.72960951434
28,2.13344444444444,1.5000000006722056,47294.152,47293.73975333647,0.29356832649500575,0.28573022443904644,0.3864761982083335,0.7393216600754827,0.7393216600754827,0.29356832649500575,47294.033321662966,47293.73975333647
