sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
0,5.39594512649484,1.4999999954280332,47271.983,47271.987744650476,-0.03186555766296806,-0.05131612835248234,0.052869774997550606,-0.9706137080186128,0.9706137080186128,0.03186555766296806,47271.95587909281,47271.987744650476
1,5.39281547304389,1.49999999913311,47271.9725,47271.986143938986,-0.0419028296819306,-0.05735968919664932,0.05314192896882474,-1.079367842110114,1.079367842110114,0.0419028296819306,47271.944241109304,47271.986143938986
2,5.38965847380213,1.5000000018321047,47271.9245,47271.98407085902,-0.051234306702099275,-0.06285190042711163,0.05341408294009888,-1.176691557123554,1.176691557123554,0.051234306702099275,47271.93283655232,47271.98407085902
3,5.3864734403752,1.4999999988083077,47271.8715,47271.98155578442,-0.05952235189033672,-0.06704950197945436,0.05348977034799572,-1.2535013993001136,1.2535013993001136,0.05952235189033672,47271.92203343253,47271.98155578442
4,5.38325951072395,1.4999999991246489,47271.912,47271.97815695676,-0.07205559582507703,-0.06998990961033592,0.05356545775589257,-1.306623942789634,1.306623942789634,0.07205559582507703,47271.90610136093,47271.97815695676
5,5.38001565801986,1.5000000018220725,47271.8935,47271.97399126091,-0.08757749341748422,-0.07582092424692949,0.05358013317661037,-1.41509398636635,1.41509398636635,0.08757749341748422,47271.88641376749,47271.97399126091
6,5.37674070238052,1.5000000073303534,47271.893500000006,47271.96976427698,-0.09580516780988546,-0.07964217676635599,0.05359480859732818,-1.4860054331890333,1.4860054331890333,0.09580516780988546,47271.87395910917,47271.96976427698
7,5.37343332172586,1.4999999992332922,47271.817500000005,47271.965492674644,-0.09643271284585353,-0.08169419760977487,0.055330638385292695,-1.4764730715901122,1.4764730715901122,0.09643271284585353,47271.8690599618,47271.965492674644
8,5.37009207580135,1.5000000087107568,47271.8325,47271.96092358137,-0.0935131706573884,-0.0815870482240118,0.0570664681732572,-1.429684556196971,1.429684556196971,0.0935131706573884,47271.86741041071,47271.96092358137
9,5.3667154197277,1.5000000020451376,47271.7705,47271.95624393396,-0.0843446893923101,-0.07851200534383275,0.0597159392156985,-1.3147579419330813,1.3147579419330813,0.0843446893923101,47271.871899244565,47271.95624393396
10,5.36330172997782,1.500000003525661,47271.81,47271.95093335493,-0.07629410235676914,-0.0724291291367586,0.0570664681732572,-1.2692064439113253,1.2692064439113253,0.07629410235676914,47271.87463925257,47271.95093335493
11,5.35984931774918,1.500000000217813,47271.7335,47271.94497467381,-0.06970249429286923,-0.06441629479781517,0.056134961539043675,-1.1475254107551416,1.1475254107551416,0.06970249429286923,47271.87527217952,47271.94497467381
12,5.35635645249411,1.4999999976947322,47271.823,47271.93879186051,-0.05855800741846906,-0.05539709044549252,0.05520345490483014,-1.0035076706882966,1.0035076706882966,0.05855800741846906,47271.880233853095,47271.93879186051
13,5.35282138662654,1.5000000011044972,47271.8175,47271.9322812727,-0.044380209903465584,-0.045995680317800075,0.05439913175107916,-0.8455223242949576,0.8455223242949576,0.044380209903465584,47271.88790106279,47271.9322812727
14,5.34924237429407,1.5000000004800855,47271.848,47271.925082254995,-0.032831607553816866,-0.03659096283162297,0.05359480859732818,-0.6827333428231911,0.6827333428231911,0.032831607553816866,47271.89225064744,47271.925082254995
15,5.34561769594267,1.499999996585853,47271.7725,47271.91721680752,-0.02368965875939466,-0.026719231105946366,0.05358013317661037,-0.49867795247680086,0.49867795247680086,0.02368965875939466,47271.89352714876,47271.91721680752
