sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
0,2.52116666666667,1.5000000063832408,47388.856,47388.831603698105,0.024396301891790394,0.003203049855228249,0.001311727278227121,2.441856556918878,2.441856556918878,0.024396301891790394
1,2.56,1.5000000012879526,47388.850000000006,47388.860877345025,-0.010877345019150182,-0.0007469707221663008,0.0013100912316042082,-0.5701669503211881,0.5701669503211881,0.010877345019150182
2,2.575,1.5000000038396368,47388.863,47388.87920230909,-0.016202309088402447,0.0024210286220747237,0.001308863113637477,1.8497187344109762,1.8497187344109762,0.016202309088402447
3,2.591,1.5000000025506075,47388.90700000001,47388.8833778017,0.023622198305919877,0.0022665766678489343,0.001310295195932299,1.7298213981744959,1.7298213981744959,0.023622198305919877
4,2.597,1.5000000080469318,47388.992,47388.99692359681,-0.0049235968140163965,-0.0006016287615570581,0.001308863113637477,-0.4596575113841084,0.4596575113841084,0.0049235968140163965
6,2.529,1.5000000047076727,47388.8935,47388.91399707361,-0.02049707360913905,-0.0013102497188087674,0.001310295195932299,-0.9999652924595368,0.9999652924595368,0.02049707360913905
9,2.569,1.500000002992992,47388.9355,47388.91407097531,0.02142902468752087,0.0007130025435547614,0.001308863113637477,0.5447495128602468,0.5447495128602468,0.02142902468752087
14,2.554,1.5000000078334317,47388.9735,47388.97231458701,0.00118541298826841,-0.00031282428552947367,0.001308659149309386,-0.239041835832164,0.239041835832164,0.00118541298826841
16,2.53066666666667,1.5000000018069293,47389.0945,47389.1180472722,-0.023547272196804997,-0.0014637259094137875,0.001308863113637477,-1.1183185576572094,1.1183185576572094,0.023547272196804997
17,2.58533333333333,1.500000000958328,47389.1365,47389.11848128672,0.01801871327652501,0.0005688118664225274,0.001308659149309386,0.4346524201681579,0.4346524201681579,0.01801871327652501
18,2.56933333333333,1.5000000077597433,47389.0325,47389.02516807466,0.007331925342121578,-2.0814176442867818e-05,0.0013084551849812953,-0.015907443129712817,0.015907443129712817,0.007331925342121578
20,2.55864814814815,1.4999999945093767,47389.072,47389.09743475055,-0.025434750550160562,-0.001580193249343501,0.0013059249915482558,-1.2100183851065467,1.2100183851065467,0.025434750550160562
24,2.523,1.5000000007921312,47389.107,47389.093735916314,0.013264083690961052,0.0003823444089115544,0.0013033947981152163,0.2933450474594853,0.2933450474594853,0.013264083690961052
26,2.55144444444444,1.500000002157559,47388.9885,47388.97513075683,0.013369243168510438,0.00026431299679722614,0.0012885299283030358,0.20512755737487623,0.20512755737487623,0.013369243168510438
27,2.508,1.499999999302166,47389.0995,47389.125303707995,-0.025803707994927604,-0.0016387138753665828,0.0012736650584908552,-1.2866128849512979,1.2866128849512979,0.025803707994927604
29,2.514,1.5000000000999538,47389.0445,47389.037105386975,0.007394613031415172,0.00011962736220037139,0.0012703621557976835,0.09416792026936224,0.09416792026936224,0.007394613031415172
33,2.538,1.500000006489402,47389.2065,47389.187651748085,0.01884825191256391,0.0005294367108127073,0.001267059253104512,0.4178468445855999,0.4178468445855999,0.01884825191256391
35,2.4955,1.4999999997595226,47389.142,47389.16660955491,-0.024609554905833952,-0.0016024089044723504,0.0012346254391548597,-1.297890723496877,1.297890723496877,0.024609554905833952
36,2.54566666666667,1.5000000014323196,47389.2135,47389.21260852857,0.0008914714270507288,-0.0001803553037997667,0.001202191625205207,-0.1500220929995092,0.1500220929995092,0.0008914714270507288
37,2.492,1.50000000265041,47389.2095,47389.186343003516,0.023156996480224165,0.0007592262706664949,0.0011863607611616155,0.6399623921505163,0.6399623921505163,0.023156996480224165
39,2.477,1.5000000044509127,47389.2765,47389.29824646641,-0.02174646641264954,-0.0014685904387854182,0.001170529897118024,-1.2546372735982676,1.2546372735982676,0.02174646641264954
41,2.449,1.5000000009812176,47389.323,47389.328922526845,-0.005922526846604467,-0.0005221164324391959,0.0011660487396391631,-0.4477655304535265,0.4477655304535265,0.005922526846604467
45,2.471,1.4999999977894385,47389.514500000005,47389.48833227443,0.02616772557456369,0.0009396569118472404,0.001170529897118024,0.8027619919497837,0.8027619919497837,0.02616772557456369
46,2.5305,1.4999999993091413,47389.4325,47389.44984747383,-0.01734747382473125,-0.0012436032358782616,0.0011660487396391631,-1.0665105098978092,1.0665105098978092,0.01734747382473125
51,2.501,1.4999999961543782,47389.624500000005,47389.63715573736,-0.012655737353652045,-0.0008591553297727804,0.0011615675821603025,-0.7396516078512705,0.7396516078512705,0.012655737353652045
53,2.47133333333333,1.500000000704858,47389.783500000005,47389.756133482035,0.02736651796967991,0.0010346461558745923,0.0011660487396391631,0.8873095272113294,0.8873095272113294,0.02736651796967991
54,2.48375,1.5000000039814316,47389.776,47389.78745359481,-0.011453594807256025,-0.0009487714777541594,0.0011615675821603025,-0.8168026487013512,0.8168026487013512,0.011453594807256025
55,2.51241666666667,1.4999999966716586,47389.7755,47389.79425786991,-0.01875786990247879,-0.0011778988235004164,0.0011556640928487088,-1.0192397867073113,1.0192397867073113,0.01875786990247879
56,2.49925,1.4999999944578042,47389.855500000005,47389.82888297237,0.0266170276351735,0.001043281392917488,0.0011615675821603025,0.8981667609707014,0.8981667609707014,0.0266170276351735
57,2.486,1.4999999964152242,47389.929,47389.93370225304,-0.004702253041823186,-0.0005644758203384201,0.0011556640928487088,-0.4884428129518057,0.4884428129518057,0.004702253041823186
63,2.47616666666667,1.4999999991352733,47390.0735,47390.097273285544,-0.023773285549263234,-0.001432678807941985,0.001149760603537115,-1.246067053901919,1.246067053901919,0.023773285549263234
79,2.581,1.4999999941047286,47390.4975,47390.473394420536,0.02410557946284738,0.0009173408317886986,0.0011556640928487088,0.7937780860937333,0.7937780860937333,0.02410557946284738
81,2.5895,1.5000000005622387,47390.4785,47390.475856851874,0.002643148123029887,-0.00017665494640938897,0.001149760603537115,-0.15364498128212867,0.15364498128212867,0.002643148123029887
82,2.545,1.499999998140784,47390.399000000005,47390.42612555228,-0.027125552272955218,-0.0015971888191261161,0.0011318604099730231,-1.411118195364907,1.411118195364907,0.027125552272955218
84,2.53,1.4999999996929163,47390.434,47390.41444730892,0.01955269108124783,0.0007080929817081889,0.001149760603537115,0.6158612319206425,0.6158612319206425,0.01955269108124783
91,2.58366666666667,1.5000000042322597,47390.5085,47390.49880341805,0.009696581950320124,0.00019096221823251247,0.0011318604099730231,0.16871534382677444,0.16871534382677444,0.009696581950320124
92,2.57175,1.499999998563764,47390.5265,47390.5551038319,-0.028603831906261576,-0.0016857083617189657,0.0011139602164089311,-1.513257239251485,1.513257239251485,0.028603831906261576
94,2.54925,1.4999999994735422,47390.5405,47390.52666777722,0.013832222780722953,0.0004118255763558769,0.0011237772820411251,0.36646547579950633,0.36646547579950633,0.013832222780722953
97,2.51966666666667,1.499999998767825,47390.548,47390.53195471684,0.01604528316568556,0.00047788179832436244,0.0011139602164089311,0.42899359535918435,0.42899359535918435,0.01604528316568556
98,2.55845833333333,1.5000000007278664,47390.5625,47390.59092746242,-0.028427462420544322,-0.001700407012233244,0.001111813111628138,-1.529400035355915,1.529400035355915,0.028427462420544322
100,2.60283333333333,1.5000000009344936,47390.601,47390.593784455756,0.007215544243284076,7.971134923089619e-05,0.001109666006847345,0.07183364069821592,0.07183364069821592,0.007215544243284076
105,2.52475,1.499999995832524,47390.564,47390.54247904643,0.021520953565703473,0.0007749548088754833,0.0010954617646569097,0.7074229643406982,0.7074229643406982,0.021520953565703473
107,2.53225,1.5000000011245145,47390.6355,47390.662031046275,-0.026531046275238848,-0.0014876081938217968,0.0010812575224664741,-1.3758130352040367,1.3758130352040367,0.026531046275238848
114,2.55,1.4999999958722572,47391.0155,47391.01555190822,-5.1908213770629946e-05,-0.0002513695269380793,0.001077215821789541,-0.2333511278366557,0.2333511278366557,5.1908213770629946e-05
136,2.553,1.5000000008136083,47392.1755,47392.1497823528,0.025717647203497385,0.0009587372182877135,0.0010731741211126074,0.8933659500601336,0.8933659500601336,0.025717647203497385
139,2.628,1.5000000070746256,47392.2055,47392.227846640766,-0.02234664076946029,-0.0011871930133704202,0.0010693963640495952,-1.1101524685148099,1.1101524685148099,0.02234664076946029
142,2.551,1.5000000034974792,47392.186,47392.192530844244,-0.006530844243552567,-0.0005578295413755944,0.001065618606986583,-0.5234795429793185,0.5234795429793185,0.006530844243552567
150,2.58516666666667,1.5000000030256746,47392.3085,47392.28132856883,0.027171431167639017,0.0010466473207498236,0.0010562350489920313,0.9909227323488674,0.9909227323488674,0.027171431167639017
152,2.5885,1.499999997332705,47392.2825,47392.300036501714,-0.017536501713512186,-0.0007934897584754538,0.0010468514909974798,-0.7579773877184687,0.7579773877184687,0.017536501713512186
159,2.622,1.4999999980383298,47392.3655,47392.37759782784,-0.012097827841639128,-0.0007756416415050953,0.0010314376516586104,-0.7520005113811964,0.7520005113811964,0.012097827841639128
166,2.612,1.500000001770511,47392.620500000005,47392.59331477519,0.027185224813656907,0.0009725978258336825,0.0010160238123197408,0.9572588890540764,0.9572588890540764,0.027185224813656907
172,2.606,1.500000003047756,47392.8165,47392.828590754514,-0.012090754516110086,-0.0004979077048476775,0.0010138599156989435,-0.49110108520704815,0.49110108520704815,0.012090754516110086
174,2.59966666666667,1.4999999998625302,47392.84,47392.85661314192,-0.016613141926798126,-0.0009058592130664622,0.0010138599156989435,-0.8934757149778164,0.8934757149778164,0.016613141926798126
188,2.5355,1.4999999937676778,47393.2625,47393.23662171974,0.025878280256230613,0.0008749319160080519,0.0009965971205971832,0.8779193697487037,0.8779193697487037,0.025878280256230613
193,2.53566666666667,1.500000005537179,47393.404,47393.41061248557,-0.006612485563411294,-0.00023302676874721286,0.0009945672873733497,-0.23429965142191245,0.23429965142191245,0.006612485563411294
194,2.572,1.50000000743441,47393.48,47393.49976539402,-0.019765394019684808,-0.0009761451275349548,0.0009945672873733497,-0.9814772111728631,0.9814772111728631,0.019765394019684808
195,2.54633333333333,1.4999999934389312,47393.4435,47393.420000132406,0.023499867593669954,0.0007254163302256072,0.0009945672873733497,0.7293788358366685,0.7293788358366685,0.023499867593669954
196,2.546,1.5000000000981524,47393.474,47393.475509381555,-0.0015093815518415598,-2.3043137498219197e-05,0.0009807410406110178,-0.023495639056629,0.023495639056629,0.0015093815518415598
197,2.5415,1.4999999970665236,47393.429,47393.451069456,-0.02206945600443651,-0.0009864569416223874,0.0009807410406110178,-1.0058281450196154,1.0058281450196154,0.02206945600443651
198,2.544,1.5000000024878746,47393.518,47393.497502840415,0.02049715958456723,0.0005703362521225612,0.0009807410406110178,0.581536030925383,0.581536030925383,0.02049715958456723
203,2.55866666666667,1.4999999992242468,47393.748,47393.744776701395,0.003223298603734972,0.00012777389891064115,0.0009721011993565537,0.13144094359230946,0.13144094359230946,0.003223298603734972
208,2.52916666666667,1.5000000052516786,47393.7735,47393.79684927714,-0.023349277136312564,-0.0009861038303625,0.0009721011993565537,-1.0144044992591459,1.0144044992591459,0.023349277136312564
213,2.52083333333333,1.50000000876091,47393.988,47393.97079244398,0.0172075560191131,0.00040047382110607613,0.0009721011993565537,0.4119672122317665,0.4119672122317665,0.0172075560191131
217,2.59583333333333,1.499999991410326,47394.022,47394.01460134682,0.007398653180293244,0.00025354056550600776,0.0009721011993565537,0.26081704834211655,0.26081704834211655,0.007398653180293244
218,2.52594444444444,1.4999999911968394,47393.964,47393.9877484552,-0.02374845519859209,-0.0009563956570127576,0.0009721011993565537,-0.9838437167301185,0.9838437167301185,0.02374845519859209
230,2.56883333333333,1.500000000076131,47394.126,47394.11252503197,0.013474968030211684,0.0003328610603947531,0.0009653968924514577,0.3447919327246955,0.3447919327246955,0.013474968030211684
233,2.5435,1.4999999960890318,47394.137,47394.12603018269,0.010969817311375625,0.00044305082273749197,0.0009653968924514577,0.45893127086046587,0.45893127086046587,0.010969817311375625
