track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,wavelet_name,wavelet_level,wavelet_threshold,mirror_pad_size,denoised_delta_rms
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.1250526476709,-0.00015665354202928306,2.8376623311108364,2.8376623354348762,150.79284096296033,0.9058896408077827,1.145017683378832,30.216739076153566,wavelet,db4,6,0.22062112858930655,800,0.07826583742773156
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.39896797869994,-0.0001360033817926759,0.5595621515686002,0.5595621680966298,20.171307232623803,0.9338404692489002,0.8173409755209831,14.182020222013929,wavelet,db4,6,0.21949647435229555,800,0.07800748118115869
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.502860198108856,-0.0001546533926304549,6.684294266342577,6.684294268131671,307.744247533672,1.0650478086348887,1.9176705760384012,198.54545003647584,wavelet,db4,6,0.22419504041523464,800,0.0802490675549114
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.38939866543804,-0.0003039384619598079,3.2077506992806386,3.2077507136799164,118.12327203671157,1.0426165702496317,1.163382673503108,17.9679799793949,wavelet,db4,6,0.24419480034437271,800,0.11500060560340541
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.125738976277084,-9.34813297438788e-05,0.4534710446327981,0.45347105426820816,11.95013080460194,0.8001118660121969,0.6451237838172518,9.47397605897923,wavelet,db4,6,0.22491365867003466,800,0.07673323555822616
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.14809463715262,-0.00022165610877359756,2.4731074614934485,2.473107471426585,91.12571270876651,0.9594965949075795,0.9322431911411531,14.195904966579256,wavelet,db4,6,0.23442437434122543,800,0.07750511148426018
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.857754345131816,0.03213195649653822,2.7924306174836833,2.7926154794544487,24.567016021457675,0.8267027242142283,0.563475534172295,3.6196003704326425,wavelet,db4,6,0.3412413820658687,800,0.19129209105857015
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.701762634313056,2.545489737225548e-05,3.151137146671708,3.1511371467745204,166.05973759154585,0.9622945767095036,0.914639727565391,15.29538372885399,wavelet,db4,6,0.22476676159413259,800,0.07991680878209821
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.9440480346932,-0.001108160398881276,2.29070880092144,2.290709068964981,27.926622497892822,0.8200191193845416,0.6674746624548791,4.922231937764012,wavelet,db4,6,0.3092458433996417,800,0.1690816219560604
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.28273445087736,-0.0002048765962102579,0.8221409972636423,0.8221410227911485,16.44779180212936,0.818682902097463,0.7193934037536394,8.377244920562013,wavelet,db4,6,0.22141037472103567,800,0.07365600744745036
