sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
0,4.537,47347.124,47350.675,393671.913850665,393672.161687503,3107841.23000939,3107842.70939335,1.4999999996954283,47348.8995,-3.550999999999476,-2.367333333813666
2,4.531,47347.183,47350.903,393671.449947263,393671.822650283,3107841.3258165,3107842.77877639,1.4999999943654598,47349.043,-3.720000000001164,-2.4800000093165493
3,4.553,47347.183,47350.856,393671.225264351,393671.64997825,3107841.38761112,3107842.82622786,1.5000000069128527,47349.019499999995,-3.673000000002503,-2.4486666553834873
5,4.522,47347.211,47351.043,393670.790293984,393671.298630467,3107841.53271089,3107842.94394936,1.4999999998191083,47349.127,-3.8319999999948777,-2.5546666669713307
6,4.5,47347.47,47351.085,393670.576989108,393671.12301266,3107841.6142564,3107843.01134561,1.4999999932330785,47349.2775,-3.6149999999979627,-2.410000010870829
8,4.494,47347.626,47351.2,393670.170664977,393670.760004965,3107841.78305282,3107843.1624289,1.4999999975077198,47349.413,-3.574000000000524,-2.3826666706258646
9,4.454,47347.673,47351.24,393669.973980697,393670.576272064,3107841.8686287,3107843.2423991,1.5000000012807708,47349.4565,-3.56699999999546,-2.3779999979665245
10,4.479,47347.613,47351.444,393669.78150628,393670.39114293,3107841.95316601,3107843.3236926,1.499999992904694,47349.5285,-3.831000000005588,-2.554000012084666
11,4.448,47347.694,47351.416,393669.593151268,393670.204683827,3107842.03547269,3107843.40515438,1.500000000768456,47349.555,-3.7219999999942956,-2.4813333320583335
13,4.426,47347.791,47351.569,393669.227802522,393669.828636098,3107842.18983422,3107843.56424282,1.4999999951940428,47349.68,-3.7780000000057044,-2.5186666747402056
15,4.433,47347.944,47351.558,393668.879057786,393669.446654722,3107842.32538699,3107843.7138515,1.49999999238988,47349.751000000004,-3.613999999994121,-2.409333345552958
16,4.386,47347.912,47351.53,393668.708244037,393669.255963985,3107842.38635791,3107843.78278294,1.5000000021277395,47349.721,-3.618000000002212,-2.4119999965800694
17,4.402,47347.876,47351.704,393668.543922519,393669.061262684,3107842.4411563,3107843.84911907,1.5000000028584122,47349.78999999999,-3.8280000000013388,-2.5519999951377805
19,4.374,47347.986,47351.77,393668.223918723,393668.670352376,3107842.53767054,3107843.96969603,1.5000000033849321,47349.878,-3.7839999999996508,-2.52266666097373
20,4.365,47348.183,47351.946,393668.067132688,393668.475074217,3107842.58055031,3107844.02401271,1.4999999968744822,47350.0645,-3.7630000000062864,-2.5086666718981125
22,4.349,47348.29,47351.808,393667.769631019,393668.074756629,3107842.65601527,3107844.12465354,1.5000000021602062,47350.049,-3.517999999996391,-2.3453333299533248
23,4.343,47348.209,47352.036,393667.630049954,393667.868376086,3107842.69030422,3107844.17125009,1.5000000048393682,47350.1225,-3.826999999997497,-2.551333325100437
25,4.328,47348.338,47352.129,393667.346996462,393667.464851382,3107842.75911256,3107844.25447546,1.4999999946907894,47350.2335,-3.790999999997439,-2.527333342277056
26,4.334,47348.271,47352.025,393667.192650005,393667.27834888,3107842.79431225,3107844.29186215,1.5000000003752751,47350.148,-3.754000000000815,-2.502666666041084
28,4.297,47348.409,47352.129,393666.863692766,393666.929883274,3107842.86399715,3107844.36253605,1.500000005756416,47350.269,-3.720000000001164,-2.4799999904835017
29,4.306,47348.453,47352.254,393666.69959574,393666.75715665,3107842.89775472,3107844.39664989,1.4999999965036144,47350.3535,-3.800999999999476,-2.5340000059062118
34,4.282,47348.598,47352.403,393665.880900147,393665.905482942,3107843.04633269,3107844.54613124,1.5000000017342352,47350.500499999995,-3.805000000000291,-2.5366666637340765
35,4.291,47348.515,47352.342,393665.716752298,393665.73740118,3107843.069157,3107844.56901487,1.50000000210719,47350.428499999995,-3.826999999997497,-2.551333329747569
42,4.319,47348.67,47352.439,393664.557963584,393664.572515745,3107843.11842593,3107844.61835534,1.5000000000638547,47350.5545,-3.769000000000233,-2.5126666665598583
47,4.38,47348.754,47352.565,393663.712300086,393663.745603577,3107843.03968652,3107844.53931677,1.5000000031129797,47350.6595,-3.8110000000015134,-2.54066666139498
48,4.411,47348.892,47352.668,393663.540744103,393663.580049363,3107843.01829391,3107844.51777886,1.500000005991983,47350.78,-3.775999999998021,-2.517333323276135
49,4.396,47348.772,47352.548,393663.367377764,393663.415241287,3107842.99673036,3107844.49596653,1.5000000031588467,47350.66,-3.776000000005297,-2.5173333280356176
53,4.47,47349.042,47352.625,393662.667358306,393662.750485401,3107842.92254892,3107844.42024377,1.4999999925153793,47350.8335,-3.5829999999987194,-2.3886666785846558
54,4.463,47348.997,47352.667,393662.488357541,393662.584958154,3107842.91011168,3107844.40699789,1.50000000142583,47350.832,-3.6699999999982538,-2.4466666643398156
56,4.485,47348.961,47352.818,393662.135726436,393662.244161704,3107842.89471441,3107844.39078987,1.499999996673796,47350.889500000005,-3.856999999996333,-2.5713333390327415
59,4.50266666666667,47349.039,47352.698,393661.610300702,393661.717906149,3107842.8975387,3107844.39367408,1.5000000021584812,47350.8685,-3.6589999999996508,-2.4393333298229303
60,4.516,47349.165,47352.808,393661.433459007,393661.540979729,3107842.90531995,3107844.40146142,1.5000000013394839,47350.9865,-3.642999999996391,-2.4286666644954877
62,4.52427777777778,47349.198,47353.018,393661.077162414,393661.184785923,3107842.9297141,3107844.42584818,1.5000000016695028,47351.10799999999,-3.819999999999709,-2.546666663832028
63,4.547,47349.169,47352.875,393660.89766836,393661.005524557,3107842.94563508,3107844.4417524,1.4999999980606258,47351.022,-3.705999999998312,-2.4706666698599062
64,4.574,47349.263,47352.872,393660.717307844,393660.825440466,3107842.96351269,3107844.45961005,1.4999999917824147,47351.067500000005,-3.6090000000040163,-2.4060000131836845
66,4.568,47349.377,47352.951,393660.353858964,393660.462906882,3107843.00348816,3107844.49951909,1.4999999972762807,47351.164000000004,-3.574000000000524,-2.3826666709934927
67,4.562,47349.357,47353.118,393660.170819147,393660.280404276,3107843.0247651,3107844.52075678,1.5000000026772462,47351.2375,-3.760999999998603,-2.507333328857236
70,4.579,47349.525,47353.189,393659.616165128,393659.72826219,3107843.08938123,3107844.58518679,1.5000000083567941,47351.357,-3.6639999999970314,-2.4426666530561127
73,4.62,47349.722,47353.344,393659.053487413,393659.169079004,3107843.14950741,3107844.64504697,1.499999997127062,47351.532999999996,-3.621999999995751,-2.414666671288626
74,4.59,47349.703,47353.441,393658.864125429,393658.98120314,3107843.16779948,3107844.66322344,1.5000000035505068,47351.572,-3.7379999999975553,-2.491999994099795
75,4.614,47349.869,47353.483,393658.674060646,393658.792417467,3107843.18511746,3107844.68044073,1.5000000063877843,47351.676,-3.614000000001397,-2.4093333230740637
86,4.506,47350.135,47354.025,393656.523031195,393656.676603349,3107843.34325695,3107844.83537478,1.5000000084485983,47352.08,-3.889999999999418,-2.5933333187262577
101,4.275,47351.179,47354.878,393653.496690328,393653.652402751,3107843.66903695,3107845.16093294,1.5000000011960555,47353.0285,-3.699000000000524,-2.465999998034034
103,4.245,47351.219,47354.997,393653.093014725,393653.236928135,3107843.71791479,3107845.21099514,1.5000000004787386,47353.108,-3.7780000000057044,-2.5186666658666144
104,4.251,47351.31,47354.942,393652.891478728,393653.028405322,3107843.74112597,3107845.23486327,1.5000000044468935,47353.126000000004,-3.632000000005064,-2.421333326158435
105,4.214,47351.293,47355.011,393652.690200167,393652.819413441,3107843.7632251,3107845.25764938,1.4999999993896718,47353.152,-3.7180000000007567,-2.4786666676757045
107,4.192,47351.361,47355.078,393652.288593853,393652.400197023,3107843.80332456,3107845.29916704,1.4999999971443896,47353.2195,-3.717000000004191,-2.478000004720262
109,4.171,47351.464,47355.219,393651.886172675,393651.982041905,3107843.83714693,3107845.33408016,1.5000000016442196,47353.341499999995,-3.7549999999973807,-2.503333330587567
