sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
185,3.019,47396.449,47400.114,393645.781019856,393645.967188039,3107818.43801774,3107819.92642004,1.4999999997160034,47398.2815,-3.665000000000873,-2.4433333337965144
187,3.071,47396.484,47400.161,393645.34196767,393645.544361361,3107818.41913459,3107819.90541747,1.500000001798308,47398.322499999995,-3.677000000003318,-2.4513333303967104
188,3.08,47396.579,47400.192,393645.116092662,393645.328142118,3107818.454371,3107819.93930704,1.5000000047926083,47398.385500000004,-3.6130000000048312,-2.4086666589740235
190,3.117,47396.482,47400.236,393644.651562502,393644.886521389,3107818.60818757,3107820.08967139,1.499999996187195,47398.359,-3.753999999993539,-2.5026666730238127
191,3.1205,47396.583,47400.198,393644.412895377,393644.661337893,3107818.72221645,3107820.20149882,1.500000004483142,47398.390499999994,-3.6149999999979627,-2.409999992795727
192,3.124,47396.62,47400.367,393644.17031421,393644.43305978,3107818.85688336,3107820.33369234,1.4999999994239277,47398.4935,-3.746999999995751,-2.4980000009565195
193,3.148,47396.805,47400.336,393643.92777444,393644.197890727,3107819.00780862,3107820.48328725,1.4999999987521084,47398.5705,-3.5310000000026776,-2.354000001960143
194,3.185,47396.661,47400.432,393643.68374629,393643.957541873,3107819.17122903,3107820.64602935,1.500000001591703,47398.5465,-3.7710000000006403,-2.5139999973327325
196,3.207,47396.915,47400.578,393643.187086363,393643.466278358,3107819.51946986,3107820.99325811,1.4999999917534403,47398.7465,-3.6630000000004657,-2.4420000134257096
197,3.228,47396.885,47400.635,393642.934689455,393643.215600128,3107819.69583587,3107821.16929751,1.5000000031886134,47398.76,-3.75,-2.4999999946856444
198,3.216,47396.856,47400.7,393642.679755446,393642.961732494,3107819.86833377,3107821.3415917,1.499999994658384,47398.778,-3.8439999999973224,-2.562666675790736
199,3.259,47397.05,47400.632,393642.422424754,393642.704822189,3107820.03333225,3107821.50650966,1.4999999972764664,47398.841,-3.5819999999948777,-2.3880000043324507
200,3.281,47397.066,47400.872,393642.162897371,393642.444975825,3107820.18763415,3107821.66087268,1.5000000069376447,47398.969,-3.8060000000041327,-2.537333321600677
202,3.25316666666667,47397.335,47400.871,393641.637781242,393641.917265182,3107820.45413139,3107821.92786431,1.4999999973004063,47399.103,-3.536000000000058,-2.3573333375759336
203,3.305,47397.266,47401.024,393641.372384426,393641.649912131,3107820.562856,3107822.03695857,1.5000000048488589,47399.145000000004,-3.757999999994354,-2.5053333252308976
204,3.311,47397.407,47401.179,393641.105569583,393641.380248764,3107820.65391994,3107822.12855594,1.4999999951021694,47399.293,-3.771999999997206,-2.514666674875745
205,3.327,47397.337,47401.081,393640.837413319,393641.108589296,3107820.72718907,3107822.20247331,1.4999999995150228,47399.209,-3.7439999999987776,-2.496000000806187
206,3.358,47397.49,47401.218,393640.567840546,393640.835413379,3107820.783156,3107822.259098,1.50000000259154,47399.354,-3.728000000002794,-2.485333329041302
207,3.336,47397.488,47401.286,393640.297261269,393640.560728125,3107820.82276861,3107822.29944909,1.500000008015058,47399.387,-3.798000000002503,-2.531999986472251
209,3.364,47397.534,47401.306,393639.754332781,393640.007303829,3107820.85907658,3107822.33759125,1.4999999934403991,47399.42,-3.771999999997206,-2.5146666776616104
211,3.395,47397.633,47401.255,393639.210949891,393639.449534207,3107820.85173751,3107822.3326418,1.4999999973121343,47399.444,-3.621999999995751,-2.4146666709907003
212,3.373,47397.598,47401.355,393638.938375187,393639.1708721,3107820.83773666,3107822.31960885,1.5000000004756417,47399.476500000004,-3.757000000005064,-2.5046666658758268
213,3.416,47397.627,47401.315,393638.665920744,393638.892267622,3107820.81998703,3107822.30281106,1.5000000047015574,47399.471000000005,-3.688000000001921,-2.4586666589615724
214,3.388,47397.585,47401.461,393638.393051018,393638.614724105,3107820.80091059,3107822.28444051,1.499999993437178,47399.523,-3.8760000000038417,-2.584000011308116
215,3.404,47397.511,47401.462,393638.120667707,393638.337809116,3107820.78253496,3107822.26673495,1.50000000019717,47399.4865,-3.9510000000009313,-2.63399999965439
216,3.441,47397.567,47401.386,393637.848438588,393638.062324124,3107820.76683423,3107822.25150691,1.4999999964487294,47399.476500000004,-3.8189999999958673,-2.546000006024935
217,3.432,47397.567,47401.366,393637.576904142,393637.78819637,3107820.75536461,3107822.24040858,1.4999999994224738,47399.4665,-3.7989999999990687,-2.5326666676411667
218,3.425,47397.549,47401.45,393637.306407378,393637.515547531,3107820.74939023,3107822.23473881,1.5000000025110845,47399.4995,-3.900999999998021,-2.600666662311685
219,3.472,47397.542,47401.315,393637.036909255,393637.244876802,3107820.74988934,3107822.23540255,1.499999999523849,47399.4285,-3.7730000000010477,-2.515333334132484
220,3.41,47397.614,47401.29,393636.768795,393636.976253096,3107820.75743898,3107822.24302343,1.5000000065185135,47399.452000000005,-3.675999999999476,-2.450666656016515
222,3.456,47397.487,47401.328,393636.237607088,393636.446035424,3107820.79447588,3107822.27992451,1.5000000012682186,47399.4075,-3.8410000000003492,-2.5606666645019094
224,3.478,47397.445,47401.423,393635.714393198,393635.926802554,3107820.85930578,3107822.34419038,1.5000000034268928,47399.434,-3.978000000002794,-2.6519999939431163
227,3.484,47397.416,47401.343,393634.948861266,393635.171304377,3107820.99762027,3107822.48103493,1.4999999967910649,47399.379499999995,-3.927000000003318,-2.618000005602873
231,3.447,47397.221,47401.045,393633.964722635,393634.222252356,3107821.22397969,3107822.70170715,1.5000000008285006,47399.133,-3.824000000000524,-2.5493333319255997
241,3.462,47397.436,47401.288,393631.78637059,393632.1488152,3107821.77201411,3107823.22756689,1.499999996972554,47399.362,-3.8519999999989523,-2.5680000051822893
253,3.493,47398.099,47401.901,393629.785592668,393630.256191481,3107822.37191453,3107823.79618162,1.4999999954235421,47400.0,-3.801999999996042,-2.534666674397225
