sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
0,2.52116666666667,47386.723,47390.989,393671.04388613,393671.177738921,3107712.89090923,3107714.38492511,1.5000000063832408,47388.856,-4.26600000000326,-2.8439999878995486
1,2.56,47386.79,47390.91,393670.940515263,393671.044796963,3107712.86861386,3107714.36498458,1.5000000012879526,47388.850000000006,-4.120000000002619,-2.7466666643100286
2,2.575,47386.743,47390.983,393670.831188619,393670.898150881,3107712.84651633,3107714.34502094,1.5000000038396368,47388.863,-4.239999999997963,-2.8266666594297263
3,2.591,47386.785,47391.029,393670.720789409,393670.752577358,3107712.82490648,3107714.32456962,1.5000000025506077,47388.90700000001,-4.243999999998778,-2.8293333285215057
4,2.597,47386.876,47391.108,393670.599465755,393670.598268384,3107712.80379507,3107714.3037946,1.5000000080469318,47388.992,-4.232000000003609,-2.8213333182003546
6,2.529,47386.876,47390.911,393670.363520501,393670.303002304,3107712.78459806,3107714.28337675,1.5000000047076727,47388.8935,-4.0350000000034925,-2.689999991559902
9,2.569,47386.877,47390.994,393669.988633361,393669.85158259,3107712.75754437,3107714.25127028,1.5000000029929919,47388.9355,-4.11699999999837,-2.74466666118907
14,2.554,47386.905,47391.042,393669.328372096,393669.115399879,3107712.73495896,3107714.21976294,1.5000000078334315,47388.9735,-4.137000000002445,-2.7579999855985604
16,2.53066666666667,47387.011,47391.178,393669.061698824,393668.831398918,3107712.72761649,3107714.20983171,1.5000000018069293,47389.0945,-4.167000000001281,-2.7779999966544207
17,2.58533333333333,47387.085,47391.188,393668.926346171,393668.691315949,3107712.71812783,3107714.19960034,1.5000000009583279,47389.1365,-4.103000000002794,-2.735333331587632
18,2.56933333333333,47386.996,47391.069,393668.790118877,393668.552304635,3107712.71957318,3107714.20060134,1.5000000077597433,47389.0325,-4.073000000003958,-2.7153333192891123
20,2.55864814814815,47387.044,47391.1,393668.554214962,393668.315976903,3107712.69953775,3107714.18049778,1.4999999945093767,47389.072,-4.055999999996857,-2.704000009895668
24,2.523,47386.97,47391.244,393668.103868507,393667.881233796,3107712.68009008,3107714.163476,1.5000000007921312,47389.107,-4.2739999999976135,-2.849333331827045
26,2.55144444444444,47386.877,47391.1,393667.879906475,393667.672480995,3107712.6698275,3107714.1554165,1.500000002157559,47388.9885,-4.222999999998137,-2.815333329282593
27,2.508,47387.067,47391.132,393667.7682643,393667.567864262,3107712.67030657,3107714.15685957,1.499999999302166,47389.0995,-4.064999999995052,-2.710000001257455
29,2.514,47386.948,47391.141,393667.5195081,393667.344585827,3107712.65971386,3107714.14947968,1.5000000000999538,47389.0445,-4.1930000000065775,-2.795333333151449
33,2.538,47387.108,47391.305,393666.906406187,393666.817413503,3107712.66098538,3107714.15834316,1.5000000064894021,47389.2065,-4.197000000000116,-2.7979999878951793
35,2.4955,47387.041,47391.243,393666.581355616,393666.552667049,3107712.66242258,3107714.16214821,1.4999999997595226,47389.142,-4.202000000004773,-2.80133333378562
36,2.54566666666667,47387.154,47391.273,393666.415307915,393666.424013261,3107712.67469178,3107714.17466652,1.5000000014323196,47389.2135,-4.118999999998778,-2.7459999973770852
37,2.492,47387.177,47391.242,393666.260901498,393666.303181063,3107712.67620033,3107714.17560436,1.50000000265041,47389.2095,-4.064999999995052,-2.7099999952082943
39,2.477,47387.253,47391.3,393665.91172279,393666.043296894,3107712.70366808,3107714.19788636,1.5000000044509127,47389.2765,-4.047000000005937,-2.6979999919982496
41,2.449,47387.313,47391.333,393665.514031047,393665.773537122,3107712.77047293,3107714.2478546,1.5000000009812176,47389.323000000004,-4.019999999996799,-2.679999998244757
45,2.471,47387.458,47391.571,393664.670169762,393665.16611218,3107713.00730577,3107714.42294736,1.4999999977894383,47389.514500000005,-4.113000000004831,-2.7420000040441277
46,2.5305,47387.349,47391.516,393664.464291098,393664.999634878,3107713.0826776,3107714.48389387,1.4999999993091413,47389.4325,-4.167000000001281,-2.778000001280324
51,2.501,47387.55,47391.699,393663.519540865,393664.162624125,3107713.5237371,3107714.87889167,1.4999999961543782,47389.624500000005,-4.1489999999976135,-2.7660000070897355
53,2.47133333333333,47387.633,47391.934,393663.185316042,393663.831367755,3107713.69366185,3107715.04740377,1.500000000704858,47389.783500000005,-4.300999999999476,-2.867333331985609
54,2.48375,47387.678,47391.874,393663.021458418,393663.662386272,3107713.77151277,3107715.12768809,1.5000000039814316,47389.776,-4.196000000003551,-2.7973333259107727
55,2.51241666666667,47387.746,47391.805,393662.860584107,393663.490618511,3107713.85911612,3107715.22038635,1.4999999966716586,47389.7755,-4.059000000001106,-2.7060000060050653
56,2.49925,47387.889,47391.822,393662.702418252,393663.316142295,3107713.94555148,3107715.31425261,1.4999999944578042,47389.855500000005,-3.9329999999972642,-2.6220000096859346
57,2.486,47387.959,47391.899,393662.556882694,393663.14869569,3107714.03080705,3107715.40912391,1.4999999964152242,47389.929000000004,-3.9399999999950523,-2.626666672940709
63,2.47616666666667,47388.103,47392.044,393662.095629095,393662.591772139,3107714.24947011,3107715.6650414,1.4999999991352733,47390.0735,-3.940999999998894,-2.6273333348472128
79,2.581,47388.523,47392.472,393660.803753137,393660.796058888,3107714.16556763,3107715.66554789,1.4999999941047286,47390.4975,-3.949000000000524,-2.6326666770138725
81,2.5895,47388.47,47392.487,393660.586833896,393660.520298476,3107714.10198126,3107715.60050488,1.5000000005622387,47390.4785,-4.016999999999825,-2.6779999989961003
