sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
0,1.36646000366275,47280.399,47277.108,388751.307912682,388751.102396756,3108110.65921435,3108109.17335998,1.5000000016166564,47278.7535,3.290999999997439,2.193999997633663
1,1.36917700961611,47280.332,47277.223,388751.575027999,388751.357538761,3108110.61760895,3108109.1334599,1.4999999903904042,47278.7775,3.1090000000040163,2.07266667994767
2,1.37196251150757,47280.419,47277.152,388751.843804482,388751.612639132,3108110.5752133,3108109.09313281,1.499999999158572,47278.7855,3.2669999999998254,2.178000001221637
3,1.37481481766952,47280.368,47277.265,388752.108146338,388751.873642921,3108110.53346301,3108109.05190703,1.4999999916554045,47278.8165,3.103000000002794,2.068666678176654
4,1.37773207195039,47280.423,47277.306,388752.37241374,388752.136022477,3108110.49218859,3108109.01093264,1.5000000061561694,47278.864499999996,3.117000000005646,2.0779999914754175
5,1.38071224538041,47280.536,47277.052,388752.637039918,388752.399161469,3108110.45173539,3108108.97071755,1.4999999997212339,47278.794,3.4839999999967404,2.3226666670961476
6,1.38375314983451,47280.493,47277.112,388752.902087445,388752.662799935,3108110.41235206,3108108.93156123,1.4999999979806034,47278.802500000005,3.3810000000012224,2.254000003035295
7,1.38685243935824,47280.494,47277.101,388753.167451276,388752.926832731,3108110.37408007,3108108.89350494,1.4999999997782252,47278.7975,3.392999999996391,2.2620000003320304
8,1.39000762013663,47280.636,47277.123,388753.433141404,388753.191028545,3108110.33667208,3108108.85634058,1.4999999955182497,47278.879499999995,3.5129999999990105,2.3420000069968463
9,1.39321605568981,47280.547,47277.286,388753.698793498,388753.455521089,3108110.29970288,3108108.81956149,1.4999999998975226,47278.9165,3.260999999998603,2.1740000001475925
10,1.39647497139315,47280.572,47277.217,388753.964417045,388753.720062909,3108110.26254292,3108108.78257973,1.4999999962273787,47278.894499999995,3.3550000000032014,2.2366666722941986
11,1.3997814672578,47280.684,47277.153,388754.229890437,388753.984532373,3108110.22456543,3108108.74476835,1.4999999926652634,47278.9185,3.5310000000026776,2.3540000115124315
12,1.40313252632007,47280.583,47277.321,388754.495178499,388754.248718325,3108110.18522909,3108108.70561516,1.4999999997323894,47278.952000000005,3.2619999999951688,2.174666667051422
13,1.40652502973115,47280.65,47277.26,388754.759973977,388754.512680846,3108110.14420966,3108108.66473472,1.4999999972449423,47278.955,3.389999999999418,2.2600000041505655
14,1.40995576383799,47280.68,47277.418,388755.024249782,388754.776201359,3108110.10131085,3108108.62196235,1.5000000017960784,47279.049,3.2620000000024447,2.174666664064382
15,1.41342143276745,47280.636,47277.289,388755.287885052,388755.039158941,3108110.05647745,3108108.57724274,1.5000000017198254,47278.962499999994,3.3470000000015716,2.2313333307760455
16,1.4169186680701,47280.716,47277.261,388755.550817386,388755.301380483,3108110.00970476,3108108.53058974,1.500000003671807,47278.9885,3.4550000000017462,2.3033333276962336
17,1.42044404271862,47280.59,47277.402,388755.812814887,388755.562870998,3108109.96102323,3108108.4819938,1.5000000008901067,47278.996,3.187999999994645,2.125333332068581
18,1.42399407664522,47280.491,47277.528,388756.073832713,388755.823459397,3108109.91041908,3108108.43146229,1.4999999943972508,47279.0095,2.963000000003376,1.975333340713782
19,1.42756524340757,47280.584,47277.287,388756.333769497,388756.083044306,3108109.85789793,3108108.37900075,1.499999996743037,47278.9355,3.297000000005937,2.1980000047764943
20,1.43115398329419,47280.572,47277.44,388756.592554319,388756.341509249,3108109.80350439,3108108.32466147,1.5000000032253962,47279.006,3.131999999997788,2.087999995508774
21,1.43475672593459,47280.611,47277.396,388756.850056987,388756.598814388,3108109.74735464,3108108.26854527,1.4999999989820538,47279.0035,3.2149999999965075,2.143333334785537
22,1.4383699026985,47280.502,47277.321,388757.112586621,388756.848499819,3108109.68849271,3108108.21192298,1.5000000020446262,47278.9115,3.180999999996857,2.120666663773924
23,1.44198995791117,47280.678,47277.439,388757.373564988,388757.09701393,3108109.62817799,3108108.15389189,1.4999999978092726,47279.0585,3.239000000001397,2.1593333364879386
24,1.44561334678374,47280.728,47277.31,388757.632356118,388757.344885313,3108109.56670837,3108108.09451255,1.4999999986687684,47279.019,3.4180000000051223,2.2786666686923702
25,1.44923654356089,47280.75,47277.311,388757.888920574,388757.592069781,3108109.50429303,3108108.03395987,1.499999998137669,47279.0305,3.4389999999984866,2.292666669512127
26,1.45285605473638,47280.728,47277.302,388758.143231556,388757.838535353,3108109.44120751,3108107.97248009,1.5000000035385006,47279.015,3.425999999999476,2.283999994611694
27,1.45646842613266,47280.793,47277.401,388758.395275047,388758.084262951,3108109.37787519,3108107.91047222,1.5000000004845668,47279.096999999994,3.3919999999998254,2.2613333326027054
28,1.46007025002237,47280.867,47277.417,388758.645049937,388758.329246858,3108109.31493556,3108107.8485562,1.5000000038790826,47279.142,3.4499999999970896,2.299999994050133
29,1.46365817399728,47280.837,47277.492,388758.892568059,388758.573495022,3108109.25325048,3108107.78757916,1.5000000070410182,47279.1645,3.345000000001164,2.229999989533129
30,1.46722890493135,47280.888,47277.482,388759.13785406,388758.817029226,3108109.19382092,3108107.72853207,1.4999999960267856,47279.185,3.4059999999954016,2.2706666726781646
31,1.47077922578213,47280.974,47277.537,388759.380945232,388759.05988507,3108109.13761835,3108107.67238104,1.5000000004398284,47279.2555,3.437000000005355,2.291333332665041
32,1.47430598632378,47280.859,47277.554,388759.621891264,388759.302111744,3108109.08537742,3108107.61986008,1.5000000048478004,47279.2065,3.305000000000291,2.2033333262126473
33,1.47780611647881,47280.998,47277.63,388759.860753845,388759.543771689,3108109.03742136,3108107.57129643,1.4999999991542274,47279.314,3.368000000002212,2.2453333346008355
34,1.48127663089006,47280.927,47277.83,388760.097606213,388759.784940066,3108108.99359318,3108107.52654176,1.4999999960353925,47279.378500000006,3.0970000000015716,2.0646666721247766
35,1.48471463596216,47281.054,47277.807,388760.333177299,388760.025059373,3108108.95318536,3108107.48517196,1.4999999993866056,47279.4305,3.246999999995751,2.1646666675490303
36,1.48811733520612,47281.019,47277.934,388760.566424975,388760.265364723,3108108.91564493,3108107.44616791,1.4999999960823207,47279.476500000004,3.084999999999127,2.0566666720376583
37,1.49148203163567,47281.151,47277.892,388760.797945923,388760.50547228,3108108.88010668,3108107.40889657,1.5000000065341117,47279.5215,3.2589999999981956,2.172666657201166
38,1.49480614087781,47281.379,47278.052,388761.027853296,388760.74549972,3108108.84608185,3108107.37289603,1.5000000007558547,47279.715500000006,3.326999999997497,2.217999998880674
39,1.49808718864144,47281.201,47278.074,388761.257495648,388760.98434523,3108108.81327683,3108107.33835688,1.5000000033778378,47279.6375,3.1270000000004075,2.0846666619724945
40,1.50132281324474,47281.454,47278.168,388761.484700785,388761.224441436,3108108.78250292,3108107.30525376,1.5000000031010718,47279.811,3.286000000000058,2.190666662137762
