sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
0,1.667,47279.413,47274.639,388551.910344431,388551.706700393,3107836.5272113,3107835.04109922,1.5000000028937375,47277.026,4.7739999999976135,3.1826666605252076
1,1.734,47279.452,47274.545,388552.148807476,388551.944201841,3107836.49574107,3107835.00976108,1.4999999984866321,47276.9985,4.906999999999243,3.271333336633316
2,1.719,47279.43,47274.709,388552.388790671,388552.182892208,3107836.46424759,3107834.97844618,1.5000000022756854,47277.0695,4.72099999999773,3.1473333285569263
3,1.778,47279.679,47274.673,388552.619204072,388552.412198725,3107836.4327665,3107834.9471189,1.500000001834769,47277.176,5.005999999993946,3.3373333292471403
4,1.68629166666667,47279.647,47274.741,388552.794037207,388552.58615934,3107836.40130139,3107834.91577563,1.4999999969377846,47277.194,4.905999999995402,3.2706666733405916
5,1.76708333333333,47279.625,47274.858,388552.995534929,388552.786437223,3107836.3698116,3107834.88445705,1.4999999967949673,47277.241500000004,4.766999999999825,3.1780000067902794
6,1.756,47279.792,47274.861,388553.205553923,388552.995171893,3107836.33831673,3107834.85314354,1.5000000009591568,47277.326499999996,4.931000000004133,3.287333331234043
7,1.742,47279.765,47274.871,388553.406092289,388553.194361455,3107836.3068167,3107834.8218352,1.5000000005521694,47277.318,4.894000000000233,3.262666665465792
8,1.7095,47279.944,47274.774,388553.702459064,388553.48895161,3107836.27528531,3107834.79055821,1.4999999981367023,47277.359,5.17000000000553,3.4466666709517972
9,1.688,47279.895,47275.037,388553.836162933,388553.621541209,3107836.24380079,3107834.75923435,1.4999999996017277,47277.466,4.858000000000175,3.2386666675266973
10,1.752125,47279.893,47275.045,388554.028698731,388553.812926553,3107836.21231322,3107834.72791355,1.5000000041657986,47277.469,4.847999999998137,3.231999991022851
11,1.704,47280.056,47274.992,388554.241501201,388554.024138757,3107836.18079301,3107834.69662538,1.4999999956453482,47277.524,5.063999999998487,3.376000009799861
12,1.7075,47279.946,47275.005,388554.489614904,388554.267198763,3107836.14901436,3107834.66559565,1.5000000025898637,47277.4755,4.94100000000617,3.293999994316773
13,1.72283333333333,47280.004,47275.014,388554.665529028,388554.438472773,3107836.1172586,3107834.63454304,1.4999999917194276,47277.509000000005,4.989999999997963,3.326666685029778
15,1.694,47280.011,47275.009,388555.06980467,388554.832028953,3107836.05360961,3107834.57257528,1.4999999928339038,47277.509999999995,5.0020000000004075,3.3346666825979665
16,1.72383333333333,47279.989,47275.116,388555.315054565,388555.072819365,3107836.021844,3107834.54153251,1.499999999978586,47277.552500000005,4.8729999999995925,3.248666666712773
17,1.679,47280.038,47275.068,388555.489600343,388555.24441353,3107835.9901968,3107834.51037133,1.4999999979798437,47277.553,4.970000000001164,3.31333333779641
18,1.762,47280.074,47275.069,388555.704265344,388555.455666263,3107835.95850791,3107834.47925185,1.49999999801656,47277.571500000005,5.004999999997381,3.336666671076973
21,1.7175,47279.894,47274.935,388556.24092549,388555.986406473,3107835.86379181,3107834.38554282,1.500000001831111,47277.4145,4.959000000002561,3.3059999959659385
23,1.64675,47279.998,47274.985,388556.636168542,388556.379593506,3107835.8008057,3107834.32291218,1.5000000020029494,47277.491500000004,5.0129999999990105,3.341999995536769
24,1.7135,47279.78,47274.892,388556.838617655,388556.58190681,3107835.76938972,3107834.29151979,1.4999999961858084,47277.335999999996,4.8879999999990105,3.2586666749521265
