track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,num_modes,keep_modes,mirror_pad_size,reconstruction_error,lowest_center_frequency,highest_center_frequency
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.893936014760015,-8.778110066012269e-07,0.03770548769063404,0.03770548770085208,0.1972747944526202,1.3787670520467759,1.0238771368514774,10.117946388098062,vmd,3,1,800,0.00016111459442874265,5.813935937713053e-10,0.3345579442108212
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,71.00334853271863,-6.508516968678321e-06,0.03808869829935768,0.03808869885543855,0.21412764087620448,1.340524547760548,1.1403201630825046,16.973646150493657,vmd,3,1,800,0.00011353119738205212,1.1203530708676866e-09,0.33583273128548663
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.78284542749004,-7.988866640387007e-07,0.004617316717413396,0.004617316786524953,0.01622840759917881,0.8024393589984856,0.5774211683302208,5.879174152245898,vmd,3,1,800,1.4592565894436481e-05,7.143984109052721e-12,0.3283740488654847
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.37521335249895,-1.5943546902086734e-06,0.015939143539310474,0.015939143619050234,0.09216730708480336,0.8529655535408277,0.608586003241685,5.872625602942022,vmd,3,1,800,3.78758785380371e-05,3.868610986872163e-10,0.3292309882578282
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.041529749389944,-9.797372642818735e-06,0.0199658488833547,0.019965851287171973,0.13529956477269853,0.7984254319268401,0.5485984100754314,6.536465802245274,vmd,3,1,800,5.6082239007024434e-05,4.383942117350251e-10,0.3246437128516813
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,40.30019259717863,-6.912800123092604e-05,0.054098654464286855,0.054098698630621965,0.26779353962231595,0.9392781536558239,0.8373887469736324,10.70738050044805,vmd,3,1,800,0.00019638904615303261,4.0811253778604183e-10,0.33099679637932367
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.04653453459682,-1.696283237320803e-07,0.004736264465988196,0.004736264469025798,0.016769029559091413,0.7270685962191532,0.46704728404909446,6.997415657553501,vmd,3,1,800,2.097573226998301e-05,8.719300443621593e-11,0.3226585555292922
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.54529548672426,1.0716506087627127e-07,0.004655679221125285,0.004655679222358655,0.016230395831451947,0.7135226248599895,0.45601413698580856,7.742853378679941,vmd,3,1,800,1.7592246117020712e-05,9.162099137117939e-11,0.32386902014539387
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52520615286595,-2.4380760099090243e-07,0.004880609433975244,0.0048806094400648675,0.016735580080629836,0.7012926204834633,0.42682412147176874,4.910315178736751,vmd,3,1,800,1.1787082440703197e-05,1.365324529973241e-10,0.32294751696069224
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.90890066904211,2.417566971343254e-06,0.030936849653645376,0.03093684974810603,0.3649269740899439,0.7975051273953742,0.5409300892663105,5.156179174851394,vmd,3,1,800,5.6643525025989365e-05,3.702094030204527e-10,0.32680577654027765
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.625690166724326,2.5821516476213767e-06,0.015495854910590792,0.015495855125729197,0.12072077113753403,1.0227674945026162,0.9190092948417466,29.280978169935594,vmd,3,1,800,3.898335067992022e-05,3.718898630825724e-10,0.33054283323505973
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.618072061973,3.156513119200435e-05,0.323061830907378,0.3230618324494318,3.87368354707109,0.713033361916886,0.41531633111674543,3.352336992117834,vmd,3,1,800,0.0001402042180189115,3.2346257216497187e-10,0.3207113036182849
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84501678136769,7.1642006166227e-08,0.005263857334903617,0.0052638573353911465,0.0706952874985533,0.7240159536509877,0.4815092984992502,10.97266247497624,vmd,3,1,800,1.5224364646612317e-05,1.3889121073385221e-10,0.32325900867418594
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.80817611644946,-3.3154835172730676e-08,0.00484459191128524,0.00484459191139869,0.018257091800166523,0.7193083259235633,0.47768407603197316,9.454910123063993,vmd,3,1,800,2.620306442281507e-05,1.290696571725915e-10,0.32195472715702284
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.13787348535845,-2.6999642605986613e-07,0.004750108273041472,0.004750108280714777,0.018478368797537732,0.7578527284129969,0.5258800416436582,7.987473559747265,vmd,3,1,800,1.767957880192651e-05,1.3531321965275092e-10,0.32603834157873096
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.92721222816243,-1.043143253203286e-08,0.005302098865953529,0.005302098865963791,0.06480776455013386,0.7218354870389878,0.5161141590941201,12.098840847587208,vmd,3,1,800,4.101225153209353e-05,1.8478773193305128e-10,0.3210333986379699
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.0961646055178,1.7800651561284903e-08,0.005066106398041868,0.00506610639807314,0.022421506302482158,0.731498796134736,0.5326540193076944,9.711737044757873,vmd,3,1,800,7.318254454846156e-05,1.2897408104963962e-10,0.319740496405621
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.716909497232976,-4.799129273524371e-07,0.0047492954436501155,0.004749295467897546,0.02239119861882573,0.7428289194385581,0.5127134185619209,9.41338555036133,vmd,3,1,800,2.2014599697275945e-05,1.3914749292686604e-10,0.3248583920348307
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.91123145553862,-1.5913322176214562e-07,0.004956203445197473,0.004956203447752189,0.017269453685270112,0.7344525702778578,0.4730040197042949,5.8830877951886,vmd,3,1,800,1.2842359250988816e-05,1.6865338826698735e-10,0.3259815796951241
