track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,num_imfs,keep_imfs,mirror_pad_size,reconstruction_error
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.17273741947969,0.0023277338271730074,1.58531673533387,1.5853184442484762,72.56148842928869,0.9445877090679781,1.712490697273486,71.41746683694076,emd,5,2,800,1.0934349786276637e-16
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.40278041638176,0.0010706673599909105,0.12075510605826711,0.12075985246653416,4.1545702406582246,0.8689768691671053,0.957205830361985,28.637450260173477,emd,5,2,800,1.0917691237015189e-16
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.87771465106203,0.021150105156062183,3.3399071467653485,3.339974113067699,111.75827339211332,0.9330488159856023,1.099249870787186,30.853642153911892,emd,5,2,800,1.0837487779049254e-16
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.46814570500018,-6.586659202221364e-05,0.8866026374188617,0.886602639865509,26.483434107154046,1.341698826442959,3.716147146410032,98.7168828512836,emd,5,2,800,1.0908991679509281e-16
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.12764398511666,0.0001855619476765513,0.04936112993078139,0.04936147871853018,1.247239180987872,0.8498055096413315,0.697251946109137,8.82519337226618,emd,5,2,800,1.0888703655786006e-16
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.18526851310253,-0.009812440773035938,0.9503666580302933,0.9504173129155385,29.837496880533045,0.8731734197098991,0.7678730539047559,11.028116840381783,emd,5,2,800,1.0838606812480734e-16
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.97814836431493,-0.021484720123948108,0.5671262375546867,0.5675330497175819,10.426099692382563,1.5222673155053057,5.442257569321278,96.61025742067129,emd,5,2,800,1.0726573115522166e-16
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.797281329666674,0.027074256553187057,2.3445783264364892,2.3447346425904225,82.82353312876397,0.9662090064591234,1.6237626796636022,70.35719933850358,emd,5,2,800,1.0785924515830301e-16
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,63.05409236375936,-0.03000034318203333,1.362327023096073,1.3626573077809576,31.506960938389902,1.45566150355018,3.5142347447693254,63.9124216088827,emd,5,2,800,1.0886257723522912e-16
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.28848743784553,0.0010138279960226642,0.1592132682593178,0.15921649612090769,3.8059516644456677,0.8950839464993471,1.0510832150915987,23.23738831504652,emd,5,2,800,1.0872509010657426e-16
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.8878583898256,-0.002697384448363373,0.45664913715210564,0.4566571036835241,7.316002140984932,1.0581023344666403,1.2253065424344785,10.46116168110787,emd,5,2,800,1.0799413323801319e-16
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,71.01244557371444,-0.0024444064844104797,0.48437766943766036,0.48438383723336637,7.357438502524063,1.0919507879801817,1.3873423536473093,13.550752398861363,emd,5,2,800,1.0888913718417351e-16
