sample_index,axis,baseline_distance,signal_0,signal_1
0,5.544,1.499999995006474,47247.65,2.604000008670546
1,5.523,1.5000000050996205,47247.7315,2.52599999141026
2,5.501,1.500000001953395,47247.595,2.458666663466116
3,5.486,1.5000000050444184,47247.6695,2.4819999916567776
4,5.492,1.500000001405925,47247.654,2.541333330950104
5,5.471,1.4999999988137291,47247.55,2.5360000020032216
6,5.44,1.5000000043670576,47247.696,2.594666659112511
7,5.418,1.4999999978040002,47247.583,2.493333336982215
8,5.424,1.499999998523943,47247.656,2.549333335842324
9,5.397,1.5000000003944476,47247.627,2.5999999993124105
10,5.403,1.499999998209264,47247.613,2.3826666695115004
11,5.381,1.499999996068743,47247.57,2.5146666732553387
15,5.372,1.5000000062678849,47247.5895,2.5153333228234858
18,5.335,1.5000000010907597,47247.6625,2.5073333315091366
20,5.313,1.5000000070650383,47247.71000000001,2.3373333223252484
22,5.304,1.5000000010098666,47247.807,2.613333331572757
23,5.29183333333333,1.5000000048040074,47247.7315,2.388666659015698
24,5.298,1.500000005013142,47247.6875,2.504666658294359
26,5.283,1.500000002234306,47247.7495,2.515333329587349
29,5.252,1.4999999958217154,47247.759,2.492000006939893
30,5.261,1.4999999931294306,47247.784,2.464000011283572
32,5.236,1.4999999948613365,47247.752,2.4933333418784263
33,5.273,1.5000000047948296,47247.7055,2.5126666586300987
35,5.206,1.5000000006527885,47247.6805,2.635333332187349
36,5.215,1.5000000014172514,47247.7135,2.4059999977245554
37,5.2635,1.4999999911116162,47247.6715,2.5166666815803698
38,5.184,1.4999999994779585,47247.7015,2.6993333342721555
39,5.21425,1.5000000020667037,47247.6155,2.5713333297929504
41,5.21185416666667,1.5000000009243075,47247.686,2.52133333177917
42,5.169,1.5000000000635962,47247.712,2.5306666665607698
44,5.193,1.5000000080500688,47247.6655,2.393999987152323
45,5.246,1.50000000198224,47247.598,2.485333330050844
47,5.1995,1.4999999967225006,47247.6795,2.588666672323989
48,5.178,1.499999992349578,47247.651,2.438666679106609
52,5.153,1.5000000006645,47247.631,2.378666665612452
53,5.141,1.4999999995977005,47247.5445,2.558000000690595
55,5.132,1.500000000808249,47247.5775,2.5339999986342487
