sample_index,axis,baseline_distance,signal_0,signal_1
126,3.0115,1.5000000011519885,47318.419,2.2039999983052496
127,3.025,1.4999999974901688,47318.43,2.2333333370740736
128,3.019,1.5000000040115429,47318.431500000006,2.175333327515045
129,3.065,1.5000000010785142,47318.4765,2.281999998360889
130,3.05,1.5000000009666243,47318.477,2.290666665191533
131,3.04,1.499999997799184,47318.413,2.4373333369112
133,3.056,1.500000006918231,47318.5045,2.3006666560562583
134,3.087,1.4999999978693728,47318.4625,2.291333336586704
135,3.093,1.5000000005611127,47318.377,2.41733333243163
136,3.139,1.4999999973576223,47318.3385,2.4393333376301936
137,3.124,1.5000000028876614,47318.3715,2.14199999587867
138,3.133,1.4999999993819009,47318.3335,2.3233333342910885
140,3.207,1.5000000029004064,47318.338,2.2373333290070607
141,3.185,1.5000000013990364,47318.2425,2.349999997804296
143,3.161,1.4999999991954465,47318.1685,2.4033333346196906
144,3.191,1.4999999991748396,47318.1755,2.26733333457929
145,3.244,1.5000000024539315,47318.230500000005,2.2606666629656416
146,3.201,1.5000000038579644,47318.1755,2.340666660645596
149,3.228,1.500000003274438,47318.123,2.46799999461564
150,3.238,1.4999999996530815,47318.034,2.380000000550249
151,3.253,1.500000003201173,47317.9595,2.319333328383181
152,3.259,1.5000000070087254,47317.8985,2.372666655581158
156,3.274,1.5000000043384716,47317.761,2.4866666594717284
157,3.305,1.4999999977768896,47317.7005,2.467333336990724
158,3.268,1.5000000008539671,47317.8285,2.3353333320066336
161,3.296,1.5000000065162415,47317.7195,2.304666656651409
165,3.336,1.500000004090836,47317.5375,2.3833333268315093
166,3.321,1.4999999907190082,47317.5855,2.332666681097079
167,3.327,1.499999997830982,47317.586500000005,2.3446666700569665
169,3.358,1.4999999967852895,47317.549,2.4813333386522265
170,3.335,1.5000000003761904,47317.4765,2.439333332721332
175,3.342,1.5000000007859862,47317.54,2.487999998698717
176,3.364,1.5000000066356918,47317.56,2.3386666563219727
177,3.373,1.4999999957332577,47317.5235,2.3473333400107377
179,3.404,1.4999999995208424,47317.522,2.449333334115124
181,3.379,1.500000003402515,47317.5455,2.353999994662105
182,3.38883333333333,1.5000000053209968,47317.518500000006,2.451333324639854
185,3.388,1.5000000053598417,47317.614,2.370666658193639
186,3.416,1.4999999975385354,47317.469,2.482666670737133
187,3.395,1.499999998382304,47317.549,2.5280000027272105
189,3.447,1.4999999976436842,47317.5235,2.443333337172092
192,3.441,1.4999999964758803,47317.407,2.30533333874866
193,3.425,1.500000004115366,47317.4305,2.332666660269105
195,3.432,1.499999997784629,47317.4155,2.4553333369578256
201,3.41780555555556,1.499999992797632,47317.1695,2.4380000117057445
203,3.40969444444444,1.4999999967618536,47317.123,2.449333338620246
204,3.45183333333333,1.4999999982309136,47317.204,2.517333336300934
205,3.46016666666667,1.4999999985397214,47317.1985,2.4580000023916293
206,3.41,1.5000000036850427,47317.1575,2.2953333276939336
207,3.43458333333333,1.5000000020751345,47317.1065,2.431333329967908
210,3.456,1.5000000065134558,47317.026,2.374666656353862
214,3.515,1.4999999986866008,47316.9685,2.4166666687826988
215,3.484,1.4999999936969048,47316.9705,2.458000010327392
216,3.49375,1.5000000071623767,47316.909,2.485333321467934
217,3.504,1.5000000020048525,47316.875,2.393333330132152
218,3.472,1.4999999920542442,47316.89,2.282666678757721
221,3.539,1.4999999982551877,47316.824,2.4586666695230384
223,3.499,1.5000000065272032,47316.7985,2.321999989896006
224,3.561,1.4999999980584775,47316.8955,2.4460000031671014
226,3.509,1.4999999986628598,47316.862,2.4493333355161138
228,3.53,1.50000000013584,47316.8985,2.3619999997846617
234,3.567,1.5000000013486348,47317.0145,2.37399999786657
236,3.552,1.4999999943891658,47316.836500000005,2.360666675500016
237,3.576,1.499999999014077,47316.8795,2.4033333349151347
238,3.629,1.500000002737991,47316.864,2.487999995460992
239,3.546,1.4999999965114776,47316.8385,2.53666667256634
241,3.613,1.500000000560427,47316.8995,2.388666665773364
242,3.592,1.5000000081196196,47316.878,2.5213333196846506
246,3.598,1.500000002375623,47316.8165,2.405999996187328
254,3.582,1.499999993606268,47316.792,2.4080000102647308
260,3.604,1.4999999988954402,47316.6135,2.4846666684956102
263,3.659,1.4999999939356965,47316.474,2.573333343737371
265,3.65,1.5000000020677011,47316.438,2.571999996454698
266,3.681,1.4999999995065032,47316.408,2.470666667478385
267,3.712,1.4999999987460728,47316.316,2.5786666688237814
269,3.703,1.500000002290788,47316.373,2.5679999960774724
273,3.733,1.5000000035440268,47316.255,2.7146666602528438
275,3.718,1.499999996891033,47316.2005,2.638000005464222
278,3.74,1.5000000045461035,47316.0175,2.7553333249837326
279,3.764,1.4999999992407531,47315.9985,2.5793333346380853
280,3.749,1.5000000016388146,47316.0975,2.5739999971858927
282,3.727,1.5000000038241013,47316.1095,2.549999993497088
283,3.755,1.4999999975131144,47316.085,2.5866666709582677
293,3.823,1.499999996942856,47316.0775,2.420666671596182
294,3.817,1.4999999934699149,47316.115,2.5026666775622943
295,3.77,1.5000000042164892,47315.9775,2.477999993037154
297,3.801,1.500000001932036,47316.0235,2.4659999968240824
304,3.78,1.5000000019592472,47315.9985,2.432666663487612
312,3.687,1.4999999950669818,47315.1175,2.3420000077062766
314,3.672,1.5000000031600165,47315.204,2.4373333282004426
315,3.666,1.5000000009888723,47315.2605,2.380666665099584
316,3.644,1.4999999950109892,47315.306500000006,2.3446666744649285
319,3.635,1.5000000020319988,47315.298,2.525333329912661
343,3.696,1.4999999984251735,47314.828,2.4373333358940363
351,3.7195,1.4999999935724244,47314.434,2.340000010028376
367,3.807,1.5000000023517766,47314.4865,2.372666662947416
371,3.7735,1.5000000000212454,47314.53,2.4026666666322094
375,3.847,1.4999999999318707,47314.5635,2.4340000001140822
377,3.795,1.4999999950804397,47314.6385,2.4006666745368905
401,3.619,1.5000000003339566,47313.8835,2.3286666661448416
421,3.786,1.5000000003109557,47313.063,2.4039999995014867
427,3.832,1.5000000018072042,47312.952,2.403999997103499
431,3.838,1.500000002367779,47312.961,2.399999996210583
433,3.854,1.4999999973420366,47312.915,2.429333337638208
434,3.884,1.5000000035775969,47312.866,2.414666660909549
436,3.927,1.5000000009783092,47312.9305,2.515333331693516
437,3.921,1.5000000021785465,47312.9285,2.465999996418819
439,3.89,1.5000000042726234,47312.8525,2.3739999932388702
440,3.9,1.49999999833194,47312.9075,2.424666669364623
442,3.906,1.5000000048226605,47312.847,2.4679999920634472
445,3.943,1.5000000023455968,47312.946500000005,2.536666662700196
446,3.974,1.499999998815042,47312.8885,2.419333335245082
447,3.958,1.4999999983399683,47312.926,2.509333336107433
448,3.995,1.4999999970548132,47312.8315,2.474000004854723
450,3.9545,1.5000000070622497,47312.7705,2.428666655229694
452,3.967,1.4999999970512936,47312.7985,2.519333338287363
453,4.011,1.5000000036752053,47312.724,2.5333333271282603
455,4.004,1.4999999927594796,47312.714,2.4866666786671243
456,3.989,1.5000000050751658,47312.6755,2.4619999916694955
459,4.026,1.500000004334041,47312.5515,2.5766666592203897
464,4.051,1.4999999955842462,47312.567,2.4720000072763084
465,4.057,1.5000000009832095,47312.498,2.518666665019551
466,4.041,1.5000000015273875,47312.4635,2.383333330904544
468,4.072,1.5000000027444538,47312.355500000005,2.483333328788768
474,4.063,1.5000000043421688,47312.349,2.323999993270632
475,4.088,1.4999999907988186,47312.3785,2.4953333486414846
477,4.078,1.4999999989155386,47312.3445,2.452666668442365
478,4.094,1.4999999911211992,47312.322,2.477333347997399
479,4.109,1.4999999995913196,47312.242,2.3946666673170456
480,4.162,1.4999999961213235,47312.26,2.396000006193754
481,4.14,1.5000000033201497,47312.2545,2.31666666153791
482,4.131,1.5000000003249336,47312.193,2.4666666661303918
483,4.192,1.499999991149623,47312.198,2.452000014467339
486,4.155,1.499999991366319,47312.1545,2.456666680810016
488,4.177,1.4999999999825686,47312.146,2.3760000000266026
489,4.171,1.4999999977206313,47312.083,2.473333337091177
492,4.146,1.4999999988378203,47312.084,2.4800000019222463
500,4.183,1.5000000033451244,47311.797000000006,2.4279999945852424
501,4.13883333333333,1.4999999973551732,47311.9155,2.578000004544489
503,4.115,1.4999999999827724,47311.877,2.337333333356142
506,4.103,1.4999999996035285,47311.8635,2.4113333339695973
509,4.125,1.500000001998692,47311.788,2.4239999967691825
518,4.208,1.4999999957093,47311.7995,2.423333340261705
524,4.198,1.4999999953416598,47311.7315,2.3993333407859265
526,4.251,1.5000000021934865,47311.807,2.4679999963941657
527,4.27575,1.5000000013531671,47311.728,2.291999997933641
528,4.24797916666667,1.4999999980056682,47311.7265,2.39800000318932
529,4.27608333333333,1.4999999973417284,47311.6595,2.6140000046338785
530,4.266,1.4999999923893037,47311.696,2.393333345479145
531,4.33798611111111,1.4999999952747476,47311.6135,2.38200000750634
532,4.30695833333333,1.4999999962054182,47311.5715,2.422000006128071
533,4.35266666666667,1.5000000026583915,47311.6035,2.4099999957274925
534,4.32475,1.5000000057409346,47311.472,2.3973333241565307
535,4.38766666666667,1.500000001485554,47311.4605,2.5379999974869083
537,4.36817592592593,1.4999999968020878,47310.891,2.4026666717885843
538,4.358,1.500000009020045,47310.9215,2.368666652422936
539,4.38733333333333,1.4999999994461548,47311.0115,2.3286666675279557
540,4.39416666666667,1.5000000063543897,47310.865000000005,2.351999990035269
541,4.39466666666667,1.4999999989167965,47310.9535,2.419333335076113
542,4.39083333333333,1.4999999947392415,47310.86,2.380000008346876
543,4.45833333333333,1.5000000031694738,47310.817,2.390666661617209
544,4.45616666666667,1.500000006961786,47310.8015,2.3086666559539557
545,4.46011111111111,1.5000000001205738,47310.914,2.4226666664707235
546,4.46158333333333,1.5000000027351132,47310.742,2.390666662309483
547,4.522,1.499999997030728,47310.7885,2.3300000046140155
548,4.516,1.5000000032476184,47310.806,2.3919999948185318
550,4.5,1.5000000029713794,47310.743,2.417333328542501
554,4.553,1.5000000036993382,47310.6535,2.489999993859487
555,4.574,1.4999999943354294,47310.66650000001,2.390000009024967
559,4.485,1.5000000062075505,47310.6095,2.315333323750393
563,4.494,1.500000005699371,47310.526,2.4186666574747298
565,4.506,1.5000000010722674,47310.396,2.4799999982279606
