sample_index,axis,baseline_distance,signal_0,signal_1
0,2.394,1.4999999919237772,47407.0745,-2.600666680667723
1,2.3155,1.4999999994514277,47407.077000000005,-2.6826666676461666
2,2.35,1.5000000001809624,47407.0585,-2.767333332998158
3,2.366,1.4999999956776409,47407.0485,-2.675333341041841
5,2.357,1.4999999971362017,47407.2015,-2.626000005012548
9,2.283,1.4999999935511286,47407.3185,-2.7420000117869074
10,2.3275,1.5000000043110442,47407.3345,-2.6673333256650493
11,2.326,1.5000000029740066,47407.3565,-2.639333328102111
12,2.335,1.500000005413341,47407.4495,-2.656666657079426
13,2.314,1.5000000054022085,47407.445,-2.7173333235475536
14,2.32,1.49999999308776,47407.3545,-2.7486666793326906
20,2.301,1.4999999988712174,47407.539,-2.729333335390282
21,2.298,1.500000005128342,47407.516,-2.625333324358876
22,2.273,1.499999997412688,47407.557,-2.630666671201753
23,2.252,1.499999998629171,47407.5625,-2.679333335782094
25,2.23,1.4999999972198683,47407.5315,-2.702000005007866
27,2.237,1.5000000051780886,47407.6845,-2.720666657273639
30,2.26475,1.4999999988676196,47407.7705,-2.7566666687490886
32,2.246,1.5000000009448295,47407.8455,-2.7099999982897094
35,2.289,1.4999999981858203,47407.897,-2.6066666698167853
40,2.267,1.4999999962824273,47408.024000000005,-2.693333340009024
41,2.22066666666667,1.5000000024846218,47408.196500000005,-2.6606666622607027
42,2.20883333333333,1.5000000011560577,47408.284,-2.5599999980246664
44,2.2,1.5000000001947171,47408.3155,-2.6366666663207106
50,2.221,1.4999999921093308,47408.667,-2.697333347523907
54,2.215,1.5000000007202523,47408.794,-2.7573333320084177
57,2.206,1.50000000304486,47408.883,-2.579999994764586
62,2.258,1.5000000069996249,47408.958,-2.4946666550244263
69,2.28983333333333,1.4999999991584134,47409.1665,-2.5420000014226387
70,2.28316666666667,1.4999999984753716,47409.076,-2.5320000025703906
75,2.304,1.5000000002063651,47409.1365,-2.448666666326605
78,2.33077777777778,1.4999999962854986,47409.10400000001,-2.549333339646684
79,2.269,1.4999999928159056,47409.175,-2.446666678388409
81,2.341,1.4999999961596486,47409.1885,-2.6206666733789423
84,2.30633333333333,1.499999993195983,47409.3825,-2.530000011474944
101,2.19,1.5000000004840175,47409.957,-2.6106666658225537
103,2.169,1.5000000037025456,47410.046,-2.5079999938109734
104,2.184,1.4999999919283782,47410.0615,-2.5273333469362624
106,2.178,1.5000000021820468,47410.1405,-2.4993333296949976
107,2.147,1.50000000554306,47410.184,-2.597333323735644
109,2.126,1.499999998238179,47410.2235,-2.6500000031164306
114,2.116,1.499999999359353,47410.4045,-2.486000001061339
115,2.11,1.5000000024208235,47410.401,-2.5373333292362803
120,2.064,1.4999999952854255,47410.40700000001,-2.496000007844237
123,2.086,1.4999999964912172,47410.4725,-2.490000005820117
125,2.0865,1.4999999991094957,47410.4395,-2.5740000015310547
126,2.03933333333333,1.4999999993801276,47410.4035,-2.5286666677150484
127,2.107,1.500000001978005,47410.5045,-2.652666663168248
128,2.062,1.4999999998201607,47410.5215,-2.566000000308964
129,2.018,1.5000000008503915,47410.4575,-2.625999998515089
130,2.042,1.5000000004971568,47410.475000000006,-2.419999999196174
132,2.027,1.500000006136655,47410.5505,-2.541999989601696
136,2.033,1.500000000294189,47410.7035,-2.512666666174023
138,2.012,1.500000005477007,47410.6945,-2.5459999907009383
139,1.996,1.5000000007790335,47410.791,-2.501333332034523
141,2.01716666666667,1.4999999966167863,47410.832,-2.474666672247907
142,2.035,1.5000000028589118,47410.8455,-2.5299999951816554
147,2.01811111111111,1.4999999999015263,47411.0105,-2.504666666834472
150,2.056,1.500000002498182,47411.168,-2.37866666270464
153,2.02875,1.49999999363808,47411.253500000006,-2.392666676814597
155,2.058,1.5000000025931273,47411.3615,-2.4286666624656994
156,2.079,1.499999994632212,47411.372,-2.4373333420523267
160,2.095,1.5000000079464002,47411.516,-2.615999986145708
161,2.049,1.5000000022518447,47411.594,-2.591999996108153
163,2.06725,1.4999999982380496,47411.638,-2.6306666697542527
166,2.06833333333333,1.5000000073802795,47411.7575,-2.608666653831851
171,2.101,1.49999999571199,47411.8055,-2.5300000072312794
172,2.139,1.4999999959913517,47411.81,-2.64666667374048
173,2.078,1.4999999974818408,47411.8265,-2.6033333377029626
181,2.153,1.4999999998467384,47411.897,-2.457333333585419
183,2.138,1.4999999995593616,47411.9035,-2.5646666674162577
184,2.163,1.5000000046922477,47411.8845,-2.515333325465654
188,2.132,1.500000002242652,47412.0965,-2.4686666629718017
210,2.121,1.4999999983774588,47412.802,-2.368000002563664
214,2.07,1.5000000044996211,47412.972,-2.393333326151609
218,2.08833333333333,1.4999999991161357,47413.095,-2.55066666817025
234,2.097,1.5000000041107622,47413.5615,-2.4459999932978427
306,2.159,1.5000000005870486,47415.621,-2.53199999900588
339,2.19266666666667,1.4999999950765222,47416.188,-2.614666675247943
340,2.26466666666667,1.4999999964010182,47416.1635,-2.579333339521168
354,2.31583333333333,1.5000000009036796,47416.3615,-2.6819999983849194
358,2.372,1.5000000048692987,47416.516,-2.542666658416506
363,2.387,1.5000000078753144,47416.747,-2.4693333203722694
365,2.434,1.5000000077038214,47416.698,-2.665333319644227
366,2.409,1.4999999956828358,47416.791,-2.4186666736306868
367,2.449,1.5000000015709445,47416.7265,-2.492666664052187
368,2.424,1.500000000607377,47416.8525,-2.457999999008281
369,2.461,1.5000000058790672,47416.922,-2.499999990201555
371,2.455,1.499999996608813,47417.065,-2.5293333390527537
372,2.42916666666667,1.499999999364032,47416.97749999999,-2.390000001012727
373,2.486,1.4999999968361528,47417.108,-2.481333338563237
376,2.477,1.5000000018351736,47417.2285,-2.499333330277816
378,2.471,1.4999999982184022,47417.227,-2.51866666965712
379,2.545,1.5000000041315305,47417.3095,-2.489999993142048
380,2.508,1.5000000026597329,47417.369,-2.497333328904631
381,2.514,1.499999997861378,47417.314,-2.477333336865619
387,2.501,1.4999999974230789,47417.338,-2.518666670992556
390,2.492,1.499999993193486,47417.517,-2.484000011268328
392,2.529,1.4999999994195348,47417.589,-2.5040000009649543
399,2.523,1.4999999963045685,47417.6425,-2.510000006183301
414,2.44,1.4999999941210556,47418.2685,-2.6913333438792155
421,2.40933333333333,1.499999995046034,47418.4355,-2.4673333414826777
422,2.418,1.4999999995145357,47418.523,-2.5560000008289387
424,2.38983333333333,1.49999999640851,47418.473,-2.657333339693956
428,2.381,1.499999999282957,47418.5315,-2.6166666679145987
431,2.42883333333333,1.4999999998225872,47418.559,-2.5106666669657893
448,2.403,1.500000001844397,47418.6985,-2.5593333301863432
461,2.538,1.499999999594389,47418.867,-2.5586666673608
468,2.56,1.4999999978363008,47419.0855,-2.539333336996973
469,2.575,1.4999999996370783,47419.1105,-2.5846666672922924
470,2.597,1.5000000069846129,47419.0845,-2.405999988799359
473,2.606,1.4999999991843882,47419.17,-2.5813333347389285
474,2.622,1.5000000045409083,47419.1815,-2.5913333254902917
475,2.691,1.4999999965647204,47419.28,-2.502666672398783
476,2.6955,1.5000000076974298,47419.208,-2.462666654031293
477,2.70166666666667,1.5000000009943315,47419.3245,-2.581999998288152
478,2.7045,1.5000000038146262,47419.339,-2.37466666063126
479,2.71216666666667,1.499999999867571,47419.3665,-2.6100000002310084
480,2.71033333333333,1.4999999924999052,47419.305,-2.505333345861245
481,2.7175,1.5000000021666002,47419.4495,-2.3886666632156226
482,2.74316666666667,1.5000000014380828,47420.097,-2.514666664253938
483,2.74466666666667,1.4999999971081832,47420.089,-2.456000004730755
484,2.77920833333333,1.5000000030688987,47420.098,-2.450666661652419
485,2.73966666666667,1.4999999992074862,47420.04549999999,-2.463333334634623
486,2.7485,1.5000000009135823,47420.096000000005,-2.4133333318652266
487,2.743,1.5000000008083525,47420.0855,-2.4846666653269773
488,2.79925,1.4999999933105546,47420.099,-2.414666677437205
489,2.82665740740741,1.5000000011286176,47420.075,-2.397333331528038
490,2.837,1.5000000062412508,47420.0915,-2.433999989871211
491,2.84205555555556,1.5000000014849697,47420.111,-2.451999997572492
492,2.877,1.5000000036234389,47420.162,-2.459999994054262
493,2.868,1.500000000565071,47420.2125,-2.60599999901805
498,2.883,1.500000001952454,47420.3395,-2.348666663610256
500,2.966,1.5000000008839758,47420.4495,-2.38999999859095
501,2.893,1.4999999971943003,47420.4425,-2.6286666715830336
502,2.914,1.5000000062054937,47420.4435,-2.448666656533361
504,2.899,1.5000000012887191,47420.6265,-2.485999997863736
505,2.905,1.4999999958871983,47420.5635,-2.5713333403811447
506,2.92,1.500000002238773,47420.5745,-2.655333329370324
509,2.93,1.4999999955455798,47420.7325,-2.543333340887602
517,2.945,1.49999999659424,47420.929,-2.521333339057533
519,2.951,1.4999999983840715,47420.9355,-2.48066666934239
523,2.96,1.4999999959250585,47421.018,-2.638666673838939
524,2.982,1.5000000000893154,47421.114,-2.5879999998444263
526,2.988,1.499999996105525,47420.9355,-2.612666673446251
527,3.013,1.4999999945201614,47420.997,-2.562666676031732
528,3.034,1.4999999947223297,47421.0785,-2.5766666757311736
529,2.997,1.5000000013721149,47421.1095,-2.5579999976597763
531,3.003,1.499999999057576,47421.0895,-2.698000001694214
532,3.019,1.4999999938023063,47421.03,-2.5440000105105507
533,3.05,1.4999999938757045,47421.0745,-2.6233333440424937
534,3.025,1.4999999951322665,47421.0565,-2.563333341652525
536,3.04,1.4999999941689075,47420.9915,-2.608666676803044
537,3.093,1.4999999926718854,47421.132,-2.609333346079017
538,3.071,1.4999999924710363,47421.0975,-2.486000012477575
539,3.056,1.4999999966023785,47421.131,-2.598666672553556
540,3.08,1.4999999979999614,47421.224,-2.645333336861017
541,3.108,1.5000000032229888,47421.227,-2.5559999945097345
545,3.102,1.5000000034011027,47421.34,-2.5173333276290584
550,3.133,1.5000000000758156,47421.4645,-2.7273333331957166
552,3.117,1.4999999964426816,47421.552,-2.721333339788535
553,3.154,1.4999999986080146,47421.5895,-2.59400000240938
554,3.148,1.500000001327939,47421.5925,-2.5646666643972336
558,3.191,1.5000000011403722,47421.769,-2.7239999979262124
559,3.161,1.5000000021457225,47421.8915,-2.597999996281746
562,3.176,1.4999999973201077,47421.834,-2.5266666711813786
563,3.17,1.5000000053696376,47421.838,-2.5893333240629426
565,3.201,1.4999999958394823,47421.9255,-2.5366666737027583
566,3.185,1.5000000032099905,47421.8915,-2.6473333276665434
594,3.216,1.5000000050356206,47422.7195,-2.5406666581384534
601,3.222,1.5000000006474017,47422.7415,-2.5166666655814405
616,3.207,1.5000000000661882,47423.208,-2.575999999887264
624,3.238,1.4999999965615771,47423.5265,-2.284666671901128
625,3.281,1.4999999987234554,47423.46,-2.446666668747689
626,3.253,1.5000000014915664,47423.522,-2.3293333310162816
627,3.336,1.499999998793936,47423.533,-2.4533333353061124
629,3.311,1.4999999941515425,47423.600000000006,-2.586666676750261
630,3.305,1.4999999971397526,47423.5665,-2.4366666713122034
632,3.358,1.499999997851572,47423.5745,-2.430000003478319
633,3.364,1.5000000046220092,47423.696,-2.483999992347544
634,3.373,1.4999999973389693,47423.7195,-2.5606666712095745
635,3.388,1.4999999928963692,47423.7175,-2.4060000113920506
636,3.425,1.5000000070787567,47423.7295,-2.372666655470384
637,3.441,1.5000000009167314,47423.645,-2.493333331808164
640,3.456,1.5000000072566406,47423.736,-2.5173333211586093
641,3.493,1.5000000055036744,47423.774000000005,-2.362666657998893
642,3.524,1.5000000032237282,47423.817500000005,-2.432666661436905
643,3.53,1.5000000006848089,47423.762,-2.6079999988119456
644,3.521,1.5000000014705237,47423.713,-2.385333330995767
645,3.567,1.4999999995659434,47423.725000000006,-2.5160000007264665
646,3.561,1.4999999984539485,47423.797,-2.396000002467775
647,3.613,1.4999999943766065,47423.722,-2.540000009520728
648,3.604,1.4999999920524834,47423.791,-2.4413333462709583
649,3.598,1.4999999984645769,47423.7145,-2.502000002559068
650,3.619,1.4999999983582917,47423.836500000005,-2.4500000026785465
652,3.703,1.4999999985181125,47423.857,-2.576000002540976
653,3.65,1.500000004095088,47423.853,-2.482666659885309
654,3.659,1.500000004147812,47423.8495,-2.479333326480526
655,3.696,1.4999999988241328,47423.7955,-2.51666666863563
656,3.687,1.5000000007024246,47423.838,-2.581333332121706
658,3.70083333333333,1.4999999920602234,47423.9195,-2.4860000131584297
659,3.755,1.5000000027398182,47423.929,-2.433333328889709
660,3.733,1.4999999909014707,47423.94,-2.584000015671444
661,3.78,1.499999997122729,47424.022,-2.3813333379012387
664,3.764,1.5000000021273263,47424.1835,-2.5419999963913207
665,3.817,1.50000000300341,47424.215,-2.5599999948767027
666,3.832,1.5000000004578762,47424.1605,-2.4659999992476007
667,3.786,1.5000000007017589,47424.179,-2.6173333321084926
669,3.77,1.5000000015063133,47424.174,-2.483999997502285
670,3.795,1.4999999980630665,47424.1835,-2.5673333366452438
674,3.749,1.5000000012168635,47424.393,-2.713333331131968
677,3.74,1.499999998054803,47424.462,-2.582666670013302
684,3.712,1.500000001066738,47424.822,-2.525333331537731
685,3.727,1.500000002346123,47424.796,-2.658666662506664
689,3.681,1.5000000096530666,47424.9825,-2.6846666493910645
690,3.666,1.4999999989406898,47425.06,-2.566666668478294
693,3.635,1.500000003964131,47425.192500000005,-2.6619999929616127
698,3.582,1.5000000016435602,47425.3365,-2.5299999972266978
699,3.592,1.500000001550044,47425.35400000001,-2.549333330699297
702,3.576,1.4999999944521931,47425.5055,-2.651333343138692
703,3.539,1.500000001060908,47425.5085,-2.5979999981654958
705,3.552,1.5000000017981947,47425.490000000005,-2.511999996991068
706,3.515,1.5000000044174122,47425.508,-2.587999992377017
708,3.509,1.5000000004834462,47425.624,-2.477333332535128
709,3.546,1.5000000001411549,47425.753,-2.5479999997603024
711,3.484,1.4999999950134766,47425.8365,-2.5526666751512246
712,3.478,1.5000000009724894,47425.837,-2.5493333316808826
718,3.499,1.5000000068085504,47426.016,-2.623999988085734
744,3.807,1.4999999992680535,47426.723,-2.480000001210928
745,3.823,1.5000000035138383,47426.724,-2.519999994095976
746,3.838,1.4999999932693917,47426.761,-2.586666678271481
747,3.884,1.499999998560252,47426.7065,-2.5540000024551364
749,3.921,1.5000000006718752,47426.8155,-2.519333332206395
750,3.967,1.4999999939392723,47426.725,-2.4440000098732377
751,3.989,1.4999999918903326,47426.8305,-2.6126666807930303
752,3.983,1.50000000362755,47426.717,-2.48933332731589
755,3.995,1.5000000027653326,47426.931,-2.521333328684612
756,4.02,1.5000000017487294,47427.006,-2.5679999970054768
757,4.051,1.5000000043975483,47426.9555,-2.5126666592955886
758,4.109,1.5000000012542167,47426.907,-2.6386666644595063
759,4.088,1.5000000062101946,47427.0075,-2.5739999893462557
760,4.072,1.4999999960218242,47427.084,-2.5346666733911114
763,4.115,1.5000000044561366,47427.0485,-2.420666659476268
764,4.14,1.4999999982133343,47427.023,-2.5720000030636525
765,4.155,1.4999999965989042,47427.1315,-2.596666672552207
766,4.162,1.5000000029738625,47426.9865,-2.583333328211681
767,4.198,1.4999999929986507,47427.1735,-2.567333345318122
768,4.223,1.5000000016524326,47427.14,-2.5426666638646007
770,4.183,1.5000000025938929,47427.261,-2.603999995498787
771,4.239,1.4999999931873564,47427.277,-2.5786666783798324
775,4.251,1.4999999958381507,47427.1975,-2.642000007327804
776,4.266,1.50000000028834,47427.317500000005,-2.596666666165384
778,4.275,1.500000004471277,47427.3405,-2.4566666593421567
779,4.297,1.500000003034064,47427.3295,-2.720666661167274
784,4.312,1.500000008243006,47427.577000000005,-2.591999985755426
786,4.306,1.4999999958796508,47427.4905,-2.624666673879932
787,4.291,1.5000000056202825,47427.591,-2.583999990320688
789,4.319,1.5000000058954597,47427.625,-2.5346666567020115
793,4.282,1.4999999981270686,47427.733,-2.605333336583613
795,4.334,1.5000000030720988,47427.842,-2.5373333281394626
