candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,924,935,12,4.27006015498171,4.26792396441262,930,4.268660288819,28.167081192093917
2,1920,1941,22,2.3158652648963,2.31044089491451,1930,2.31289403645864,39.5664179465692
3,2479,2485,7,2.17047474988573,2.25469731953427,2482,2.21201149112566,16.249927494371956
4,5181,5198,18,4.32788148876552,4.31284352785552,5191,4.31818205619217,36.339219414623436
5,6201,6234,34,4.52352050144153,4.64561229991901,6217,4.57368209010195,103.82957973056826
6,12140,12157,18,0.790555313859982,0.818280216281311,12148,0.803608426860682,32.06919875911645
7,16559,16573,15,0.538311610346599,0.513909037584068,16566,0.52732324378176,41.89595320564178
8,17078,17131,54,0.830538334078857,0.85844115037103,17105,0.812814922724627,3035.8514640724256
9,17231,17245,15,0.939548209529542,0.965861879975045,17237,0.950381540560309,14.491499307350018
10,17250,17268,19,0.974950836336087,0.993931574057314,17260,0.988808606140146,18.09422193996208
11,18083,18112,30,0.705736697011759,0.665166293097413,18098,0.689882684133273,143.82094955022927
