candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,16104,16118,15,2.98820645930287,2.90682398719917,16111,2.95320552789761,26.529775083842644
2,19226,19234,9,2.92011856024927,2.84883725628118,19230,2.88421792553331,15.25570359565467
3,19808,19823,16,2.20330250421881,2.14521022004438,19817,2.16244318112832,18.02237292962189
4,20716,20728,13,3.01157243240555,2.97764566431202,20722,2.99197722097398,17.209972656434847
5,24798,24819,22,2.76953671961401,2.88715257449467,24818,2.88205175305043,77.29597951514334
