sample_index,axis,baseline_distance,signal,detection_score,is_candidate
0,7.29041455128239,1.4999999997522528,47421.628,0.0,False
1,7.28987342100218,1.5000000052299411,47421.591,0.0,False
2,7.28956174851798,1.4999999969340545,47421.649000000005,0.0,False
3,7.28948822644418,1.500000005375308,47421.855,0.0,False
4,7.28966067858548,1.5000000046946729,47421.7865,0.0,False
5,7.29008604228103,1.5000000063579064,47421.891,0.0,False
6,7.29077034183496,1.4999999943508435,47422.078,0.0,False
7,7.29171866635132,1.4999999914213191,47422.057,0.0,False
8,7.29293513927011,1.4999999970543416,47422.1395,0.0,False
9,7.2944228958198,1.4999999997621771,47422.2595,0.0,False
10,7.29618406200409,1.5000000050421936,47422.2855,0.0,False
11,7.29821975058639,1.499999997068555,47422.4355,0.0,False
12,7.30053006550336,1.5000000069500372,47422.5425,0.0,False
13,7.30311410689108,1.4999999973653864,47422.4665,0.0,False
14,7.30596997647438,1.5000000040473984,47422.455,0.0,False
15,7.30909478556652,1.499999997834584,47422.7405,0.0,False
16,7.31248465200154,1.499999991790166,47422.65,0.0,False
17,7.31613469160678,1.5000000030919587,47422.8015,0.0,False
18,7.32003901975126,1.5000000019540474,47422.8255,0.0,False
19,7.32419075752574,1.5000000016082076,47422.9045,0.0,False
20,7.32858203621133,1.500000008113069,47422.9455,0.0,False
21,7.33320400837052,1.4999999921932756,47423.014,0.0,False
22,7.33804686362871,1.5000000062944092,47423.176,0.0,False
23,7.34309985679847,1.500000006672604,47423.2235,0.0,False
24,7.34835133057201,1.5000000016170258,47423.3575,0.0,False
25,7.35378874327086,1.4999999962491202,47423.370500000005,0.0,False
26,7.35939869687102,1.4999999966966868,47423.4185,0.0,False
27,7.36516695765398,1.5000000028420784,47423.5235,0.0,False
28,7.37107847114563,1.5000000015420518,47423.556,0.0,False
29,7.37711738630749,1.5000000026595672,47423.491,0.0,False
30,7.38326708154085,1.5000000027335674,47423.6225,0.0,False
31,7.38951018973242,1.499999997364159,47423.729,0.0,False
32,7.39582863030204,1.4999999995138689,47423.717,0.0,False
33,7.40220365565514,1.5000000002068734,47423.7435,0.0,False
34,7.4086158852454,1.4999999940654256,47423.885,0.0,False
35,7.41504534399744,1.5000000008741872,47423.86,0.0,False
36,7.42147150507487,1.5000000090062189,47424.047,0.0,False
37,7.4278733305573,1.5000000050435067,47424.1065,0.0,False
38,7.43422930927655,1.4999999953753624,47424.0645,0.0,False
39,7.44051750122389,1.49999999798484,47424.209,0.0,False
40,7.44671557760247,1.4999999992047637,47424.1445,0.0,False
41,7.45280085789478,1.5000000011345371,47424.215500000006,0.0,False
42,7.45875035212882,1.4999999961813788,47424.251,0.0,False
43,7.46454080970047,1.5000000035889038,47424.385,0.0,False
44,7.47014877366021,1.4999999977228964,47424.383,0.0,False
45,7.47555063166516,1.5000000020167903,47424.2485,0.0,False
46,7.48072266539847,1.5000000017030637,47424.4115,0.0,False
47,7.48564110196992,1.5000000025846714,47424.5025,0.0,False
48,7.49028216385709,1.5000000066995118,47424.5015,0.0,False
49,7.4946221187682,1.5000000016391517,47424.6015,0.0,False
50,7.49863732605437,1.499999992206044,47424.6905,0.0,False
51,7.50230429015893,1.4999999972639764,47424.8295,0.0,False
52,7.50559971327416,1.500000003132021,47424.786,0.0,False
53,7.50850054783537,1.500000002277554,47424.7875,0.0,False
54,7.51098405184283,1.4999999975679112,47424.9055,0.0,False
55,7.51302784354583,1.4999999965917772,47424.955,0.0,False
56,7.51460994833669,1.4999999955368657,47425.016,0.0,False
57,7.5157088512862,1.4999999920585254,47425.016,0.0,False
58,7.51630354482356,1.5000000010714063,47425.069,0.0,False
59,7.51637358260932,1.4999999974097011,47425.143,0.0,False
60,7.51589913060355,1.5000000043751982,47425.113,0.0,False
61,7.51486101677926,1.5000000034139382,47425.13,0.0,False
62,7.51324078294875,1.5000000007757657,47425.2825,0.0,False
63,7.51102073686175,1.4999999921536942,47425.259,0.0,False
64,7.50818399331939,1.499999999331724,47425.491,0.0,False
65,7.5047145208895,1.4999999933677703,47425.5645,0.0,False
66,7.50059718990466,1.499999996067884,47425.488,0.0,False
67,7.49581781758021,1.4999999958455537,47425.6435,0.0,False
68,7.49036321003879,1.5000000003491616,47425.684,0.0,False
69,7.48422120891476,1.5000000019845323,47425.73,0.0,False
70,7.47738073723446,1.5000000020845732,47425.732,0.0,False
71,7.46983184143628,1.499999999012436,47425.8125,0.0,False
72,7.4615657283889,1.500000003987834,47425.9915,0.0,False
73,7.45257480438254,1.4999999957898895,47426.0275,0.0,False
74,7.44285270950697,1.4999999942062,47425.9895,0.0,False
75,7.43239434392102,1.5000000042093748,47426.145,0.0,False
76,7.42119589010176,1.5000000059818894,47426.221000000005,0.0,False
77,7.40925483700527,1.500000005845414,47426.337,0.0,False
78,7.39656999193294,1.499999997153019,47426.3245,0.0,False
79,7.38314149421076,1.5000000068010402,47426.4715,0.0,False
80,7.3689708374683,1.4999999967190532,47426.487,0.0,False
81,7.35406089863686,1.500000000070686,47426.4945,0.0,False
82,7.33841595189094,1.4999999966316684,47426.552,0.0,False
83,7.32204167980329,1.499999997775485,47426.6365,0.0,False
84,7.30494518519264,1.5000000037547772,47426.73,0.0,False
85,7.28713499414525,1.4999999945646303,47426.7135,0.0,False
86,7.26862104514411,1.5000000039187389,47426.864,0.0,False
87,7.24941467861238,1.499999997980024,47427.033,0.0,False
88,7.22952861979222,1.5000000041921009,47427.029,0.0,False
89,7.20897696788133,1.499999996141564,47427.075,0.0,False
90,7.1877751748657,1.4999999990597053,47427.16,0.0,False
91,7.16594002675062,1.4999999983365369,47427.1345,0.0,False
92,7.14348963006265,1.500000001211572,47427.2015,0.0,False
93,7.12044339047655,1.4999999938699295,47427.3265,0.0,False
94,7.09682198582077,1.4999999995334916,47427.4475,0.0,False
95,7.07264734037133,1.4999999988535229,47427.401,0.0,False
96,7.04794258651646,1.5000000024674447,47427.536,0.0,False
97,7.02273201873161,1.4999999977937566,47427.4945,0.0,False
98,6.99704104047816,1.5000000012283343,47427.608,0.0,False
99,6.97089611077242,1.5000000027634597,47427.705,0.0,False
100,6.94432468544381,1.4999999923755063,47427.6755,0.0,False
101,6.91735516534178,1.4999999957925323,47427.752,0.0,False
102,6.89001684567306,1.500000004170232,47427.808,0.0,False
103,6.86233986648772,1.499999998339833,47427.778,0.0,False
104,6.83435515178561,1.5000000047806143,47427.8545,0.0,False
