sample_index,axis,baseline_distance,signal,detection_score,is_candidate
144,2.57027026769809,1.5000000018807187,47412.8135,0.0,False
145,2.58087031500301,1.5000000009501762,47412.9275,0.0,False
146,2.59145396566584,1.500000000648947,47412.9475,0.0,False
147,2.60201477075657,1.5000000039305716,47412.9335,0.0,False
148,2.61254619425804,1.5000000014933406,47412.9475,0.0,False
149,2.62304161101021,1.4999999963015462,47413.103,0.0,False
150,2.63349430753501,1.499999996383889,47412.932,0.0,False
151,2.64389748351859,1.4999999970702105,47413.148,0.0,False
152,2.65424424442905,1.499999997064578,47413.1675,0.0,False
153,2.66452761858183,1.499999995342861,47413.217,0.0,False
154,2.67474056251927,1.5000000021289022,47413.196,0.0,False
155,2.68487597223673,1.4999999932080763,47413.382,0.0,False
156,2.69492669110547,1.5000000034382075,47413.3435,0.0,False
157,2.70488550767876,1.5000000013193089,47413.453,0.0,False
158,2.71474516672402,1.4999999985777073,47413.4035,0.0,False
159,2.72449837646748,1.5000000014788355,47413.536,0.0,False
160,2.73413782546053,1.4999999946638125,47413.4635,0.0,False
161,2.74365619232333,1.5000000009131105,47413.53,0.0,False
162,2.75304615709266,1.4999999929525871,47413.7105,0.0,False
163,2.76230041642032,1.5000000011960355,47413.587,0.0,False
164,2.77141169375559,1.4999999962900008,47413.735,0.0,False
165,2.78037275937311,1.5000000082333411,47413.733,0.0,False
166,2.78917644558032,1.4999999994050952,47413.72,0.0,False
167,2.79781567186763,1.5000000022390825,47413.865000000005,0.0,False
168,2.80628346038229,1.499999999098545,47413.889,0.0,False
169,2.81457294844916,1.4999999996493267,47413.882,0.0,False
170,2.8226774101644,1.5000000079476918,47413.9595,0.0,False
171,2.83059027306803,1.4999999990225084,47414.027,0.0,False
172,2.83830514663739,1.5000000051952591,47414.151,0.0,False
173,2.8458158396825,1.4999999992810755,47414.221,0.0,False
174,2.85311638075825,1.5000000039522088,47414.233,0.0,False
175,2.86020104197466,1.50000000043754,47414.128,0.0,False
176,2.86706435442171,1.5000000009936123,47414.311,0.0,False
