method,baseline_family,input_dir,signal_column,num_files,num_samples_total,mean_residual_rms,max_peak_abs_residual,mean_response_mean,mean_response_std,max_peak_response
total_field_highpass,highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,3.292190383304055,365.453499999996,5.144542483214264,26.036371310529937,9271.835980046453
obf,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,5.606461015875773,360.7767390800582,3.2844535965623205,3.032068346870861,290.80777363478416
gradient_obf,gradient_obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\real_concat,signal_1,29,467241,0.9829939245812693,279.108546425471,2.2123593186156145,5.464792181011084,1049.6650245253309
emd,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,0.7807930008318951,123.96052480666602,1.0373081233826058,1.8564978511900458,281.9111764892154
lowrank_sparse,lowrank_sparse,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,1.8969052691312198,359.29688918914326,0.9676606254159917,1.780156048873547,348.89619227091896
wavelet_denoise,wavelet,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,2.057791227871975,307.744247533672,0.8849507671734005,0.8209720514303358,198.54545003647584
vmd,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,29,467241,0.028293819173817007,3.87368354707109,0.8055548043396642,0.5792682023621557,29.524365759756556
