sample_index,axis,baseline_distance,signal_0,signal_1,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
0,2.147,1.4999999974071518,47293.505000000005,3.3826666725141767,3.3826666725141767,3.316403810166515,0.06626286234766177,0.025448845586590975,0.052430695354753455,0.485380661354966,0.485380661354966,0.06626286234766177
2,2.10522106481482,1.4999999933984844,47293.552500000005,3.2993333478540827,3.2993333478540827,3.316004920910747,-0.016671573056664446,0.03168490214174676,0.05314681977945252,0.5961768224934635,0.5961768224934635,0.016671573056664446
3,2.06675,1.5000000025936977,47293.549,3.31333332760492,3.31333332760492,3.3156119456309137,-0.002278618025993495,0.03704917857574878,0.053862944204151594,0.6878416901111978,0.6878416901111978,0.002278618025993495
4,2.12611053240741,1.4999999973188871,47293.4335,3.374000006031725,3.374000006031725,3.315224849682143,0.05877515634958197,0.02228454464049201,0.05413384688533033,0.41165640209713,0.41165640209713,0.05877515634958197
5,2.04583333333333,1.50000000051171,47293.577,3.3359999988625004,3.3359999988625004,3.3148435985441314,0.021156400318369073,0.0163222222123105,0.054404749566509064,0.3000146557490685,0.3000146557490685,0.021156400318369073
6,2.1005,1.4999999958225436,47293.526,3.377333342738371,3.377333342738371,3.3144681578208455,0.06286518491752568,0.022475554629470026,0.05628140937260172,0.3993424272777953,0.3993424272777953,0.06286518491752568
7,2.121,1.5000000012907715,47293.5015,3.383333330419986,3.383333330419986,3.314098493240225,0.06923483717976087,0.004993478341663169,0.058158069178694365,0.0858604560326855,0.0858604560326855,0.06923483717976087
8,2.10866666666667,1.4999999948589218,47293.4855,3.2326666777475808,3.2326666777475808,3.313734570653886,-0.08106789290630534,-0.001161003385827956,0.06139494281518133,-0.018910407479699954,0.018910407479699954,0.08106789290630534
9,2.09308333333333,1.5000000005383851,47293.4855,3.281999998823681,3.281999998823681,3.3133763560368226,-0.03137635721314158,-0.014210083668356669,0.06463181645166831,-0.21986205012484794,0.21986205012484794,0.03137635721314158
10,2.11,1.4999999987241974,47293.627,3.434666669589213,3.434666669589213,3.3130238154871154,0.12164285410209752,-0.023783356161687735,0.06577387384876744,-0.36159275362695426,0.36159275362695426,0.12164285410209752
11,2.18016666666667,1.5000000052986395,47293.663,3.138666655578704,3.138666655578704,3.31267691522563,-0.17401025964692618,-0.04084375297902687,0.06463181645166831,-0.6319449958453487,0.6319449958453487,0.17401025964692618
12,2.07782793209877,1.4999999993745328,47293.574,3.254666668022317,3.254666668022317,3.3123356215957305,-0.05766895357341362,-0.055020864487149664,0.06139494281518133,-0.8961790982162862,0.8961790982162862,0.05766895357341362
13,2.153,1.499999999293019,47293.608,3.253333334869801,3.253333334869801,3.3119999010629773,-0.05866656619317645,-0.0589813311293946,0.06463181645166831,-0.9125742454337618,0.9125742454337618,0.05866656619317645
15,2.163,1.4999999993394777,47293.748,3.2466666680932263,3.2466666680932263,3.311669720214837,-0.0650030521216105,-0.06494733539377368,0.06577387384876744,-0.9874336357792425,0.9874336357792425,0.0650030521216105
16,2.10604094328704,1.5000000034225194,47293.8695,3.2206666593218625,3.2206666593218625,3.311345045760389,-0.09067838643852655,-0.08077069876059327,0.06691593124586656,-1.2070473690909371,1.2070473690909371,0.09067838643852655
17,2.15333333333333,1.4999999947107354,47293.7505,3.2526666781366864,3.2526666781366864,3.3110258445300307,-0.058359166393344264,-0.07756249808449717,0.06758824252751094,-1.1475738262157997,1.1475738262157997,0.058359166393344264
18,2.09043287037037,1.5000000043273949,47293.8665,3.1939999907886776,3.1939999907886776,3.3107120834751873,-0.11671209268650973,-0.08621159122309995,0.06826055380915531,-1.2629781976884136,1.2629781976884136,0.11671209268650973
19,2.12968800636574,1.4999999996559057,47293.809,3.225333334075464,3.225333334075464,3.3104037296680175,-0.08507039559255336,-0.08071794443827897,0.06913456793536635,-1.1675482591247532,1.1675482591247532,0.08507039559255336
20,2.18933641975309,1.4999999996498803,47293.846000000005,3.2893333341018445,3.2893333341018445,3.3101007503011233,-0.0207674161992788,-0.09071115151917036,0.07000858206157737,-1.2957147373643942,1.2957147373643942,0.0207674161992788
21,2.178,1.50000000357319,47293.9045,3.164666659125197,3.164666659125197,3.3098031126872582,-0.14513645356206117,-0.1115985908939719,0.07177630342966623,-1.5548110666262942,1.5548110666262942,0.14513645356206117
22,2.11252777777778,1.50000000357319,47293.8775,3.1739999924381985,3.1739999924381985,3.309510784259037,-0.1355107918208387,-0.11819504462770355,0.07354402479775511,-1.6071332097031408,1.6071332097031408,0.1355107918208387
