sample_index,axis,baseline_distance,signal_0,signal_1,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
0,2.65152777777778,1.4999999946908529,47392.28,-2.921333343671718,-2.921333343671718,-2.920292546832627,-0.0010407968390908628,-0.013950156411454185,0.038173207138055436,-0.36544365688223945,0.36544365688223945,0.0010407968390908628
1,2.628,1.499999998974728,47392.2405,-2.938000002012512,-2.938000002012512,-2.920972881104818,-0.017027120907694204,-0.006456678322514249,0.038173207138055436,-0.16914162593578602,0.16914162593578602,0.017027120907694204
2,2.612,1.5000000021750794,47392.339,-2.967999995699425,-2.967999995699425,-2.9216515296943193,-0.04634846600510567,-0.001293920252169567,0.038173207138055436,-0.033896032038650444,0.033896032038650444,0.04634846600510567
3,2.66070833333333,1.4999999981738403,47392.4055,-2.848666670135445,-2.848666670135445,-2.922328494763387,0.07366182462794191,-0.009921403320854005,0.038173207138055436,-0.25990489310926174,0.25990489310926174,0.07366182462794191
4,2.597,1.4999999992996842,47392.4915,-3.002000001404398,-3.002000001404398,-2.923003778471076,-0.07899622293332209,-0.001001824999777116,0.038173207138055436,-0.02624419258654277,0.02624419258654277,0.07899622293332209
5,2.575,1.4999999978301537,47392.5135,-2.892666670851056,-2.892666670851056,-2.9236773829732416,0.031010712122185424,0.0073014163863930216,0.038173207138055436,0.19127070879811225,0.19127070879811225,0.031010712122185424
7,2.56,1.4999999919248796,47392.631,-2.894666682252649,-2.894666682252649,-2.9243493104225475,0.02968262816989853,-0.0021007230896322605,0.038173207138055436,-0.05503134913539969,0.05503134913539969,0.02968262816989853
9,2.545,1.4999999927711023,47392.7785,-2.9953333477701136,-2.9953333477701136,-2.9250195629684685,-0.07031378480164507,-0.008393427514544034,0.038173207138055436,-0.21987745185225743,0.21987745185225743,0.07031378480164507
10,2.569,1.4999999958745247,47392.9815,-2.8553333411884614,-2.8553333411884614,-2.9256881427572994,0.070354801568838,-0.020169284124222822,0.038173207138055436,-0.5283623157802679,0.5283623157802679,0.070354801568838
12,2.554,1.499999994935061,47393.1215,-2.852666676295718,-2.852666676295718,-2.926355051932158,0.07368837563644037,-0.0180949605021777,0.038173207138055436,-0.4740225372402248,0.4740225372402248,0.07368837563644037
14,2.55957407407407,1.4999999989303825,47393.1565,-3.028666668824908,-3.028666668824908,-2.9270202926329865,-0.10164637619192174,-0.020911192966067176,0.038173207138055436,-0.5477976448360949,0.5477976448360949,0.10164637619192174
16,2.57861111111111,1.4999999969498483,47393.359,-3.0306666728258747,-3.0306666728258747,-2.927683866996563,-0.10298280582931163,-0.01432168472303087,0.038173207138055436,-0.37517635527022225,0.37517635527022225,0.10298280582931163
17,2.64116666666667,1.5000000023560196,47393.4785,-2.96066666201567,-2.96066666201567,-2.928345777156503,-0.032320884859167176,-0.009511619347449695,0.038173207138055436,-0.2491700347065526,0.2491700347065526,0.032320884859167176
18,2.604,1.4999999988749169,47393.433000000005,-2.9893333355781766,-2.9893333355781766,-2.9290060252432606,-0.06032731033491601,-0.01136988293576883,0.038173207138055436,-0.29784982159473905,0.29784982159473905,0.06032731033491601
20,2.58950925925926,1.5000000033663323,47393.541,-2.9239999934369645,-2.9239999934369645,-2.9296646133841446,0.0056646199471801495,-0.02360017497066094,0.038173207138055436,-0.6182392505117438,0.6182392505117438,0.0056646199471801495
21,2.56333333333333,1.499999995770759,47393.786,-2.8413333413460853,-2.8413333413460853,-2.9303215437033105,0.08898820235722527,-0.017832126827930377,0.038173207138055436,-0.46713724533124873,0.46713724533124873,0.08898820235722527
22,2.60116666666667,1.4999999925230885,47393.8035,-2.958000014743189,-2.958000014743189,-2.9309768183217746,-0.027023196421414486,-0.003399066612072035,0.038173207138055436,-0.08904325486143015,0.08904325486143015,0.027023196421414486
23,2.65916666666667,1.4999999947455047,47393.8195,-2.878000010083449,-2.878000010083449,-2.9316304393574146,0.053630429273965774,-0.004449143423928338,0.038173207138055436,-0.11655147045512246,0.11655147045512246,0.053630429273965774
24,2.591,1.5000000025592268,47393.9515,-2.968666661602565,-2.968666661602565,-2.9322824089249764,-0.0363842526775886,-0.006315685516210657,0.038173207138055436,-0.1654481242136571,0.1654481242136571,0.0363842526775886
25,2.60395833333333,1.499999997294222,47393.982,-2.982666672043425,-2.982666672043425,-2.9329327291360783,-0.04973394290734667,-0.007369062585062746,0.038173207138055436,-0.19304279460754079,0.19304279460754079,0.04973394290734667
26,2.57969444444444,1.5000000003515632,47393.862,-2.906666665985804,-2.906666665985804,-2.9335814020992173,0.02691473611341344,-0.014127787799044297,0.038173207138055436,-0.3700969569559718,0.3700969569559718,0.02691473611341344
31,2.57393518518519,1.4999999969326197,47394.00199999999,-2.976000006085644,-2.976000006085644,-2.93422842991977,-0.0417715761658739,-0.021110379918855376,0.038173207138055436,-0.5530156227772155,0.5530156227772155,0.0417715761658739
32,2.538,1.4999999980761871,47394.130000000005,-3.012000003865461,-3.012000003865461,-2.934873814700004,-0.07712618916545688,-0.023502023506904605,0.038173207138055436,-0.615668037058251,0.615668037058251,0.07712618916545688
34,2.56618055555556,1.5000000005723413,47394.1745,-2.939333332211566,-2.939333332211566,-2.935517558539077,-0.0038157736724886426,-0.012265680859213103,0.04035735283334355,-0.3039267939565923,0.3039267939565923,0.0038157736724886426
36,2.643,1.5000000061377274,47394.189,-2.9079999881016523,-2.9079999881016523,-2.9361596635330436,0.028159675431391307,-0.013179122780889852,0.0432568758944117,-0.304671165182145,0.304671165182145,0.028159675431391307
37,2.606,1.5000000046525546,47394.159,-3.026666657274577,-3.026666657274577,-2.936800131774863,-0.08986652549971419,-0.008538648919126098,0.04946960370586318,-0.1726039482728682,0.1726039482728682,0.08986652549971419
39,2.66525,1.500000002561103,47394.235,-2.905333328372877,-2.905333328372877,-2.9374389653543997,0.03210563698152269,0.0024705610214765805,0.05568233151731467,0.044368850120946324,0.044368850120946324,0.03210563698152269
40,2.59877777777778,1.4999999990211628,47394.235,-2.873333335206798,-2.873333335206798,-2.938076166358433,0.06474283115163493,0.004885546613728852,0.05708011168121396,0.08559104861276522,0.08559104861276522,0.06474283115163493
41,2.622,1.5000000048029971,47394.2265,-2.996666657073092,-2.996666657073092,-2.938711736870655,-0.05795492020243742,-0.0052196167196777565,0.05847789184511325,-0.08925794954275422,0.08925794954275422,0.05795492020243742
42,2.62722222222222,1.4999999940234312,47394.214,-2.870666678102396,-2.870666678102396,-2.939345678971683,0.06867900086928724,-0.021178260696833817,0.0608499680217801,-0.34804062163604516,0.34804062163604516,0.06867900086928724
43,2.665,1.49999999231311,47394.156,-2.8826666814395105,-2.8826666814395105,-2.9399779947390607,0.05731131329955019,-0.004471865478398544,0.06322204419844694,-0.07073269355799153,0.07073269355799153,0.05731131329955019
45,2.649,1.4999999974549745,47394.02099999999,-2.99600000508245,-2.99600000508245,-2.9406086862472636,-0.05539131883518644,-0.019915241069677483,0.06392999169934548,-0.3115164031826611,0.3115164031826611,0.05539131883518644
46,2.65705497685185,1.500000000376301,47394.095,-3.0359999992408504,-3.0359999992408504,-2.9412377555677023,-0.09476224367314812,-0.03654542565966931,0.06463793920024401,-0.5653866152269185,0.5653866152269185,0.09476224367314812
48,2.62483333333333,1.5000000040224846,47394.125,-3.0573333251317445,-3.0573333251317445,-2.9418652047687313,-0.11546812036301324,-0.050510563155963056,0.06505297490676142,-0.7764527791136134,0.7764527791136134,0.11546812036301324
49,2.59266666666667,1.4999999976830367,47394.158500000005,-2.8820000044494467,-2.8820000044494467,-2.94249103591565,0.06049103146620327,-0.06536620507953522,0.06546801061327884,-0.9984449575786718,0.9984449575786718,0.06049103146620327
50,2.59895833333333,1.500000002750269,47394.2225,-3.049999994410697,-3.049999994410697,-2.9431152510707093,-0.10688474333998776,-0.07681605478718564,0.06691983705090554,-1.1478816771288924,1.1478816771288924,0.10688474333998776
51,2.6414375,1.4999999921840226,47394.2895,-3.028666682451409,-3.028666682451409,-2.9437378522931175,-0.08492883015829156,-0.09167492683433462,0.06837166348853227,-1.3408321833461156,1.3408321833461156,0.08492883015829156
52,2.598,1.500000000330331,47394.267,-3.127999999308123,-3.127999999308123,-2.944358841639042,-0.18364115766908107,-0.10149837580764516,0.06952367228304214,-1.4599110270589393,1.4599110270589393,0.18364115766908107
53,2.63579166666667,1.5000000011960049,47394.3495,-3.00999999760448,-3.00999999760448,-2.944978221161618,-0.06502177644286222,-0.08784195490452075,0.06837166348853227,-1.2847713573511952,1.2847713573511952,0.06502177644286222
54,2.711,1.5000000031860732,47394.3885,-2.991333326980255,-2.991333326980255,-2.945595992910951,-0.04573733406930369,-0.11159454720533606,0.06691983705090554,-1.6675854593077792,1.6675854593077792,0.04573733406930369
55,2.705,1.500000003416181,47394.4115,-3.135333326193649,-3.135333326193649,-2.946212158934122,-0.1891211672595272,-0.09838578198473519,0.06546801061327884,-1.5028069596600764,1.5028069596600764,0.1891211672595272
56,2.68,1.4999999972643792,47394.4415,-3.1300000057081347,-3.1300000057081347,-2.9468267212751917,-0.183173284432943,-0.10288232165231623,0.06527266508119524,-1.576193059136422,1.576193059136422,0.183173284432943
57,2.67009635416667,1.499999992748662,47394.461,-2.9400000142101,-2.9400000142101,-2.9474396819752067,0.007439667765106517,-0.08063972548807631,0.06507731954911164,-1.239137168629391,1.239137168629391,0.007439667765106517
58,2.63066666666667,1.4999999956573045,47394.547,-3.10133334231334,-3.10133334231334,-2.9480510430722053,-0.15328229924113446,-0.08150983908598307,0.06485762937467783,-1.2567502061339095,1.2567502061339095,0.15328229924113446
59,2.67166840277778,1.500000001895052,47394.6065,-2.9366666629558003,-2.9366666629558003,-2.9486608066012203,0.011994143645420063,-0.08630747816277988,0.06463793920024401,-1.3352448922513618,1.3352448922513618,0.011994143645420063
60,2.67736111111111,1.5000000023913198,47394.589,-3.0746666617608014,-3.0746666617608014,-2.9492689745942804,-0.125397687166521,-0.07258819233399233,0.06392999169934548,-1.1354325318133194,1.1354325318133194,0.125397687166521
61,2.65830208333333,1.499999995941285,47394.66,-2.933333341271346,-2.933333341271346,-2.9498755490804243,0.016542207809078224,-0.06398161033585653,0.06322204419844694,-1.0120142609597595,1.0120142609597595,0.016542207809078224
62,2.63417361111111,1.500000001203609,47394.6665,-3.023333330909721,-3.023333330909721,-2.950480532085698,-0.07285279882402307,-0.06485810017312182,0.0608499680217801,-1.065869092156418,1.065869092156418,0.07285279882402307
63,2.71483333333333,1.499999994377374,47394.756,-3.0400000113936367,-3.0400000113936367,-2.951083925633162,-0.08891608576047494,-0.05255099571451627,0.06322204419844694,-0.8312131690896384,0.8312131690896384,0.08891608576047494
64,2.62502199074074,1.5000000033772525,47394.736,-3.017333326543333,-3.017333326543333,-2.9516857317428937,-0.06564759480043936,-0.04602325629137619,0.06392999169934548,-0.7199008644927978,0.7199008644927978,0.06564759480043936
65,2.67966840277778,1.5000000005483825,47394.8315,-3.0579999988817206,-3.0579999988817206,-2.9522859524319998,-0.10571404644972082,-0.02260821512897509,0.06322204419844694,-0.3576001917623926,0.3576001917623926,0.10571404644972082
66,2.69677662037037,1.5000000014468249,47394.9,-2.95333333048489,-2.95333333048489,-2.9528845897146088,-0.0004487407702811197,-0.023491050084878347,0.06463793920024401,-0.3634251087755853,0.3634251087755853,0.0004487407702811197
67,2.67857552083333,1.499999997638657,47394.963,-2.996000004715574,-2.996000004715574,-2.9534816456018897,-0.0425183591136844,-0.012449543673248206,0.06507731954911164,-0.19130387913185268,0.19130387913185268,0.0425183591136844
68,2.65229513888889,1.5000000050374147,47394.9375,-2.8833333236483627,-2.8833333236483627,-2.9540771221020434,0.07074379845368073,-0.009631838072622677,0.06546801061327884,-0.14712281589734236,0.14712281589734236,0.07074379845368073
69,2.658,1.4999999976007958,47394.951,-2.869333337925228,-2.869333337925228,-2.954671021220317,0.08533768329508895,0.0022213258933728598,0.06837166348853227,0.03248898417902959,0.03248898417902959,0.08533768329508895
70,2.67025347222222,1.5000000075911768,47394.844,-2.9466666517530573,-2.9466666517530573,-2.955263344959006,0.008596693205948913,0.0280729147474318,0.07067568107755202,0.39720755880127356,0.39720755880127356,0.008596693205948913
71,2.68418055555556,1.4999999984109078,47395.046,-2.929333336436809,-2.929333336436809,-2.955854095317457,0.0265207588806482,0.03540441294731059,0.07091929962180929,0.49922113072339097,0.49922113072339097,0.0265207588806482
72,2.6333125,1.4999999952080978,47394.952,-3.02000000964692,-3.02000000964692,-2.956443274292075,-0.06355673535484518,0.053475081529830555,0.07886530121425049,0.6780558839755997,0.6780558839755997,0.06355673535484518
73,2.697,1.499999998464318,47394.958,-2.9160000029828046,-2.9160000029828046,-2.957030883876325,0.04103088089352047,0.03465528948257251,0.08128050549556144,0.4263665595001124,0.4263665595001124,0.04103088089352047
74,2.67,1.499999996736913,47394.957,-2.830666672823931,-2.830666672823931,-2.957616926060741,0.12695025323680964,0.029463561826183496,0.08289833661095193,0.35541800994702927,0.35541800994702927,0.12695025323680964
75,2.65847569444444,1.5000000035584775,47394.8965,-2.892666659804301,-2.892666659804301,-2.958201402832929,0.06553474302862794,0.03293693245216847,0.08305848398779547,0.3965510911204229,0.3965510911204229,0.06553474302862794
78,2.66966666666667,1.5000000045545216,47394.995,-2.838666658048574,-2.838666658048574,-2.9587843161775695,0.12011765812899533,0.04863096394780378,0.08393376329532687,0.5793969201248883,0.5793969201248883,0.12011765812899533
79,2.65925,1.5000000009573038,47395.0525,-3.057999998048066,-3.057999998048066,-2.9593656680764244,-0.09863432997164168,0.049138250488420604,0.08447388540583191,0.5816975299804098,0.5816975299804098,0.09863432997164168
80,2.62825,1.500000003702644,47395.021,-2.921333326120754,-2.921333326120754,-2.959945460508342,0.038612134387587815,0.06075508574416514,0.08505321827798253,0.7143184817016222,0.7143184817016222,0.038612134387587815
81,2.675046875,1.500000000029806,47395.1315,-2.920666666609446,-2.920666666609446,-2.9605236954492598,0.03985702883981368,0.04762962366597634,0.08733926436995929,0.5453403347230247,0.5453403347230247,0.03985702883981368
82,2.69655555555556,1.5000000004317628,47395.129,-2.793333332530848,-2.793333332530848,-2.961100374872214,0.16776704234136597,0.05665075417055511,0.08978552732894889,0.6309564119727525,0.6309564119727525,0.16776704234136597
83,2.64275,1.5000000046812378,47395.139500000005,-3.0206666572366285,-3.0206666572366285,-2.9616755007473348,-0.05899115648929376,0.04774440436485477,0.08988742602817061,0.5311577656021848,0.5311577656021848,0.05899115648929376
84,2.64558680555556,1.4999999945781946,47395.1415,-2.8166666768466424,-2.8166666768466424,-2.9622490750418637,0.14558239819522134,0.06654020700992522,0.09080035334186352,0.7328188113916385,0.7328188113916385,0.14558239819522134
85,2.717,1.4999999973650315,47395.1405,-2.954000005187036,-2.954000005187036,-2.9628210997201463,0.008821094533110418,0.07748260829532835,0.09128298830832478,0.8488176135691007,0.8488176135691007,0.008821094533110418
86,2.64544791666667,1.5000000039897623,47395.1835,-2.816666659173809,-2.816666659173809,-2.963391576743646,0.14672491756983685,0.07760864769037983,0.09163963458396118,0.8468895368550818,0.8468895368550818,0.14672491756983685
87,2.6665,1.5000000009263788,47395.18,-2.923999998193248,-2.923999998193248,-2.96396050807094,0.039960509877692285,0.06973314028009384,0.09188580081212014,0.7589109488491907,0.7589109488491907,0.039960509877692285
88,2.61,1.4999999990548496,47395.2255,-2.894000001823743,-2.894000001823743,-2.9645278956577354,0.07052789383399238,0.07148571748454015,0.09239173760907968,0.7737241374007342,0.7737241374007342,0.07052789383399238
89,2.6944921875,1.5000000023859266,47395.299,-2.8279999955006465,-2.8279999955006465,-2.9650937414568626,0.13709374595621604,0.05716268247324141,0.09288735179037555,0.6153979134020728,0.6153979134020728,0.13709374595621604
90,2.61929166666667,1.5000000013542252,47395.2585,-2.924666664023008,-2.924666664023008,-2.9656580474182848,0.04099138339527686,0.06780106832287736,0.09679724639942854,0.7004441845700854,0.7004441845700854,0.04099138339527686
91,2.63570833333333,1.4999999965971114,47395.302,-2.8693333398403142,-2.8693333398403142,-2.9662208154891063,0.09688747564879208,0.05932680527482094,0.0970535912822661,0.611278825347922,0.611278825347922,0.09688747564879208
92,2.60279166666667,1.4999999953837706,47395.3365,-3.010000009262846,-3.010000009262846,-2.966782047613569,-0.04321796164927694,0.058702857814740876,0.09773984932608457,0.6006031134639206,0.6006031134639206,0.04321796164927694
94,2.67865277777778,1.5000000020470547,47395.366,-2.950666662639533,-2.950666662639533,-2.9673417457330657,0.016675083093532717,0.03570700574052266,0.09853189450044314,0.3623903297663892,0.3623903297663892,0.016675083093532717
98,2.60494444444444,1.499999994093876,47395.5325,-2.863333344606304,-2.863333344606304,-2.9678999117861378,0.10456656717983392,0.026783695888881336,0.100254573788265,0.26715684758131625,0.26715684758131625,0.10456656717983392
105,2.69095572916667,1.5000000012577095,47395.7815,-2.897999997571153,-2.897999997571153,-2.968456547708482,0.0704565501373291,0.013784782335482908,0.100254573788265,0.13749779002198945,0.13749779002198945,0.0704565501373291
106,2.6485,1.4999999969188598,47395.813,-2.934666672695988,-2.934666672695988,-2.9690116554329595,0.03434498273697173,0.01011767509317401,0.100254573788265,0.10091983548343911,0.10091983548343911,0.03434498273697173
107,2.597125,1.4999999943381537,47395.7555,-3.106000011723564,-3.106000011723564,-2.9695652368895926,-0.1364347748339716,0.026967560204901493,0.100254573788265,0.268990821923559,0.268990821923559,0.1364347748339716
108,2.65410532407407,1.4999999982577152,47395.769,-2.913333336714133,-2.913333336714133,-2.9701172940055773,0.05678395729144414,0.032927029865903804,0.100254573788265,0.32843419129629753,0.32843419129629753,0.05678395729144414
109,2.645,1.4999999996927211,47395.844,-3.04666666729059,-3.04666666729059,-2.970667828705281,-0.07599883858530898,0.02081090508611632,0.100254573788265,0.207580605051181,0.207580605051181,0.07599883858530898
110,2.59608333333333,1.5000000004612692,47395.8425,-2.9073333324422403,-2.9073333324422403,-2.9712168429102523,0.063883510468012,0.010100664740343804,0.100254573788265,0.10075016389452855,0.10075016389452855,0.063883510468012
111,2.6045,1.4999999995568465,47395.9345,-2.863333334182951,-2.863333334182951,-2.9717643385392214,0.1084310043562704,0.009018536396858876,0.100254573788265,0.08995635865856641,0.08995635865856641,0.1084310043562704
112,2.56983333333333,1.4999999961421293,47395.9945,-2.9020000074655563,-2.9020000074655563,-2.97231031750811,0.0703103100425535,0.021416374746115945,0.100254573788265,0.21361992712020064,0.21361992712020064,0.0703103100425535
113,2.61354861111111,1.4999999978665208,47396.069,-2.977333337568285,-2.977333337568285,-2.9728547817300317,-0.004478555838253406,0.002627511764002863,0.09853189450044314,0.02666661163194265,0.02666661163194265,0.004478555838253406
114,2.62136805555556,1.4999999936214343,47396.177500000005,-2.9993333460899194,-2.9993333460899194,-2.973397733115296,-0.025935612974623545,0.010577878580368714,0.09773984932608457,0.10822483002892982,0.10822483002892982,0.025935612974623545
115,2.64233333333333,1.4999999935952837,47396.182,-2.9493333459258086,-2.9493333459258086,-2.973939173571416,0.02460582764560737,-0.0028806754952450417,0.09714847193019718,-0.02965229856950149,0.02965229856950149,0.02460582764560737
116,2.57109722222222,1.4999999993207758,47396.1885,-2.9993333346937696,-2.9993333346937696,-2.9744791050031116,-0.02485422969065798,-0.007229625604534551,0.0970535912822661,-0.07449106734760848,0.07449106734760848,0.02485422969065798
117,2.64883333333333,1.4999999973152855,47396.2665,-3.087333338859888,-3.087333338859888,-2.9750175293123142,-0.11231580954757359,-0.01987637925059444,0.0970535912822661,-0.20479797798297764,0.20479797798297764,0.11231580954757359
119,2.57563715277778,1.5000000072304982,47396.399,-2.9799999856361863,-2.9799999856361863,-2.97555444839817,-0.004445537238016328,-0.03978389843648126,0.0970535912822661,-0.4099168089594505,0.4099168089594505,0.004445537238016328
126,2.6405,1.499999996519108,47396.637,-3.0333333403695604,-3.0333333403695604,-2.9760898641570486,-0.0572434762125118,-0.03754477081075401,0.0970535912822661,-0.386845765465397,0.386845765465397,0.0572434762125118
129,2.574125,1.5000000042418018,47396.7665,-2.907333325109877,-2.907333325109877,-2.976623778482542,0.06929045337266482,-0.0505664051483474,0.0970535912822661,-0.5210152914515286,0.5210152914515286,0.06929045337266482
130,2.581,1.500000000313339,47396.7235,-3.020666666037457,-3.020666666037457,-2.9771561932654715,-0.0435104727719855,-0.046774726182626424,0.0970535912822661,-0.4819474020965284,0.4819474020965284,0.0435104727719855
134,2.67352777777778,1.4999999973557598,47396.898,-3.1613333389051297,-3.1613333389051297,-2.977687110393895,-0.1836462285112348,-0.05305861728254251,0.0970535912822661,-0.5466940128802584,0.5466940128802584,0.1836462285112348
136,2.61475,1.5000000019607345,47396.86,-2.983999996096186,-2.983999996096186,-2.9782165317531075,-0.005783464343078304,-0.059640302714530545,0.09714847193019718,-0.6139088091615389,0.6139088091615389,0.005783464343078304
