candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,253,354,102,2.11384618963975,2.26955167980289,264,2.16044478047911,13.903667355296838
2,3223,3233,11,3.03222285219019,2.94320924646779,3229,2.9792802098239,11.564799826193106
3,3988,4000,13,2.80226585483369,2.70922330035122,3994,2.75336593580915,8.967555933899124
5,4502,4514,13,1.17182144473945,2.64593860952791,4508,1.14340156730096,12.535320133123278
6,5200,5216,17,2.40136765276422,2.3481282181798,5210,2.36757607411384,8.740268956428134
8,5826,5837,12,2.30756088186328,2.27540100771198,5833,2.28537323590941,8.91140848918133
10,9160,9183,24,3.22895808306234,3.27167635090312,9167,3.24790307827771,8.566611326582676
12,9496,9518,23,2.77625648255752,2.84477705610499,9507,2.81045058795299,129.4106380025906
13,9582,9611,30,2.84998465708583,2.66554871688648,9590,2.80147097918182,23.664094941477597
14,10317,10396,80,3.15508183704011,3.22933644011109,10379,3.08907798225794,15.848036394847574
15,11174,11187,14,2.9219498961926,2.94148857598131,11183,2.93853353137441,8.670674076949362
17,11981,12019,39,3.71344331890227,3.81229853925442,11998,3.77800677163919,14.936631186748384
18,12267,12293,27,3.18991742198824,3.24218214278734,12284,3.22424138710721,13.114150070862372
19,12518,12557,40,2.85866150790669,2.92122569174959,12542,2.85998018785317,14.707891544361908
20,13042,13051,10,3.41407378615319,3.40667782253198,13048,3.40843566020382,9.23190309068804
21,13825,13909,85,3.35409724151715,3.25340631889251,13853,3.40926962599063,13.757845149584249
22,13932,13942,11,3.13454636286514,3.09099597219167,13937,3.11179719945928,8.812423583959465
23,14557,14573,17,3.90798708653943,3.86132015678341,14566,3.88090177981688,11.355681779361172
24,17449,17526,78,3.58806030166282,3.73264218333567,17497,3.64664841360714,173.93284737367264
25,23658,23717,60,3.43842332456497,3.96775885075584,23679,3.53000702964593,12.648521111599612
27,25479,25505,27,1.86565930424216,1.84987959584605,25491,1.85903032874577,11.659320519709198
