candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
3,3524,3582,59,3.83821578231247,4.08270626431328,3535,3.88254067055074,10.223733943052423
4,3624,3653,30,4.34891642272241,4.55220351486058,3645,4.49707565370178,16.546925767443632
5,9438,9452,15,3.73592369561196,3.76896635149368,9448,3.76405409450422,9.252522823922492
6,9897,9918,22,3.42634820686829,3.50855107937377,9908,3.47291401296094,10.177850004127494
7,11246,11280,35,3.01438300746951,3.11588173056789,11259,3.07322462586075,12.153514181879356
8,11874,11910,37,2.38429082886064,2.20714875938255,11896,2.28379789612906,10.202862010238684
9,12482,12497,16,1.89387051893144,1.83705056178357,12492,1.86017716538956,9.330889718628404
10,14344,14378,35,2.64828249437919,2.52681957104275,14364,2.56590985795781,10.543861864642372
11,14665,14680,16,2.74005412191666,2.67628414613451,14672,2.7131765930739,14.016753733313532
12,15079,15106,28,2.14923882453095,2.25281837102002,15095,2.21728539922232,11.33035252125709
13,16101,16119,19,2.99911531311018,2.89946132095935,16111,2.95320552789761,19.12887389544711
14,19218,19242,25,2.9919472265848,2.78087346422796,19230,2.88421792553331,16.943091113348828
15,19800,19869,70,2.25739884482855,2.08148691258193,19818,2.15907449382232,28.312244081494136
16,20709,20735,27,3.04033051884508,2.96735641311773,20721,2.99488211092816,21.07021515319465
17,24776,24819,44,2.7121728438566,2.88715257449467,24818,2.88205175305043,128.87604567832065
