candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,1172,1186,15,3.04096296563261,2.94260833683187,1180,2.99170102757295,12.863133162113698
2,2539,2561,23,-0.0539133772329715,-0.030376389074943,2546,-0.0623365152486337,18.898218869890226
3,2624,2647,24,0.522052086199033,0.337882334231909,2634,0.468601557394119,9.413081891865735
4,5630,5652,23,1.79380984724883,1.92909475372585,5638,1.84890079400386,11.67172951108113
6,6838,6929,92,1.50187312965099,1.46516729728277,6898,1.69612140681005,11.235060414685922
7,7604,7640,37,1.47333263055496,1.71442812676129,7619,1.51055175688092,10.04408338303967
8,8284,8295,12,2.11671981514713,2.22667599612694,8290,2.17669139994004,9.593804309734535
9,9368,9466,99,2.14315103167801,2.77752605071355,9442,2.69863089917425,12.084615617115745
10,10509,10515,7,2.8121155797309,2.86187537900787,10511,2.82932504467505,8.458684208689796
11,10599,10632,34,2.93090378039077,3.13792635609558,10618,3.06223853319751,12.125689978010675
12,12789,12897,109,2.91009963992383,2.90451696309673,12887,2.95408942276836,20.17002445504216
13,12910,13006,97,2.80984826013885,2.30039439912304,12952,2.59986399281706,222.63685613857297
15,18637,18685,49,2.47763133143802,2.62654747653393,18645,2.44931687798003,14.719768925483995
