candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
3,8296,8303,8,1.66840726003954,1.66057943903818,8300,1.66280354368229,10.234249234066489
4,8573,8594,22,1.6288126840171,1.6496610450286,8579,1.63109932020883,15.534666345604048
5,8640,8697,58,1.74977007645148,1.61687804353675,8680,1.67480842933174,13.541251535963719
7,11347,11372,26,1.50868904352456,1.51811202642924,11356,1.50804931534295,15.388056864415322
8,11833,11869,37,1.52428011625902,1.48624751669694,11853,1.51235663477794,13.816220003566865
9,13331,13354,24,1.37502923846341,1.31245899244561,13342,1.33706177319236,24.37192962340141
10,13424,13523,100,1.34892663973416,1.31756785357802,13448,1.31352957113241,17.149805332766935
11,14490,14502,13,2.3576969238602,2.43476136094186,14496,2.39431721112582,13.782300784967747
12,14695,14706,12,2.01295142438415,1.9797241584911,14700,1.99496865438745,9.578031068014702
13,15316,15336,21,1.95170728510741,1.89781814415842,15326,1.92717452495917,26.202680295376805
14,16460,16499,40,2.34337863124812,2.14070621325862,16473,2.24696506828434,12.605671555057794
15,18152,18179,28,2.80075191166757,2.7952127057648,18163,2.79294102920839,38.662845689355066
16,18353,18362,10,2.17555981591024,2.14847865797524,18358,2.1585570832807,17.210465794194306
17,19786,19796,11,1.97150119141572,1.9931083117052,19791,1.98208184574868,14.08743248526102
18,20123,20132,10,3.17674765892743,3.20469914652291,20127,3.18888640194299,10.619842086151925
19,20599,20628,30,3.79126403623663,3.92992317151424,20614,3.88094072075598,28.83877838251325
20,20878,20899,22,2.65090052404235,2.73356880644555,20886,2.68973318813417,25.385957277543604
