sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
0,4.177,1.4999999943931084,47306.83500000001,47304.9005,1.9345000000030268,2.0064500000007683,0.251094783333698,7.990807189866035,7.990807189866035,1.9345000000030268
1,4.14,1.4999999950739251,47306.8605,47304.829,2.0315000000045984,2.007208333333741,0.2521037749997461,7.961833706519318,7.961833706519318,2.0315000000045984
2,4.125,1.499999993763976,47306.7985,47304.7575,2.040999999997439,2.0198214285711793,0.25311276666579424,7.979927109872403,7.979927109872403,2.040999999997439
3,4.078,1.500000001633251,47306.7565,47304.74975,2.0067500000004657,2.0323124999995343,0.2521037749997461,8.061412408447993,8.061412408447993,2.0067500000004657
4,4.051,1.4999999945204463,47306.7605,47304.742,2.018499999998312,2.0363333333330553,0.251094783333698,8.109819353064077,8.109819353064077,2.018499999998312
5,4.026,1.5000000010711436,47306.708,47304.697,2.010999999998603,2.0408055555558855,0.24400242500038596,8.363874070319824,8.363874070319824,2.010999999998603
6,4.041,1.5000000030964875,47306.7475,47304.652,2.095499999995809,2.041805555555685,0.23691006666707393,8.618483732162394,8.618483732162394,2.095499999995809
7,3.974,1.50000000236728,47306.746,47304.62625,2.119749999998021,2.0415555555567457,0.23396398750122485,8.725939309553175,8.725939309553175,2.119749999998021
8,3.937,1.500000000402811,47306.669,47304.6005,2.0685000000012224,2.042750000001332,0.2310179083353758,8.84238808463199,8.84238808463199,2.0685000000012224
9,3.952,1.4999999930920382,47306.562000000005,47304.58725,1.9747500000084983,2.038055555557043,0.2220502375022005,9.178353414446793,9.178353414446793,1.9747500000084983
10,3.9,1.4999999972121882,47306.6145,47304.574,2.040500000002794,2.0248888888907257,0.2130825666690252,9.502836954446515,9.502836954446515,2.040500000002794
11,3.823,1.4999999982809222,47306.607,47304.56825,2.038750000006985,2.0087222222250096,0.21250600000074296,9.45254356214877,9.45254356214877,2.038750000006985
12,3.817,1.500000002585762,47306.58,47304.5625,2.0175000000017462,1.9857500000030592,0.21192943333246075,9.369864151375081,9.369864151375081,2.0175000000017462
13,3.807,1.500000003239412,47306.533,47304.55675,1.976249999999709,1.9735833333365411,0.2086759499990639,9.45764633320416,9.45764633320416,1.976249999999709
15,3.72766666666667,1.500000001229261,47306.4435,47304.551,1.8925000000017462,1.972777777779912,0.2086759499990639,9.453786015057135,9.453786015057135,1.8925000000017462
16,3.74,1.4999999993014317,47306.4505,47304.500499999995,1.9500000000043656,1.979333333334782,0.2086759499990639,9.485201017863636,9.485201017863636,1.9500000000043656
17,3.718,1.4999999934335506,47306.363,47304.45,1.9130000000004657,1.9774722222225845,0.2086759499990639,9.476282351806498,9.476282351806498,1.9130000000004657
18,3.703,1.5000000031942844,47306.381,47304.422,1.9590000000025611,1.9859166666671324,0.2086759499990639,9.516749135087398,9.516749135087398,1.9590000000025611
19,3.65,1.499999997091528,47306.3615,47304.394,1.9674999999988358,1.9996666666661946,0.2086759499990639,9.582640772332246,9.582640772332246,1.9674999999988358
21,3.619,1.500000004869762,47306.484,47304.3845,2.099499999996624,2.0044722222212132,0.2086759499990639,9.60566956676227,9.60566956676227,2.099499999996624
22,3.592,1.4999999936773778,47306.397,47304.375,2.021999999997206,2.000638888887705,0.2086759499990639,9.587299776982828,9.587299776982828,2.021999999997206
23,3.552,1.5000000041546837,47306.465500000006,47304.372,2.0935000000026776,1.9972222222212521,0.2086759499990639,9.570926703485531,9.570926703485531,2.0935000000026776
24,3.546,1.499999991631229,47306.469,47304.369000000006,2.099999999991269,1.9812222222212261,0.2086759499990639,9.494252798322536,9.494252798322536,2.099999999991269
25,3.53,1.5000000070061916,47306.294,47304.358250000005,1.935749999996915,1.9578333333322209,0.2086759499990639,9.382170457788757,9.382170457788757,1.935749999996915
26,3.456,1.4999999984971764,47306.263000000006,47304.3475,1.915500000002794,1.9270555555550446,0.2086759499990639,9.234679681888062,9.234679681888062,1.915500000002794
27,3.441,1.5000000022688793,47306.2185,47304.33625,1.8822500000023865,1.899027777777519,0.2086759499990639,9.100367233435565,9.100367233435565,1.8822500000023865
29,3.364,1.5000000024543148,47306.14,47304.325,1.8150000000023283,1.8600277777772538,0.2086759499990639,8.913474589599797,8.913474589599797,1.8150000000023283
30,3.358,1.5000000035985088,47306.0735,47304.3165,1.756999999997788,1.820138888888727,0.2086759499990639,8.7223222843691,8.7223222843691,1.756999999997788
31,3.305,1.4999999946668978,47306.1305,47304.308,1.8225000000020373,1.7912222222221317,0.2086759499990639,8.583750174517796,8.583750174517796,1.8225000000020373
32,3.268,1.4999999995508322,47306.0765,47304.30675,1.7697499999994761,1.7598888888888824,0.2086759499990639,8.433597110240912,8.433597110240912,1.7697499999994761
33,3.253,1.4999999968697764,47306.048,47304.3055,1.742500000000291,1.7192499999994955,0.2086759499990639,8.238850715701584,8.238850715701584,1.742500000000291
34,3.222,1.5000000003285756,47306.041,47304.3,1.7409999999945285,1.6886388888880093,0.2086759499990639,8.092158626308324,8.092158626308324,1.7409999999945285
35,3.244,1.5000000001320373,47305.97,47304.2945,1.6754999999975553,1.659861111110432,0.2086759499990639,7.954252088551067,7.954252088551067,1.6754999999975553
36,3.191,1.5000000064564338,47305.908,47304.2745,1.6335000000035507,1.6117499999988165,0.2086759499990639,7.723697915385299,7.723697915385299,1.6335000000035507
38,3.161,1.5000000033545853,47305.771,47304.2545,1.5164999999979045,1.5753333333317034,0.2086759499990639,7.549184912486419,7.549184912486419,1.5164999999979045
39,3.148,1.499999999935335,47305.78,47304.2405,1.5394999999989523,1.5402777777756758,0.2086759499990639,7.381194516103007,7.381194516103007,1.5394999999989523
40,3.108,1.4999999994249609,47305.7245,47304.2265,1.4979999999995925,1.4943888888875436,0.2086759499990639,7.161289496438125,7.161289496438125,1.4979999999995925
42,3.025,1.4999999983276353,47305.6105,47304.221000000005,1.389499999997497,1.4528611111107037,0.2086759499990639,6.962283440507741,6.962283440507741,1.389499999997497
43,2.982,1.4999999973521672,47305.6575,47304.215500000006,1.4419999999954598,1.4235833333328225,0.2086759499990639,6.821980843212688,6.821980843212688,1.4419999999954598
44,2.96,1.500000003678932,47305.638,47304.211,1.4269999999960419,1.4023333333324344,0.2086759499990639,6.7201483129163915,6.7201483129163915,1.4269999999960419
45,2.914,1.500000004676218,47305.5345,47304.2065,1.3280000000013388,1.3741111111101216,0.2086759499990639,6.584904063531451,6.584904063531451,1.3280000000013388
46,2.905,1.4999999920766955,47305.471000000005,47304.16925,1.3017500000059954,1.3601666666654637,0.2086759499990639,6.518080625350287,6.518080625350287,1.3017500000059954
47,2.899,1.500000005704629,47305.502,47304.132,1.3700000000026193,1.3616111111106066,0.2086759499990639,6.525002575125283,6.525002575125283,1.3700000000026193
48,2.837,1.4999999930017882,47305.4255,47304.10025,1.325249999994412,1.3630000000007891,0.2086759499990639,6.531658296065759,6.531658296065759,1.325249999994412
50,2.785,1.5000000026060858,47305.354,47304.0685,1.2854999999981374,1.3679444444456346,0.2086759499990639,6.555352662593706,6.555352662593706,1.2854999999981374
