sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
0,5.544,1.499999995006474,47247.65,47247.66170982958,-0.011709829581377562,-0.015051521806162782,0.07635215663513106,-0.19713289669197495,0.19713289669197495,0.011709829581377562,47247.66170982958,0.0
1,5.523,1.5000000050996205,47247.7315,47247.6685141407,0.06298585930198897,-0.03571690574365979,0.07635215663513106,-0.4677917077620014,0.4677917077620014,0.06298585930198897,47247.6685141407,0.0
2,5.501,1.500000001953395,47247.595,47247.674305001354,-0.07930500135262264,-0.029505668790079653,0.07635215663513106,-0.38644185168311984,0.38644185168311984,0.07930500135262264,47247.674305001354,0.0
3,5.486,1.5000000050444184,47247.6695,47247.68280860634,-0.013308606336067896,-0.03861484377648594,0.07635215663513106,-0.5057466020379381,0.5057466020379381,0.013308606336067896,47247.68280860634,0.0
4,5.492,1.500000001405925,47247.654,47247.687920031065,-0.03392003106273478,-0.03742030381626035,0.07635215663513106,-0.49010146491451645,0.49010146491451645,0.03392003106273478,47247.687920031065,0.0
5,5.471,1.4999999988137291,47247.55,47247.689043825434,-0.1390438254311448,-0.04249439194164653,0.07635215663513106,-0.5565578474058984,0.5565578474058984,0.1390438254311448,47247.689043825434,0.0
6,5.44,1.5000000043670576,47247.696,47247.68823824707,0.0077617529314011335,-0.05765431627918992,0.07635215663513106,-0.755110514490197,0.755110514490197,0.0077617529314011335,47247.68823824707,0.0
7,5.418,1.4999999978040002,47247.583,47247.68537906868,-0.10237906868132995,-0.06216078052077339,0.07635215663513106,-0.8141326094798486,0.8141326094798486,0.10237906868132995,47247.68537906868,0.0
8,5.424,1.499999998523943,47247.656,47247.68386398414,-0.027863984134455677,-0.072212912025053,0.07635215663513106,-0.9457874565369708,0.9457874565369708,0.027863984134455677,47247.68386398414,0.0
9,5.397,1.5000000003944476,47247.627,47247.68437662271,-0.05737662270985311,-0.07216834705306813,0.07635215663513106,-0.945203779874138,0.945203779874138,0.05737662270985311,47247.68437662271,0.0
10,5.403,1.499999998209264,47247.613,47247.68645345973,-0.07345345973590156,-0.05525819768404795,0.07635215663513106,-0.7237280532639547,0.7237280532639547,0.07345345973590156,47247.68645345973,0.0
11,5.381,1.499999996068743,47247.57,47247.68986317953,-0.11986317952687386,-0.04380605121453603,0.07635215663513106,-0.5737369204104452,0.5737369204104452,0.11986317952687386,47247.68986317953,0.0
