sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
0,2.514,1.4999999981048533,47319.8305,47319.681997652544,0.1485023474524496,0.013860661815851927,0.050944961386740026,0.27207129887941356,0.27207129887941356,0.1485023474524496,47319.681997652544,0.0
1,2.538,1.4999999932729569,47319.788,47319.703028704724,0.08497129527677316,0.005648162497285132,0.05135483812660604,0.1099830649521397,0.1099830649521397,0.08497129527677316,47319.703028704724,0.0
8,2.56,1.4999999977453078,47319.655,47319.71992717726,-0.06492717726359842,0.007114470087149779,0.05176471486647206,0.13743860283016476,0.13743860283016476,0.06492717726359842,47319.71992717726,0.0
9,2.554,1.500000001463061,47319.696,47319.73676746201,-0.04076746200735215,0.0003776630856009433,0.05185854353013249,0.007282562522827151,0.007282562522827151,0.04076746200735215,47319.73676746201,0.0
10,2.545,1.499999997408127,47319.694,47319.75247569438,-0.058475694379012566,-0.0025130487273498955,0.05176471486647206,-0.04854752380714057,0.04854752380714057,0.058475694379012566,47319.75247569438,0.0
11,2.569,1.4999999986892811,47319.7315,47319.7669143341,-0.03541433409554884,-0.01783292002154566,0.05135483812660604,-0.3472490747138922,0.3472490747138922,0.03541433409554884,47319.7669143341,0.0
12,2.575,1.499999998960069,47319.795,47319.77908768437,0.01591231562633766,-0.028713743199962966,0.050944961386740026,-0.5636228278197614,0.5636228278197614,0.01591231562633766,47319.77908768437,0.0
13,2.606,1.500000002299853,47319.743,47319.78977998593,-0.04677998592524091,-0.01873334544507088,0.05135483812660604,-0.36478248454190854,0.36478248454190854,0.04677998592524091,47319.78977998593,0.0
14,2.637,1.499999999089254,47319.7755,47319.801138743234,-0.025638743230956607,-0.027800351757226355,0.05176471486647206,-0.5370521566464304,0.5370521566464304,0.025638743230956607,47319.801138743234,0.0
15,2.622,1.4999999973588922,47319.823,47319.81237649419,0.010623505804687738,-0.027179172773483314,0.05185854353013249,-0.5241021232632731,0.5241021232632731,0.010623505804687738,47319.81237649419,0.0
16,2.628,1.500000001229118,47319.81,47319.82295611333,-0.01295611332898261,-0.02761222855527497,0.05195237219379293,-0.5314911983667605,0.5314911983667605,0.01295611332898261,47319.82295611333,0.0
19,2.658,1.5000000021511573,47319.8575,47319.83260359747,0.02489640253043035,-0.03668861058961031,0.052426556029188456,-0.6998096645750285,0.6998096645750285,0.02489640253043035,47319.83260359747,0.0
20,2.665,1.4999999976799243,47319.718,47319.84037051882,-0.12237051881675143,-0.03350215456561677,0.052900739864583976,-0.6333021929631992,0.6333021929631992,0.12237051881675143,47319.84037051882,0.0
21,2.689,1.4999999996689086,47319.794,47319.84688508353,-0.05288508352532517,-0.031029973656081386,0.05314157961721302,-0.5839113906585967,0.5839113906585967,0.05288508352532517,47319.84688508353,0.0
22,2.674,1.499999997256279,47319.812,47319.85131183613,-0.03931183613167377,-0.030305902423505258,0.05338241936984205,-0.5677131681413885,0.5677131681413885,0.03931183613167377,47319.85131183613,0.0
23,2.695,1.4999999993449042,47319.7875,47319.85327512268,-0.06577512268268038,-0.027182536223133665,0.053542728677168805,-0.5076793225655044,0.5076793225655044,0.06577512268268038,47319.85327512268,0.0
25,2.705,1.499999995994039,47319.8345,47319.85260188171,-0.01810188170929905,-0.028711091522483103,0.05370303798449555,-0.5346269522177163,0.5346269522177163,0.01810188170929905,47319.85260188171,0.0
27,2.717,1.4999999969428406,47319.8455,47319.84888911505,-0.003389115045138169,-0.008996483434910059,0.05415204089119749,-0.16613378345214785,0.16613378345214785,0.003389115045138169,47319.84888911505,0.0
28,2.726,1.500000001124809,47319.859,47319.8418598531,0.01714014689787291,0.0014879732075819953,0.05460104379789942,0.02725173557285071,0.02725173557285071,0.01714014689787291,47319.8418598531,0.0
29,2.8,1.500000000717985,47319.8465,47319.831345817525,0.015154182474361733,0.008609974321087874,0.05415204089119749,0.1589963033597768,0.1589963033597768,0.015154182474361733,47319.831345817525,0.0
30,2.742,1.5000000013312127,47319.8285,47319.81736059517,0.011139404836285394,0.0200678487809556,0.05370303798449555,0.3736818164132415,0.3736818164132415,0.011139404836285394,47319.81736059517,0.0
31,2.769,1.5000000052663167,47319.855,47319.79993904603,0.05506095397140598,0.0303066464144245,0.053542728677168805,0.5660273049802107,0.5660273049802107,0.05506095397140598,47319.79993904603,0.0
32,2.73683333333333,1.5000000017196753,47319.8205,47319.779024973745,0.04147502625710331,0.03417212522456086,0.05370303798449555,0.6363164265385991,0.6363164265385991,0.04147502625710331,47319.779024973745,0.0
34,2.747,1.499999998583228,47319.7795,47319.75471382611,0.024786173889879137,0.04189022497060554,0.05415204089119749,0.7735668735878589,0.7735668735878589,0.024786173889879137,47319.75471382611,0.0
35,2.779,1.4999999987811037,47319.764500000005,47319.72715425255,0.037345747456129175,0.052384884381252855,0.05460104379789942,0.9594117756274134,0.9594117756274134,0.037345747456129175,47319.72715425255,0.0
36,2.809,1.5000000009795034,47319.7705,47319.69645270301,0.07404729699192103,0.05644941379351723,0.05671481421467615,0.9953204392038678,0.9953204392038678,0.07404729699192103,47319.69645270301,0.0
38,2.84,1.5000000005654794,47319.694,47319.66259980576,0.031400194246089086,0.060610080384422976,0.05882858463145288,1.0302828253327994,1.0302828253327994,0.031400194246089086,47319.66259980576,0.0
39,2.83025,1.4999999983686438,47319.7125,47319.62589695539,0.08660304461227497,0.04859084516970648,0.06035659201237873,0.8050627702727289,0.8050627702727289,0.08660304461227497,47319.62589695539,0.0
40,2.868,1.4999999982217471,47319.696,47319.58639388283,0.10960611717018764,0.04699019156477233,0.061884599393304575,0.7593196372837197,0.7593196372837197,0.10960611717018764,47319.58639388283,0.0
41,2.831,1.5000000005947778,47319.592,47319.54427983045,0.04772016954666469,0.04074892272183206,0.06208076811723052,0.6563856079371253,0.6563856079371253,0.04772016954666469,47319.54427983045,0.0
44,2.825,1.499999999260296,47319.5925,47319.49999304671,0.09250695328955771,0.033337024426145945,0.06227693684115647,0.5353028924845059,0.5353028924845059,0.09250695328955771,47319.49999304671,0.0
