sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
25,2.60395833333333,1.499999997294222,47393.982,47393.8440124457,0.13798755430616438,0.10466072114003408,0.1555970960473969,0.6726392959683068,0.6726392959683068,0.13798755430616438,47393.8440124457,0.0
26,2.57969444444444,1.5000000003515632,47393.862,47393.87291321534,-0.010913215337495785,0.12001578771903748,0.1560393085695832,0.7691381666531699,0.7691381666531699,0.010913215337495785,47393.87291321534,0.0
31,2.57393518518519,1.4999999969326197,47394.00199999999,47393.90129824151,0.10070175848522922,0.13094755247422857,0.1611547620581601,0.8125577600181006,0.8125577600181006,0.10070175848522922,47393.90129824151,0.0
32,2.538,1.4999999980761871,47394.130000000005,47393.92903407963,0.2009659203758929,0.14929160908407843,0.166270215546737,0.8978854606832092,0.8978854606832092,0.2009659203758929,47393.92903407963,0.0
34,2.56618055555556,1.5000000005723413,47394.1745,47393.95602153836,0.21847846164018847,0.1536383401317936,0.17160423002566966,0.8953062527002474,0.8953062527002474,0.21847846164018847,47393.95602153836,0.0
36,2.643,1.5000000061377274,47394.189,47393.982338170186,0.20666182981221937,0.15422111896461704,0.17693824450460235,0.8716098625054777,0.8716098625054777,0.20666182981221937,47393.982338170186,0.0
37,2.606,1.5000000046525546,47394.159,47394.008104905966,0.15089509403333068,0.16722803640328088,0.17852215068909622,0.9367355017726371,0.9367355017726371,0.15089509403333068,47394.008104905966,0.0
39,2.66525,1.500000002561103,47394.235,47394.03351052156,0.20148947843699716,0.1586628419980924,0.18010605687359008,0.8809411785049079,0.8809411785049079,0.20148947843699716,47394.03351052156,0.0
40,2.59877777777778,1.4999999990211628,47394.235,47394.05852182057,0.17647817943361588,0.12121923508837223,0.18262446135343488,0.6637623141501043,0.6637623141501043,0.17647817943361588,47394.05852182057,0.0
41,2.622,1.5000000048029971,47394.2265,47394.083267436195,0.14323256380157545,0.08727423290919331,0.18514286583327969,0.47138858154968477,0.47138858154968477,0.14323256380157545,47394.083267436195,0.0
42,2.62722222222222,1.4999999940234312,47394.214,47394.10785095839,0.10614904161047889,0.055163261657677744,0.18262446135343488,0.3020584496121785,0.3020584496121785,0.10614904161047889,47394.10785095839,0.0
43,2.665,1.49999999231311,47394.156,47394.132384991164,0.023615008838532958,0.030123099485839095,0.18010605687359008,0.1672520070048583,0.1672520070048583,0.023615008838532958,47394.132384991164,0.0
45,2.649,1.4999999974549745,47394.02099999999,47394.157026541805,-0.13602654181158869,0.003688663257990912,0.17852215068909622,0.020662216110172642,0.020662216110172642,0.13602654181158869,47394.157026541805,0.0
46,2.65705497685185,1.500000000376301,47394.095,47394.18202655797,-0.08702655797242187,-0.015437742094541641,0.17693824450460235,-0.08724932327527465,0.08724932327527465,0.08702655797242187,47394.18202655797,0.0
48,2.62483333333333,1.5000000040224846,47394.125,47394.20733691145,-0.08233691145142075,-0.03631390519795888,0.17170682147105643,-0.21148784239815477,0.21148784239815477,0.08233691145142075,47394.20733691145,0.0
49,2.59266666666667,1.4999999976830367,47394.158500000005,47394.23296636552,-0.07446636551321717,-0.04688289889195908,0.1664753984375105,-0.2816205837738686,0.2816205837738686,0.07446636551321717,47394.23296636552,0.0
50,2.59895833333333,1.500000002750269,47394.2225,47394.25892044762,-0.0364204476136365,-0.046958436754519224,0.16637280699212376,-0.28224826883363385,0.28224826883363385,0.0364204476136365,47394.25892044762,0.0
51,2.6414375,1.4999999921840226,47394.2895,47394.28515946874,0.0043405312608229,-0.029780495245682284,0.166270215546737,-0.17910901930184403,0.17910901930184403,0.0043405312608229,47394.28515946874,0.0
52,2.598,1.500000000330331,47394.267,47394.31165290413,-0.04465290412917966,-0.017784990394526783,0.1611547620581601,-0.11035969503717336,0.11035969503717336,0.04465290412917966,47394.31165290413,0.0
53,2.63579166666667,1.5000000011960049,47394.3495,47394.33847190163,0.011028098364477046,-0.007247166294999058,0.1560393085695832,-0.04644449120823489,0.04644449120823489,0.011028098364477046,47394.33847190163,0.0
54,2.711,1.5000000031860732,47394.3885,47394.365564831925,0.022935168075491674,0.008834077493197078,0.1555970960473969,0.05677533654295259,0.05677533654295259,0.022935168075491674,47394.365564831925,0.0
55,2.705,1.500000003416181,47394.4115,47394.392925068234,0.01857493176794378,0.0241333083096025,0.15515488352521062,0.15554333683400404,0.15554333683400404,0.01857493176794378,47394.392925068234,0.0
56,2.68,1.4999999972643792,47394.4415,47394.42056701431,0.020932985687977634,0.029766475291075442,0.15371782883287402,0.19364360996432184,0.19364360996432184,0.020932985687977634,47394.42056701431,0.0
57,2.67009635416667,1.499999992748662,47394.461,47394.44849649456,0.012503505444328766,0.04550593498909924,0.15261020004313175,0.29818409894121123,0.29818409894121123,0.012503505444328766,47394.44849649456,0.0
58,2.63066666666667,1.4999999956573045,47394.547,47394.47673517142,0.07026482858054806,0.05252280612815715,0.15388254178417118,0.34131751087022794,0.34131751087022794,0.07026482858054806,47394.47673517142,0.0
59,2.67166840277778,1.500000001895052,47394.6065,47394.50522737027,0.1012726297340123,0.0648668436107174,0.15515488352521062,0.41807800139386136,0.41807800139386136,0.1012726297340123,47394.50522737027,0.0
60,2.67736111111111,1.5000000023913198,47394.589,47394.533960965906,0.0550390340940794,0.07214610454846276,0.1555970960473969,0.46367256447052274,0.46367256447052274,0.0550390340940794,47394.533960965906,0.0
61,2.65830208333333,1.499999995941285,47394.66,47394.56299776685,0.09700223315303447,0.08640735522446145,0.1560393085695832,0.5537537689480949,0.5537537689480949,0.09700223315303447,47394.56299776685,0.0
