candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,2869,2878,10,3.01679696797673,3.03807986815908,2873,3.02737063352497,25.650287759127785
2,9385,9447,63,3.04016067264688,3.53376450499122,9419,3.35601986823668,57.202782356245585
3,9506,9559,54,3.77735825854664,4.28207655848183,9534,4.05244725968934,270.0881841254111
4,9860,9876,17,4.09339904362638,4.0052833001742,9868,4.05148195343175,39.50126390906488
5,12828,12836,9,4.16354869238261,4.17340740852367,12832,4.16723420055285,20.842937057889955
6,13303,13325,23,4.33634243984842,4.31030897042903,13309,4.34298990711346,21.208633759054024
7,13600,13628,29,4.37739755850739,4.15098602084738,13613,4.26757655255319,32.40777511491007
