candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,925,934,10,4.26977768671674,4.26804746016421,930,4.268660288819,32.591211046558215
3,6202,6236,35,4.52551169230434,4.65310522666063,6217,4.57368209010195,116.33609709828504
4,11395,11409,15,0.809411008819317,0.830773727491932,11405,0.826894831032569,22.895912342869927
5,12145,12153,9,0.798685248122548,0.811801020811227,12149,0.805250773324552,22.910162124792535
6,12385,12394,10,1.07043701469332,1.09212865083503,12390,1.0821153802003,22.20647388323319
7,16562,16571,10,0.534029743577992,0.5178692554646,16566,0.52732324378176,30.805382409068866
8,17078,17133,56,0.830538334078857,0.863792884993783,17105,0.812814922724627,5921.716808580511
9,17164,17171,8,0.932862059302829,0.938037236477049,17166,0.934838884079123,19.631585338534066
10,17217,17274,58,0.923082913682259,0.994024123602342,17261,0.989764532250316,35.53545087596212
11,17953,17963,11,0.80500990762973,0.817080713429801,17956,0.808748985139799,21.238486649567577
12,18083,18112,30,0.705736697011759,0.665166293097413,18098,0.689882684133273,254.37052060360415
