sample_index,axis,baseline_distance,signal_0,signal_1,detection_score,is_candidate
0,6.63537219460698,1.500000000762063,47386.928,-2.499999998729895,0.0,False
1,6.64989620256061,1.499999995143756,47387.0635,-2.354000007618,0.0,False
2,6.6640886266607,1.500000003251112,47386.9735,-2.5006666612492627,0.0,False
3,6.67794260105021,1.4999999970240705,47387.078,-2.281333337858499,0.0,False
4,6.69145241903446,1.499999998599972,47387.089,-2.480000002315489,0.0,False
5,6.70461355208997,1.4999999930750418,47387.0215,-2.352666677529592,0.0,False
6,6.71742267384757,1.499999996478119,47387.1875,-2.342000005503021,0.0,False
7,6.72987767160579,1.4999999992896096,47387.0905,-2.4846666678426903,0.0,False
8,6.74197765463302,1.4999999965858974,47387.101,-2.402666672134873,0.0,False
9,6.75372296053269,1.4999999966533817,47387.1755,-2.402000005356064,0.0,False
10,6.76511515416967,1.500000000021794,47387.247,-2.2959999999638856,0.0,False
11,6.77615701761656,1.4999999996417237,47387.167,-2.3320000005567287,0.0,False
12,6.78685253510121,1.5000000020211015,47387.261,-2.341333330180248,0.0,False
13,6.7972068835945,1.5000000044057695,47387.39,-2.411999992916997,0.0,False
14,6.80722640877158,1.5000000013121464,47387.447,-2.331999997964629,0.0,False
15,6.81691860501102,1.5000000047497235,47387.43,-2.375999992475429,0.0,False
16,6.82629207983922,1.4999999993047124,47387.568,-2.397333334447895,0.0,False
17,6.83535652363568,1.4999999975583995,47387.5905,-2.306000003755261,0.0,False
18,6.8441226672175,1.4999999946146976,47387.5815,-2.4993333423038826,0.0,False
19,6.85260223827755,1.5000000035733163,47387.666,-2.2706666612543938,0.0,False
20,6.86080791312909,1.5000000006716778,47387.723,-2.370666665603021,0.0,False
21,6.86875326668532,1.499999999636163,47387.7475,-2.519333333945931,0.0,False
22,6.87645271691622,1.499999999048727,47387.6865,-2.395333334852915,0.0,False
23,6.88392146396384,1.4999999939939317,47387.81,-2.472000009897147,0.0,False
24,6.89117543111126,1.500000002162979,47387.843,-2.406666663196676,0.0,False
25,6.89823119254036,1.5000000094583965,47387.846,-2.358666651794174,0.0,False
26,6.90510591356266,1.4999999988032238,47387.9435,-2.462000001963843,0.0,False
