sample_index,axis,baseline_distance,signal_0,signal_1,detection_score,is_candidate
0,8.59292596304919,1.5000000006188594,47384.9365,-2.496666665638356,0.0,False
1,8.61736842819809,1.5000000025228502,47385.0825,-2.433999995909786,0.0,False
2,8.6417670916842,1.5000000032334626,47385.092,-2.551999994499695,0.0,False
3,8.66611465728389,1.500000005320256,47385.115,-2.5333333243499525,0.0,False
4,8.69040403617224,1.500000000496339,47385.297,-2.5053333325054234,0.0,False
5,8.71462834265351,1.4999999989250632,47385.363,-2.660000001904863,0.0,False
6,8.73878087900258,1.500000000085369,47385.3015,-2.4566666665252987,0.0,False
7,8.76285513405522,1.49999999688013,47385.4265,-2.572666672015417,0.0,False
8,8.78684476716092,1.499999995472587,47385.3905,-2.664666674711382,0.0,False
9,8.81074360737271,1.4999999974074976,47385.3655,-2.564666671095466,0.0,False
10,8.83454563009502,1.500000001460659,47385.4405,-2.633999997435704,0.0,False
11,8.85824494973499,1.5000000016216612,47385.528000000006,-2.673333330444531,0.0,False
12,8.88183580659911,1.5000000010241277,47385.4355,-2.572666664908001,0.0,False
13,8.90531254708917,1.4999999922364726,47385.599,-2.625333346922512,0.0,False
14,8.92866961472084,1.5000000010840984,47385.4885,-2.737999998023565,0.0,False
15,8.95190152845045,1.4999999942587954,47385.533500000005,-2.5686666764951727,0.0,False
16,8.97500287454583,1.5000000023580045,47385.577000000005,-2.7066666624150773,0.0,False
17,8.99796828571096,1.5000000040105193,47385.621,-2.719999992728756,0.0,False
18,9.02079242595225,1.4999999990521702,47385.592,-2.628000001662422,0.0,False
19,9.04346997594822,1.5000000040951535,47385.5755,-2.780666659076559,0.0,False
20,9.06599561912034,1.4999999986447587,47385.585,-2.669333335745604,0.0,False
21,9.08836403059532,1.500000006208596,47385.6035,-2.5966666559167626,0.0,False
22,9.11056986054414,1.500000000736086,47385.567,-2.745333331982756,0.0,False
23,9.13260771758117,1.499999994446508,47385.5795,-2.7313333434418228,0.0,False
24,9.15447215980436,1.500000001932139,47385.672,-2.70533332985164,0.0,False
25,9.17615767822391,1.4999999983754329,47385.564,-2.5653333361104624,0.0,False
26,9.1976586869472,1.4999999992144697,47385.537,-2.661333334730803,0.0,False
27,9.21896951011578,1.5000000050249511,47385.62,-2.5906666579870863,0.0,False
28,9.24008438066049,1.4999999934044597,47385.6295,-2.7260000119862564,0.0,False
29,9.2609974258066,1.4999999996961904,47385.5165,-2.72200000055046,0.0,False
30,9.28170266712736,1.5000000034212932,47385.592,-2.6306666606688456,0.0,False
31,9.3021940156676,1.499999992354365,47385.513,-2.585333346508992,0.0,False
32,9.32246526639057,1.499999999390227,47385.5245,-2.526000001029729,0.0,False
33,9.34251009785771,1.4999999932699415,47385.5505,-2.619333345083144,0.0,False
34,9.36232206863915,1.5000000022160196,47385.544,-2.642666662762494,0.0,False
35,9.38189462331299,1.4999999950899754,47385.561,-2.612000008548554,0.0,False
36,9.40122108450661,1.500000001520225,47385.606,-2.6586666639705223,0.0,False
37,9.42029466246072,1.5000000067342318,47385.575,-2.506666655414376,0.0,False
38,9.43910845770568,1.4999999981105987,47385.7045,-2.540666669867901,0.0,False
39,9.45765547503523,1.5000000054517353,47385.5815,-2.6379999904088,0.0,False
40,9.47592863053736,1.4999999977888985,47385.6275,-2.5046666703572407,0.0,False
41,9.49392076456708,1.5000000004237235,47385.5475,-2.524666665951242,0.0,False
42,9.51162465449894,1.5000000087617982,47385.703,-2.5506666517683367,0.0,False
43,9.52903302304792,1.5000000043265205,47385.748,-2.610666659134891,0.0,False
44,9.54613856244937,1.4999999994840625,47385.7115,-2.5580000008795354,0.0,False
45,9.56293394355086,1.500000000154568,47385.7945,-2.392666666420075,0.0,False
46,9.57941183745134,1.500000006745441,47385.9075,-2.53799998858718,0.0,False
47,9.59556493281747,1.499999997884756,47386.0315,-2.426000003422956,0.0,False
48,9.61138595317333,1.4999999994306878,47385.992,-2.4053333342463734,0.0,False
49,9.62686767745357,1.4999999969498516,47386.135,-2.5520000051902114,0.0,False
50,9.64200296012814,1.5000000067233776,47386.1515,-2.537999988624511,0.0,False
51,9.65678475271324,1.500000001991695,47386.262,-2.477333330044172,0.0,False
52,9.67120612933293,1.4999999913960484,47386.351,-2.462666680789688,0.0,False
53,9.68526030603401,1.4999999986137198,47386.547,-2.490666668971457,0.0,False
54,9.69894067697617,1.5000000047609965,47386.5995,-2.539333325274233,0.0,False
55,9.71224083189535,1.5000000004700558,47386.673,-2.5879999991875224,0.0,False
56,9.72515458495664,1.4999999954381142,47386.683000000005,-2.514666674317403,0.0,False
57,9.73767599054699,1.5000000032033547,47386.86,-2.599999994443638,0.0,False
58,9.74979937372774,1.5000000034696437,47386.936,-2.619999993939884,0.0,False
59,9.76151935484324,1.5000000028623752,47387.012,-2.561333328443612,0.0,False
60,9.7728308809588,1.4999999984954824,47387.147,-2.600000002608801,0.0,False
61,9.78372924558098,1.499999999458476,47387.2795,-2.5540000009209094,0.0,False
62,9.79421011686382,1.5000000021755129,47387.234,-2.5399999963194304,0.0,False
63,9.80426955796239,1.4999999973106135,47387.36,-2.492000004466337,0.0,False
64,9.81390404351323,1.5000000009423995,47387.347,-2.4973333317638,0.0,False
65,9.823110481777,1.5000000030467733,47387.454,-2.546666661493729,0.0,False
66,9.8318862396628,1.499999998331904,47387.5025,-2.648666669610912,0.0,False
67,9.84022916083905,1.5000000054294051,47387.528000000006,-2.478666657695381,0.0,False
68,9.84813758608127,1.4999999951108118,47387.6085,-2.583333341753602,0.0,False
69,9.85561036412668,1.5000000003801974,47387.5985,-2.5633333326843943,0.0,False
70,9.86264686454072,1.5000000043508128,47387.578,-2.621333325730512,0.0,False
71,9.86924698480804,1.500000003808365,47387.614,-2.530666660242929,0.0,False
72,9.87541116353574,1.5000000057307157,47387.618,-2.50399999043434,0.0,False
73,9.88114038936338,1.5000000010635035,47387.6735,-2.543333331526805,0.0,False
74,9.88643620944635,1.5000000042360937,47387.7875,-2.5073333262515365,0.0,False
75,9.89130073462639,1.500000004384576,47387.7515,-2.671333325523416,0.0,False
76,9.89573663311573,1.4999999906441603,47387.7545,-2.603333349570137,0.0,False
77,9.89974713230942,1.499999994050755,47387.8485,-2.588666676934828,0.0,False
78,9.90333601319055,1.500000006097724,47387.854,-2.634666655959536,0.0,False
79,9.90650761430864,1.4999999940808997,47387.818,-2.506666676554649,0.0,False
80,9.90926681838776,1.500000003851765,47387.879,-2.707999993049851,0.0,False
81,9.91161904542713,1.500000001568239,47387.842,-2.5359999973462632,0.0,False
82,9.9135702392695,1.4999999979514014,47387.784,-2.6680000036440457,0.0,False
83,9.91512685779185,1.4999999953910923,47387.9205,-2.698000008293847,0.0,False
84,9.91629586002527,1.50000000873572,47387.9215,-2.7806666504691298,0.0,False
85,9.91708468267796,1.4999999955535015,47388.017,-2.6586666745462084,0.0,False
86,9.91750122435072,1.500000002122868,47388.0255,-2.597999996326181,0.0,False
87,9.91755382150422,1.5000000080892495,47387.919,-2.6426666524151674,0.0,False
88,9.91725122709509,1.500000003194833,47388.1375,-2.5926666611464766,0.0,False
