sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency,detection_score,is_candidate
0,5.544,1.499999995006474,-0.4055102511616716,-1.2118532367130106,-0.3019928970871949,2.9227580243641,0.0,False
1,5.523,1.5000000050996205,-0.4034879527491621,-1.5893526306370072,-0.302371916091633,3.164885246092293,0.0,False
2,5.501,1.500000001953395,-0.4068749924216506,-1.915228077625428,-0.3015581934270807,4.33871953842861,0.0,False
3,5.486,1.5000000050444184,-0.4050263883512645,-1.8023009583811949,-0.3018962848518702,3.767642925882593,0.0,False
4,5.492,1.500000001405925,-0.4054109972518352,-1.5151433344543377,-0.3023677776033637,3.488033312120486,0.0,False
5,5.471,1.4999999988137291,-0.4079915989070388,-1.5409552318841413,-0.3026310343614286,3.3478557470064256,0.0,False
6,5.44,1.5000000043670576,-0.404368831198734,-1.257024172889624,-0.3046629560352725,4.289188807214117,0.0,False
7,5.418,1.4999999978040002,-0.4071727541511596,-1.747450573192085,-0.3023484833815311,3.427927804233656,0.0,False
8,5.424,1.499999998523943,-0.405361370296917,-1.4764254327886968,-0.3039641676819675,3.718078471284258,0.0,False
9,5.397,1.5000000003944476,-0.4060809611431403,-1.2312122209982015,-0.3039134876964847,3.48343675691342,0.0,False
10,5.403,1.499999998209264,-0.4064283498275676,-2.2830478892590125,-0.3038060313504772,3.6856003520699936,0.0,False
11,5.381,1.499999996068743,-0.4074953293580375,-1.6442028843280283,-0.3044760219441615,3.5209530237923388,0.0,False
15,5.372,1.5000000062678849,-0.4070114665476305,-1.6409764772479447,-0.3050341991288968,3.277830349839833,0.0,False
18,5.335,1.5000000010907597,-0.4052000826935684,-1.6796943132002924,-0.3049564922331678,3.1383571049873176,0.0,False
20,5.313,1.5000000070650383,-0.4040214425143069,-2.502449264905497,-0.304285270793688,3.507071036135057,0.0,False
22,5.304,1.5000000010098666,-0.4016145352014072,-1.1666824295435163,-0.3043895805489676,3.6131114375365168,0.0,False
23,5.29183333333333,1.5000000048040074,-0.4034879527491621,-2.2540095315644657,-0.3046517393387056,4.094302349407578,0.0,False
24,5.298,1.500000005013142,-0.4045797457571815,-1.6926003042209443,-0.3042667208138397,4.019398674335828,0.0,False
26,5.283,1.500000002234306,-0.4030413101550791,-1.640976444512641,-0.3029393753810262,4.99364545819164,0.0,False
29,5.252,1.4999999958217154,-0.4028055821192629,-1.7539035369292275,-0.3052454375776569,4.598282655220313,0.0,False
30,5.261,1.4999999931294306,-0.4021852451828759,-1.8894160888670533,-0.3052004857412654,5.426410120340384,0.0,False
32,5.236,1.4999999948613365,-0.4029792764613862,-1.7474505494957204,-0.3048696093726719,6.875450453036014,0.0,False
33,5.273,1.5000000047948296,-0.4041331031630984,-1.6538824246074586,-0.3038561794617104,7.597981572278802,0.0,False
35,5.206,1.5000000006527885,-0.4047534400993048,-1.060208262100422,-0.3032625287673992,4.9441476126916495,0.0,False
36,5.215,1.5000000014172514,-0.4039345953434257,-2.1701207699064025,-0.3050317490156317,5.882085631501454,0.0,False
37,5.2635,1.4999999911116162,-0.4049767613965269,-1.6345233745399377,-0.304192067247715,5.363805804357166,0.0,False
38,5.184,1.4999999994779585,-0.4042323570727542,-0.7504652281017595,-0.3032153882001814,5.623512634112621,0.0,False
39,5.21425,1.5000000020667037,-0.4063663161338747,-1.3699512975974273,-0.3041968914957995,4.475150887641005,0.0,False
41,5.21185416666667,1.5000000009243075,-0.4046169659733249,-1.6119380254133622,-0.3041134581974656,4.414019639470813,0.0,False
42,5.169,1.5000000000635962,-0.4039718155595692,-1.566767160750778,-0.3030187017283652,4.850447548964913,0.0,False
44,5.193,1.5000000080500688,-0.4051256422611008,-2.228197638056094,-0.3028753540855651,5.570202309109464,0.0,False
45,5.246,1.50000000198224,-0.4068005519893636,-1.7861684847266763,-0.3024913333070859,5.636065735089892,0.0,False
47,5.1995,1.4999999967225006,-0.4047782535768542,-1.2860625174410203,-0.3033575827912237,6.042325374086078,0.0,False
48,5.178,1.499999992349578,-0.4054854376843028,-2.0120226969010737,-0.3019945759570405,5.91102272622981,0.0,False
52,5.153,1.5000000006645,-0.405981707233304,-2.3024068471236685,-0.3022278143059035,5.648456280589739,0.0,False
53,5.141,1.4999999995977005,-0.4081280730330186,-1.434481073768273,-0.3035678571605801,4.438511175514542,0.0,False
55,5.132,1.500000000808249,-0.4073092282771395,-1.550634717686225,-0.30310791398724,3.941011272616352,0.0,False
58,5.126,1.499999999326113,-0.4071355339350161,-1.6667883395865437,-0.3022114485587365,3.371069797392304,0.0,False
59,5.163,1.5000000042595178,-0.4053489635583229,-1.6022585830855849,-0.3021346094532068,3.755246094249016,0.0,False
61,5.116,1.4999999995900597,-0.4062298420078948,-1.7861684655440109,-0.3008489425703968,3.022091934886595,0.0,False
62,5.147,1.5000000010473349,-0.4054730309455281,-0.982772509539778,-0.3006970814654755,2.6837499441406787,0.0,False
63,5.11,1.499999998073036,-0.4050139816126704,-1.7216386566589197,-0.3009322148087493,2.204455680557623,0.0,False
66,5.101,1.499999994455751,-0.4041331031630984,-1.9378134470506665,-0.3003329014083324,1.8462253231498225,0.0,False
67,5.095,1.499999999372018,-0.4049519479189775,-1.8797366689811543,-0.2997755001347845,1.0625535562691728,0.0,False
68,5.086,1.5000000018350248,-0.4068501789441012,-1.6829208090386665,-0.2986457930717617,1.0235787873552893,0.0,False
69,5.064,1.499999996663152,-0.4034755460103875,-1.5861260720268773,-0.2966943916070017,0.9557247715069204,0.0,False
71,5.033,1.5000000014320345,-0.4063911296112435,-1.4022161906315709,-0.2962114915657474,1.0005598503324598,0.0,False
72,5.049,1.50000000522245,-0.4041455099016925,-1.5022374064610395,-0.2951711544605364,0.932678343903973,0.0,False
73,5.012,1.5000000038011665,-0.4034507325330186,-1.3860837611232493,-0.2976467319765414,0.8866726051898028,0.0,False
76,5.018,1.4999999995342517,-0.4031033438485914,-1.5538611971158978,-0.2967857388137133,1.0123645732663913,0.0,False
77,4.996,1.5000000030659115,-0.4025078203897538,-1.2828360805849532,-0.2981689445685913,1.0938265529902182,0.0,False
79,5.005,1.4999999927965928,-0.4017386025886124,-1.3215538729962533,-0.2985787518937978,0.9143033819213532,0.0,False
80,4.981,1.500000004129717,-0.4005723691483061,-1.45706653995348,-0.2994336564276917,0.9317270313578612,0.0,False
81,4.99,1.499999999407235,-0.3997907446085705,-1.227985722870548,-0.3003600834920207,1.099331842634665,0.0,False
83,4.95,1.4999999983628818,-0.4008329106616716,-1.2021737954148624,-0.3009495329062183,1.0640541327502198,0.0,False
84,4.922,1.4999999960603183,-0.4001629467703665,-1.0473022637086349,-0.3011715284366046,1.4891062886754172,0.0,False
85,4.928,1.499999995333402,-0.3994309491855491,-1.721638634572204,-0.3012037322972589,1.7521513625257108,0.0,False
86,4.907,1.499999999622656,-0.4020611777956708,-2.1088174491201515,-0.3013522855378719,2.075946985501307,0.0,False
