sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency,detection_score,is_candidate
0,2.44150872539943,1.4999999993192124,0.975294489579542,-0.2359956740532619,-0.039339383889998,-0.6912768371813967,0.0,False
1,2.4395432659129,1.4999999919869265,0.9747494917736138,-0.3174942920432896,-0.039064131387435,-0.656645000549358,0.0,False
2,2.43749026756462,1.5000000013362842,0.9777738457954044,-0.2814109245678091,-0.0389560663326233,-0.6763405915410635,0.0,False
3,2.43534570172651,1.5000000044670967,0.9776126492611874,-0.3566882576862633,-0.039123836043961,-0.691083486958793,0.0,False
4,2.43310568501961,1.5000000013899204,0.9784723641099724,-0.260880741301312,-0.0391883863203818,-0.6996335561857032,0.0,False
5,2.43076650034151,1.4999999949934133,0.9803146102146556,-0.2683462726708842,-0.0392396647196747,-0.7082499496660438,0.0,False
6,2.42832460509854,1.4999999981969634,0.9798847527902632,-0.3268261833904056,-0.0391708482387279,-0.7110385583341029,0.0,False
7,2.42577664844193,1.5000000037778776,0.9799154568920134,-0.2857658079749176,-0.0391988167166922,-0.7174808087949013,0.0,False
8,2.42311949127336,1.5000000015515378,0.9810975648092326,-0.242216938161384,-0.0392274516303102,-0.7183906934938762,0.0,False
9,2.42035022288376,1.5000000024247473,0.9824946014384804,-0.1488979224187433,-0.0390724738908151,-0.7096099985466723,0.0,False
10,2.41746617706872,1.5000000022068514,0.9841756510089468,-0.2652356273416136,-0.0389684935014084,-0.6849620888554812,0.0,False
11,2.4144649502744,1.499999996501917,0.9845210721535538,-0.3019411155676264,-0.0391092495550959,-0.6873914500487106,0.0,False
12,2.41134441709991,1.4999999967367754,0.9842370592124472,-0.2901207066564478,-0.039232625788109,-0.6954363520069803,0.0,False
13,2.40810273832147,1.4999999978254128,0.9849125494508424,-0.2826551837334232,-0.0392985822598165,-0.6988378919693404,0.0,False
14,2.40473837202096,1.500000001622002,0.9862021217241316,-0.1968016843713823,-0.0393192328292526,-0.7032534527876959,0.0,False
15,2.40125009145056,1.4999999945614126,0.986892964013346,-0.2789224283771288,-0.0394892977122163,-0.709320898727712,0.0,False
16,2.39763699879022,1.4999999979189813,0.9862097977494856,-0.2011565774563431,-0.0397232534869777,-0.7077973587429386,0.0,False
17,2.39389854246244,1.5000000087317291,0.9881134520576692,-0.1352111241361469,-0.0398236159740858,-0.706363799895627,0.0,False
18,2.39003452868667,1.5000000062405283,0.9891650675424216,-0.0624222968763053,-0.0398090719455802,-0.7107855272221889,0.0,False
19,2.38604512602805,1.5000000010816383,0.989395348305493,-0.2863879390769266,-0.0400468544641888,-0.7161754994276018,0.0,False
20,2.38193086729892,1.4999999969220412,0.9904699918665304,-0.1943131845927659,-0.0403786866653762,-0.7227526116525558,0.0,False
21,2.37769265610214,1.5000000040002763,0.9919975209282448,-0.2322629061081891,-0.0405514073335186,-0.7237752504613317,0.0,False
22,2.37333177898915,1.5000000023478657,0.9922508297677128,-0.2104884720236235,-0.0407183663431116,-0.7257083738113429,0.0,False
23,2.36884991038758,1.5000000005741916,0.9937246266513924,-0.1744051225198471,-0.0410546438310434,-0.7147711444108349,0.0,False
24,2.36424911505048,1.4999999982480716,0.9927804755227102,-0.2534152251357633,-0.0414238837025395,-0.7115198544398568,0.0,False
25,2.35953185855597,1.5000000018599724,0.9950218749500356,-0.2807887969619853,-0.0413821452031206,-0.7092973263756541,0.0,False
26,2.35470101011888,1.5000000028387588,0.9952905358403228,-0.2142212318329386,-0.0413289644430163,-0.7131110923633625,0.0,False
27,2.34975984440683,1.4999999963752335,0.9980615810227572,-0.2745675381149366,-0.0412751901702957,-0.7210880176749414,0.0,False
28,2.3447120382922,1.4999999985868395,0.998959675998758,-0.2204425061057786,-0.0415298031423545,-0.7111177282758587,0.0,False
29,2.33956167316157,1.4999999937573534,0.997862004361436,-0.2608807534509468,-0.041534264546347,-0.7113891209326991,0.0,False
30,2.33431323369987,1.499999995031273,0.99922066086358,-0.2254195257946134,-0.0416767658950473,-0.7098889559683957,0.0,False
31,2.32897160404151,1.5000000066151278,0.9999729113562948,-0.3809511977989752,-0.0416320802638864,-0.7061277265006285,0.0,False
32,2.32354205980614,1.499999993790048,1.0005639653149043,-0.318116415873388,-0.0416853118896929,-0.7067629452542971,0.0,False
33,2.31803026629497,1.4999999982949408,1.0016232568250103,-0.2111106051009669,-0.0415712245812606,-0.7001792335552544,0.0,False
34,2.31244226919513,1.5000000029421316,1.0027593085895483,-0.2795445417003664,-0.0415913302113907,-0.6899673974682028,0.0,False
35,2.30678447947098,1.500000003050099,1.0024522675721572,-0.3765963164209541,-0.0413133262513966,-0.6928741835825457,0.0,False
36,2.30106366233871,1.4999999981321583,1.0029051530728346,-0.3797069584526806,-0.0415298382974136,-0.6939100726317122,0.0,False
37,2.29528691767467,1.5000000014209185,1.0047013430248364,-0.3212270372523484,-0.0412694556908616,-0.7056702677687577,0.0,False
38,2.28946166777225,1.5000000040018284,1.0051849326273756,-0.3305589344617453,-0.0411025283224216,-0.7059064027983715,0.0,False
39,2.28359564641487,1.5000000019761928,1.00514655250016,-0.3672644167790961,-0.0409229354725655,-0.715411859859845,0.0,False
40,2.27769687755706,1.5000000006997776,1.0061444358068772,-0.3958822500023277,-0.0409827186051482,-0.7166704015011515,0.0,False
41,2.27177366137124,1.4999999994151905,1.0062058440103778,-0.2776781670648476,-0.0410132675648019,-0.7168277121033796,0.0,False
42,2.26583454938599,1.4999999977120329,1.0066894336128056,-0.3965043817893999,-0.0407790344243497,-0.7283442173974606,0.0,False
43,2.25988832930497,1.5000000011534338,1.0074954162835554,-0.3125172630058946,-0.0405973563897627,-0.7303161743007647,0.0,False
44,2.25394400280716,1.499999997716721,1.0091227336759865,-0.3747299450309145,-0.0407250022993017,-0.7217420285832881,0.0,False
45,2.24801075905901,1.4999999926724965,1.0094528027697744,-0.3218491782944994,-0.0405291942690628,-0.7128042595114842,0.0,False
46,2.24209795708716,1.4999999966316084,1.0094144226425583,-0.3336695803631321,-0.0405385556649133,-0.7148180064573012,0.0,False
47,2.23621509923706,1.5000000038883752,1.0112566687472415,-0.2901206951284893,-0.0403593795636139,-0.7144343752876464,0.0,False
48,2.23037181536246,1.499999997578629,1.0118553987312051,-0.3834397199604446,-0.04050260458443,-0.7119139474214641,0.0,False
49,2.2245778346395,1.4999999932908998,1.012876310114207,-0.3616652903212031,-0.0405930347208762,-0.7086885183584228,0.0,False
50,2.21884295198847,1.5000000075814584,1.0116404700190649,-0.3199827736727267,-0.0404693306633582,-0.7110901618399634,0.0,False
51,2.21317700794815,1.4999999951582423,1.0129453943431734,-0.2888764556688356,-0.0403880431733295,-0.7141813352288058,0.0,False
52,2.20758985687387,1.5000000039671364,1.0136439126578531,-0.4462745122101757,-0.0402991629480983,-0.7059617454844157,0.0,False
53,2.2020913530721,1.499999993883918,1.014979541083712,-0.2297744149542088,-0.0402389506839085,-0.7061509481444986,0.0,False
54,2.19669131754009,1.5000000033973382,1.016721998857679,-0.2963419635456353,-0.0402985198715674,-0.6872465380553152,0.0,False
55,2.1913995179975,1.4999999955037968,1.015002569159997,-0.3174942863168734,-0.0402604932984764,-0.6782731645948233,0.0,False
56,2.18622564625838,1.4999999935076158,1.0171825603838218,-0.4095690509555569,-0.0400808847013092,-0.6769634043806696,0.0,False
57,2.18117929147445,1.499999999713765,1.0155782710677872,-0.4002371390040363,-0.0401439040363696,-0.6836383048105863,0.0,False
58,2.1762699188997,1.4999999996755111,1.017689178062646,-0.3672644205999991,-0.0401248768410136,-0.6867358461047074,0.0,False
59,2.1715068404965,1.5000000003420888,1.019470015963717,-0.358554644808471,-0.0401337748862955,-0.6739337351508852,0.0,False
60,2.16689919577429,1.500000009426593,1.0190171304630395,-0.2583922214743821,-0.0402096457466868,-0.6543972239927771,0.0,False
61,2.16245593406262,1.4999999931932992,1.0199843096680066,-0.2870100785319526,-0.0401809510985054,-0.6546511602481332,0.0,False
62,2.1581857859955,1.5000000019658009,1.0198231131337896,-0.4804914875868968,-0.0400215652604921,-0.6623580875539676,0.0,False
63,2.15409725113878,1.499999995759587,1.0195621282690794,-0.3436236100339548,-0.0399544988891192,-0.6624504772732138,0.0,False
64,2.15019856624178,1.4999999938032442,1.0201378301766464,-0.3280704441097977,-0.039790573951563,-0.6443100607034135,0.0,False
65,2.14649769031918,1.499999996276555,1.0227476788249754,-0.3541997641868579,-0.0399711313727518,-0.6457860709849885,0.0,False
66,2.14300228994011,1.4999999970950124,1.023285000605438,-0.4039699040044274,-0.0400171674967088,-0.6286421903179973,0.0,False
67,2.13971971410876,1.5000000004879066,1.021918668077829,-0.4176566870690278,-0.0399228560677659,-0.6305260703427538,0.0,False
68,2.13665698197352,1.5000000021146165,1.0222026810189355,-0.469293205604639,-0.0399579671366766,-0.6116868381625201,0.0,False
69,2.13382076787697,1.4999999946110003,1.0240142230218685,-0.2938534706764367,-0.0399944553580578,-0.6174750192034694,0.0,False
70,2.1312173883032,1.500000000027297,1.0237992943097278,-0.2789224196152359,-0.0400201218105804,-0.6325293582242532,0.0,False
71,2.12885279409998,1.4999999935021382,1.0239067586657982,-0.4282328539476369,-0.0399851669420165,-0.6351996354972647,0.0,False
72,2.12673255335641,1.5000000012938492,1.024735769412833,-0.2677241358496482,-0.0398958761807071,-0.637513806549627,0.0,False
73,2.12486184170618,1.500000005377032,1.0258794972028362,-0.432587721047119,-0.039914235013141,-0.6254416135220934,0.0,False
74,2.12324543536339,1.4999999991776585,1.0263554107799102,-0.3118951394528242,-0.0399728736894391,-0.6146100592544798,0.0,False
75,2.1218877053698,1.5000000072254407,1.0273379420356965,-0.3541997460770977,-0.0398735172371895,-0.6058244573971273,0.0,False
76,2.12079261371678,1.5000000003147202,1.0263323827035136,-0.4804914904568422,-0.0398863945196503,-0.5924588627328808,0.0,False
77,2.11996370509008,1.5000000037417551,1.0266317476956628,-0.3156278926043911,-0.039982265619463,-0.6102014868931851,0.0,False
78,2.11940411178397,1.5000000054391802,1.0289345553263771,-0.4537400308205432,-0.0399912727279244,-0.6095621461778757,0.0,False
79,2.11911655200805,1.5000000000933875,1.0290036395553432,-0.2577701095543865,-0.0399840771380148,-0.6193443871539082,0.0,False
80,2.11910332717087,1.5000000005828922,1.0303392679812022,-0.353577630303012,-0.0399395032780912,-0.6201870943273596,0.0,False
81,2.11936632007821,1.500000005724335,1.0296253976155916,-0.4288549598874671,-0.0398323254413916,-0.6239144462277049,0.0,False
82,2.11990699398446,1.4999999946595552,1.0295946935139528,-0.481113627054803,-0.0399014328790026,-0.6316207534005608,0.0,False
83,2.12072639755193,1.4999999995788718,1.031129898601021,-0.229774406006995,-0.03993213870724,-0.6446048190393121,0.0,False
84,2.12182516409931,1.499999995243381,1.0314369396185243,-0.2571479904923306,-0.0400836507520687,-0.6455740693095705,0.0,False
85,2.12320352174285,1.5000000002969955,1.033248481621457,-0.4164124338660226,-0.040379212237708,-0.6506889262718045,0.0,False
