sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency,detection_score,is_candidate
0,4.537,1.4999999996954283,-0.2079999720221007,0.0241951865911813,-0.1330724206292645,0.0153308826014233,0.0,False
2,4.531,1.4999999943654598,-0.2059789491958084,-0.4059881904235273,-0.1356653499115803,-0.040348630157542,0.0,False
3,4.553,1.5000000069128527,-0.2063099180906497,-0.2863513239946729,-0.1334233419762313,-0.0864920968111193,0.0,False
5,4.522,1.4999999998191085,-0.2047959114437824,-0.6910800758188055,-0.1313304264703094,-0.1121016095717355,0.0,False
6,4.5,1.4999999932330783,-0.2026763021381888,-0.1387145215414296,-0.1346933526262346,-0.1132316199151104,0.0,False
8,4.494,1.4999999975077198,-0.2007679495739112,-0.0343504887945002,-0.136568279657389,-0.1345319037788143,0.0,False
9,4.454,1.5000000012807708,-0.2001553050237769,-0.0165322209255248,-0.1378271372440199,-0.1642116240661172,0.0,False
10,4.479,1.499999992904694,-0.1991412726649268,-0.6885346572274719,-0.1346809555406519,-0.1659851442463459,0.0,False
11,4.448,1.500000000768456,-0.1987680524217403,-0.4110790771222865,-0.1370260733457001,-0.1762975046537443,0.0,False
13,4.426,1.4999999951940428,-0.1970075795765172,-0.5536250727190436,-0.1373994513546995,-0.1855837630727625,0.0,False
15,4.433,1.49999999238988,-0.196007631000483,-0.1361690631217132,-0.1381700805590006,-0.1806412755973396,0.0,False
16,4.386,1.5000000021277395,-0.1964301444833201,-0.146350857685565,-0.1363929616485974,-0.1703574709341428,0.0,False
17,4.402,1.5000000028584122,-0.1954583634728152,-0.6808982018119056,-0.1386177887351968,-0.1663967464548758,0.0,False
19,4.374,1.500000003384932,-0.1942189905897306,-0.5688978015740445,-0.1395400403520151,-0.1718720044662598,0.0,False
20,4.365,1.4999999968744822,-0.1915923651046094,-0.5154431083221429,-0.1376166555362614,-0.1819325613311942,0.0,False
22,4.349,1.5000000021602062,-0.1918106637374359,0.1081954991302337,-0.1345235669445063,-0.2070393933788264,0.0,False
23,4.343,1.5000000048393682,-0.1907755057044644,-0.6783527253723202,-0.1371024856389091,-0.2134092600273438,0.0,False
25,4.328,1.4999999946907894,-0.189212205817844,-0.5867161024474453,-0.1333905572014417,-0.2179923929839675,0.0,False
26,4.334,1.5000000003752751,-0.1904163692439914,-0.4925339138317235,-0.1331837303047481,-0.2134335371385489,0.0,False
28,4.297,1.500000005756416,-0.1887122315298269,-0.4059881185152725,-0.125132255902327,-0.2073336941582484,0.0,False
29,4.306,1.4999999965036144,-0.1875221518864955,-0.6121707265464597,-0.1226583839717902,-0.2094283636596579,0.0,False
34,4.282,1.5000000017342352,-0.18545183582045,-0.6223525470769145,-0.1254393148896159,-0.1985857000323904,0.0,False
35,4.291,1.50000000210719,-0.1864658681793001,-0.678352743115978,-0.1215897161506599,-0.1815009477504163,0.0,False
42,4.319,1.5000000000638547,-0.1846913115513636,-0.530715869357739,-0.1178695704632757,-0.1767475520696546,0.0,False
47,4.38,1.5000000031129797,-0.1832125143613312,-0.6376253195638809,-0.1148047938307727,-0.2216458368815882,0.0,False
48,4.411,1.500000005991983,-0.1815154185385747,-0.5485340763529825,-0.1171721964144135,-0.2180690330295086,0.0,False
49,4.396,1.5000000031588467,-0.1832054724699232,-0.5485340945256167,-0.1159677920534782,-0.2035798985575311,0.0,False
53,4.47,1.4999999925153793,-0.1807619361607938,-0.0572596913098604,-0.1145082843940847,-0.164000875484992,0.0,False
