sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency,detection_score,is_candidate
0,6.63537219460698,1.500000000762063,0.920676383583065,-0.1633147513782195,-0.0407736543206047,0.1499583339719198,0.0,False
1,6.64989620256061,1.499999995143756,0.9227873678143006,-0.0925761113821979,-0.0407709324032975,0.0096702473809821,0.0,False
2,6.6640886266607,1.500000003251112,0.9213852380666364,-0.1636377568770366,-0.0407748472984887,-0.0823267995402663,0.0,False
3,6.67794260105021,1.4999999970240705,0.9230132664959518,-0.0573682914865955,-0.0407671454457981,-0.0871224906095291,0.0,False
4,6.69145241903446,1.499999998599972,0.9231846379095402,-0.1536245278685749,-0.0407594895401013,-0.1723917747931465,0.0,False
5,6.70461355208997,1.4999999930750418,0.922133040598792,-0.0919300979379404,-0.0407781314827336,-0.3020055401328249,0.0,False
6,6.71742267384757,1.499999996478119,0.9247191910223218,-0.0867619752093234,-0.0407692555633339,-0.3677900407838371,0.0,False
7,6.72987767160579,1.4999999992896096,0.9232080067386452,-0.1558855798741023,-0.0407745728213299,-0.3999267074261909,0.0,False
8,6.74197765463302,1.4999999965858974,0.9233715885426074,-0.1161556584414015,-0.0407791215866193,-0.4374418330452573,0.0,False
9,6.75372296053269,1.4999999966533817,0.9245322403892546,-0.1158326508788371,-0.0407759541938921,-0.4570806793837843,0.0,False
10,6.76511515416967,1.500000000021794,0.9256461545778052,-0.0644744544576678,-0.0408054120222289,-0.4559700750370143,0.0,False
11,6.77615701761656,1.4999999996417237,0.9243998170242504,-0.0819168601893365,-0.0407969554208942,-0.4652462943321978,0.0,False
12,6.78685253510121,1.5000000020211015,0.9258642636496036,-0.0864389635071124,-0.0407860337133366,-0.4797897726919363,0.0,False
13,6.7972068835945,1.5000000044057695,0.9278739829546794,-0.1206777574754215,-0.040829497478444,-0.4784240265343497,0.0,False
14,6.80722640877158,1.5000000013121464,0.9287619984615788,-0.081916858933435,-0.040837340125055,-0.4764382290845542,0.0,False
15,6.81691860501102,1.5000000047497235,0.9284971517314567,-0.1032353518170475,-0.0408542169621343,-0.4785210366018594,0.0,False
16,6.82629207983922,1.4999999993047124,0.9306470840112764,-0.1135715962661701,-0.0408855735928332,-0.4846812667629633,0.0,False
17,6.83535652363568,1.4999999975583995,0.9309976164481925,-0.0693195689180846,-0.0408957352276959,-0.4810756752180635,0.0,False
18,6.8441226672175,1.4999999946146976,0.9308574034734488,-0.1629917488317016,-0.0409237888959806,-0.4765843054193007,0.0,False
