track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,background_window,background_method
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.15659122369583,0.08956855938047249,3.4492261471896484,3.4503888971080117,188.75,2.2227707416115052,4.809262707168442,63.54460624521237,highpass,301,median
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.40438189577369,-0.012371470389584699,0.7566356716890857,0.756736805601521,23.810499999999593,2.8195970228974447,11.760090593641618,256.03615520406106,highpass,301,median
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.209143628656776,0.2895949497667721,7.760594698636483,7.765996092674467,365.453499999996,8.190438948528396,181.89267276559673,9271.835980046453,highpass,301,median
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.32130085705744,-0.13239931828594734,3.3405580077051242,3.3431807283372246,128.8969999999972,3.076417002692761,23.696961613659077,803.1774392356014,highpass,301,median
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.1383011952524,0.012292242304974206,0.6117935719365775,0.6119170482049021,14.021999999997206,1.9477087834784896,4.7329999534391805,79.73505319934007,highpass,301,median
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.07562297754966,-0.10948264796493865,3.1304973385356165,3.132411217701787,118.30199999999604,3.3796239311647014,16.993796655213032,660.7962911221944,highpass,301,median
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,51.10824677874427,0.7800506198342296,7.988436892316395,8.026431520422097,56.98150000000169,7.475747743999698,25.318262448932863,196.10629143823164,highpass,301,median
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.734989835522256,0.061623926931504015,3.583833555394054,3.5843633271668836,200.57850000000326,1.97324064414837,6.8552956354035475,123.67192769273275,highpass,301,median
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.67264277323046,0.002701839011327807,2.8297620823320178,2.829763372181158,32.55949999999575,6.041562376108489,15.966963530951087,115.88589226542007,highpass,301,median
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,total_field_highpass,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.29323730506003,0.028762205798893947,1.2694019148464988,1.2697277211663829,32.90400000000227,2.9738183133634406,5.786184380373978,52.550073647633546,highpass,301,median
