sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,emd_trend_residual
0,1.36646000366275,1.5000000016166564,47278.7535,47278.80032448581,-0.046824485810787596,-0.006036307928287568,0.006468500165567821,-0.9331850929554217,0.9331850929554217,0.046824485810787596,47278.82792132579
1,1.36917700961611,1.4999999903904042,47278.7775,47278.8013138626,-0.023813862602870807,-0.008965711295881515,0.006375733959398097,-1.4062241857920819,1.4062241857920819,0.023813862602870807,47278.82841093055
2,1.37196251150757,1.499999999158572,47278.7855,47278.80407501052,-0.01857501051950168,-0.010061426190304076,0.006282967753228373,-1.6013811602222883,1.6013811602222883,0.01857501051950168,47278.82987100724
3,1.37481481766952,1.4999999916554043,47278.8165,47278.80829745584,0.0082025441581915,-0.012279584389238268,0.006375733959398097,-1.9259875753030204,1.9259875753030204,0.0082025441581915,47278.83228844944
4,1.37773207195039,1.5000000061561694,47278.8645,47278.81367072487,0.05082927513353074,-0.006692646395257738,0.006282967753228373,-1.0652046386548555,1.0652046386548555,0.05082927513353074,47278.835650150715
5,1.38071224538041,1.499999999721234,47278.794,47278.81761272813,-0.023612728133851246,0.003982871546214356,0.006000929620049549,0.6637090914893065,0.6637090914893065,0.023612728133851246,47278.83994300465
6,1.38375314983451,1.4999999979806034,47278.802500000005,47278.81913571556,-0.016635715556839445,0.006248975784038298,0.006282967753228373,0.9945898227517388,0.9945898227517388,0.016635715556839445,47278.84515390483
7,1.38685243935824,1.4999999997782252,47278.7975,47278.82530669178,-0.027806691781777616,0.007349417381229424,0.006375733959398097,1.1527170719531163,1.1527170719531163,0.027806691781777616,47278.85126974483
8,1.39000762013663,1.4999999955182497,47278.8795,47278.84149714244,0.0380028575565865,0.006442187409572463,0.006282967753228373,1.0253414727876453,1.0253414727876453,0.0380028575565865,47278.858277418236
9,1.39321605568981,1.4999999998975226,47278.9165,47278.86724482434,0.04925517566246125,-0.0012970812539383134,0.006000929620049549,-0.21614671993563614,0.21614671993563614,0.04925517566246125,47278.86616381861
10,1.39647497139315,1.499999996227379,47278.8945,47278.897918924464,-0.0034189244624553243,0.007390443290266073,0.006282967753228373,1.1762663092562662,1.1762663092562662,0.0034189244624553243,47278.87491583956
11,1.3997814672578,1.4999999926652634,47278.9185,47278.92717103614,-0.008671036144781548,0.004252489115253005,0.006000929620049549,0.7086383917993513,0.7086383917993513,0.008671036144781548,47278.88452037463
12,1.40313252632007,1.4999999997323894,47278.952000000005,47278.95196252559,3.747441327884779e-05,0.005058057678052317,0.005718891486870725,0.8844472201762295,0.8844472201762295,3.747441327884779e-05,47278.894964317435
13,1.40652502973115,1.4999999972449425,47278.955,47278.97382414284,-0.018824142838066243,0.0003047644083531948,0.006000929620049549,0.05078619941399652,0.05078619941399652,0.018824142838066243,47278.90618440042
14,1.40995576383799,1.5000000017960784,47279.049,47278.99442500724,0.054574992763988237,-0.002520581917602335,0.006282967753228373,-0.4011769623212193,0.4011769623212193,0.054574992763988237,47278.917964824395
15,1.41342143276745,1.5000000017198254,47278.9625,47279.00737730313,-0.04487730313195706,-0.005691800376309629,0.006000929620049549,-0.9484864407162689,0.9484864407162689,0.04487730313195706,47278.930169762505
16,1.4169186680701,1.500000003671807,47278.9885,47279.009056574716,-0.020556574716583814,0.0013367575447413354,0.005718891486870725,0.23374417014385163,0.23374417014385163,0.020556574716583814,47278.942837421186
17,1.42044404271862,1.5000000008901069,47278.996,47279.00077678187,-0.004776781870705595,0.0070324266383946605,0.005667379877193038,1.2408602900777683,1.2408602900777683,0.004776781870705595,47278.95600600691
18,1.42399407664522,1.4999999943972508,47279.0095,47278.98567294127,0.023827058728861487,0.0021513123793466074,0.00561586826751535,0.3830774293248194,0.3830774293248194,0.023827058728861487,47278.96971372614
19,1.42756524340757,1.499999996743037,47278.9355,47278.96745989059,-0.031959890590820966,0.002418318642260905,0.0055665339225811055,0.4344388583442913,0.4344388583442913,0.031959890590820966,47278.98399878533
20,1.43115398329419,1.5000000032253962,47279.006,47278.95141401485,0.05458598514467713,0.007365659792704791,0.0055171995776468604,1.3350359523963997,1.3350359523963997,0.05458598514467713,47278.99889939093
